period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,6807,671,9.86
3_Month,0-9,30412,6713,22.07
6_Month,0-9,185334,52026,28.07
1_Year,0-9,1266625,543505,42.91
All,0-9,1712916,766517,44.75
1_Month,10-19,10323,1197,11.6
3_Month,10-19,37137,7302,19.66
6_Month,10-19,193486,51391,26.56
1_Year,10-19,1189094,579156,48.71
All,10-19,1630129,808019,49.57
1_Month,20-29,16003,1808,11.3
3_Month,20-29,53711,10443,19.44
6_Month,20-29,273317,63001,23.05
1_Year,20-29,1063062,425739,40.05
All,20-29,1473275,603677,40.98
1_Month,30-39,15424,2305,14.94
3_Month,30-39,54405,12921,23.75
6_Month,30-39,277225,79018,28.5
1_Year,30-39,1030143,469475,45.57
All,30-39,1372435,612188,44.61
1_Month,40-49,16476,2554,15.5
3_Month,40-49,54455,13693,25.15
6_Month,40-49,263091,80469,30.59
1_Year,40-49,937747,439289,46.85
All,40-49,1219286,556076,45.61
1_Month,50-59,17283,2949,17.06
3_Month,50-59,53468,14072,26.32
6_Month,50-59,239469,76603,31.99
1_Year,50-59,738149,316490,42.88
All,50-59,954809,396577,41.53
1_Month,60-69,19788,3889,19.65
3_Month,60-69,60815,17105,28.13
6_Month,60-69,236676,84218,35.58
1_Year,60-69,619983,249541,40.25
All,60-69,788427,302059,38.31
1_Month,70-79,21582,4363,20.22
3_Month,70-79,60563,17737,29.29
6_Month,70-79,189809,76649,40.38
1_Year,70-79,408831,166675,40.77
All,70-79,513458,194873,37.95
1_Month,80-89,17568,2019,11.49
3_Month,80-89,37455,8393,22.41
6_Month,80-89,84845,32939,38.82
1_Year,80-89,159168,67161,42.2
All,80-89,219038,81786,37.34
1_Month,90+,6221,490,7.88
3_Month,90+,12039,2189,18.18
6_Month,90+,22517,8015,35.6
1_Year,90+,37905,16614,43.83
All,90+,57174,21184,37.05
