period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,6990,1085,15.52
3_Month,0-9,19811,3703,18.69
6_Month,0-9,115736,46460,40.14
1_Year,0-9,1241791,539468,43.44
All,0-9,1714054,767161,44.76
1_Month,10-19,10719,2756,25.71
3_Month,10-19,28261,6527,23.1
6_Month,10-19,123659,47359,38.3
1_Year,10-19,1165377,576954,49.51
All,10-19,1630960,809442,49.63
1_Month,20-29,16582,3824,23.06
3_Month,20-29,42241,8003,18.95
6_Month,20-29,161457,60812,37.66
1_Year,20-29,1028961,427059,41.5
All,20-29,1475429,605990,41.07
1_Month,30-39,16329,3966,24.29
3_Month,30-39,41189,9433,22.9
6_Month,30-39,174108,74750,42.93
1_Year,30-39,998279,470474,47.13
All,30-39,1373921,614571,44.73
1_Month,40-49,17573,4633,26.36
3_Month,40-49,42734,10757,25.17
6_Month,40-49,170769,76575,44.84
1_Year,40-49,911210,441065,48.4
All,40-49,1220740,558782,45.77
1_Month,50-59,18367,4728,25.74
3_Month,50-59,43506,11300,25.97
6_Month,50-59,158804,73818,46.48
1_Year,50-59,715946,319390,44.61
All,50-59,956341,399709,41.8
1_Month,60-69,20722,5293,25.54
3_Month,60-69,49862,13486,27.05
6_Month,60-69,170374,81421,47.79
1_Year,60-69,603325,253433,42.01
All,60-69,790402,306083,38.72
1_Month,70-79,22668,5378,23.73
3_Month,70-79,51618,14338,27.78
6_Month,70-79,154188,75148,48.74
1_Year,70-79,401173,171002,42.63
All,70-79,516109,199272,38.61
1_Month,80-89,18395,2732,14.85
3_Month,80-89,33391,6683,20.01
6_Month,80-89,77871,33224,42.67
1_Year,80-89,157443,69425,44.1
All,80-89,220660,84057,38.09
1_Month,90+,6650,772,11.61
3_Month,90+,11092,1741,15.7
6_Month,90+,21857,8260,37.79
1_Year,90+,37742,17254,45.72
All,90+,57824,21810,37.72
