name,value
פראמדיקים,0
חובשי רפואת חירום,0
קלינאות תקשורת,10
פסיכולוגיה,11
שירות סוציאלי,13
ריפוי בעיסוק,18
פיזיותרפיה,28
מערך לוגיסטי,29
מעבדה,30
רוקחות,47
כוח עזר,69
סקטורים אחרים,189
מינהל ומשק,374
