coronaOccupancy,isolatedTeam,name,normalOccupancy
109.09090909090911,36,שערי צדק,97.42015075683594
93,69,הדסה עין כרם,113.7651824951172
92.3076923076923,29,זיו צפת,78.09798431396484
86.88524590163934,72,נהריה,71.64591979980469
86.36363636363636,51,"רמב""ם",90.10309600830078
85,94,ברזילי,66.16666412353516
85,42,שיבא,96.0759506225586
81.9672131147541,12,שמיר (אסף הרופא),62.2895622253418
77.77777777777779,22,מעייני הישועה,95.2076644897461
77.77777777777779,5,אסותא אשדוד,
76.66666666666667,30,הלל יפה,81.16504669189453
67.5,31,פוריה,63.94366073608398
67.3913043478261,22,בני ציון,85.45034790039062
66.66666666666666,3,הסקוטי,95.74468231201172
66.66666666666666,70,לניאדו,85.23677062988281
62.5,30,רבין ק. בילינסון,87.78443145751953
60,55,סוראסקי,99.48761749267578
57.99999999999999,28,קפלן,109.7472915649414
54.054054054054056,0,סנט ג'וזף,
52.94117647058824,28,וולפסון,59.29721832275391
51.85185185185185,58,המרכזי בעמק,79.82758331298828
51.78571428571429,60,הכרמל,65.64417266845703
50.877192982456144,103,מאיר,73.26477813720703
45.454545454545446,3,המשפחה הקדושה,143.3333282470703
39.130434782608695,0,אל מקאסד,
33.33333333333333,43,סורוקה,72.1112060546875
33.33333333333333,0,אוגוסטה ויקטוריה,
31.57894736842105,10,השרון ק. גולדה,58.92116165161133
25,13,שניידר,98.73417663574219
0,3,סנט וינסנט,62.68656539916992
