name,value
פראמדיקים,4
פסיכולוגיה,6
שירות סוציאלי,6
פיזיותרפיה,7
קלינאות תקשורת,8
ריפוי בעיסוק,14
מעבדה,15
רוקחות,23
חובשי רפואת חירום,31
מערך לוגיסטי,38
כוח עזר,46
מינהל ומשק,273
סקטורים אחרים,510
