section,female,male,period
0-9,"{'amount': 9, 'percentage': 0.4}","{'amount': 22, 'percentage': 0.9}",שנה
0-9,"{'amount': 8, 'percentage': 0.5}","{'amount': 17, 'percentage': 1.1}",6 חודשים
0-9,"{'amount': 8, 'percentage': 0.7}","{'amount': 15, 'percentage': 1.3}",3 חודשים
0-9,"{'amount': 2, 'percentage': 0.8}","{'amount': 1, 'percentage': 0.4}",חודש אחרון
0-9,"{'amount': 15, 'percentage': 0.3}","{'amount': 30, 'percentage': 0.5}",מתחילת קורונה
10-19,"{'amount': 10, 'percentage': 0.7}","{'amount': 10, 'percentage': 0.7}",6 חודשים
10-19,"{'amount': 15, 'percentage': 0.6}","{'amount': 14, 'percentage': 0.6}",שנה
10-19,"{'amount': 8, 'percentage': 0.7}","{'amount': 9, 'percentage': 0.8}",3 חודשים
10-19,"{'amount': 1, 'percentage': 0.4}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 23, 'percentage': 0.4}",מתחילת קורונה
20-29,"{'amount': 21, 'percentage': 0.9}","{'amount': 22, 'percentage': 0.9}",שנה
20-29,"{'amount': 14, 'percentage': 0.9}","{'amount': 15, 'percentage': 1}",6 חודשים
20-29,"{'amount': 10, 'percentage': 0.8}","{'amount': 10, 'percentage': 0.8}",3 חודשים
20-29,"{'amount': 1, 'percentage': 0.4}","{'amount': 3, 'percentage': 1.1}",חודש אחרון
20-29,"{'amount': 58, 'percentage': 1}","{'amount': 53, 'percentage': 0.9}",מתחילת קורונה
30-39,"{'amount': 40, 'percentage': 1.7}","{'amount': 47, 'percentage': 2}",שנה
30-39,"{'amount': 18, 'percentage': 1.2}","{'amount': 33, 'percentage': 2.2}",6 חודשים
30-39,"{'amount': 11, 'percentage': 0.9}","{'amount': 23, 'percentage': 1.9}",3 חודשים
30-39,"{'amount': 5, 'percentage': 1.9}","{'amount': 9, 'percentage': 3.4}",חודש אחרון
30-39,"{'amount': 101, 'percentage': 1.7}","{'amount': 102, 'percentage': 1.7}",מתחילת קורונה
40-49,"{'amount': 52, 'percentage': 2.2}","{'amount': 116, 'percentage': 4.8}",שנה
40-49,"{'amount': 16, 'percentage': 1.3}","{'amount': 39, 'percentage': 3.3}",3 חודשים
40-49,"{'amount': 27, 'percentage': 1.8}","{'amount': 64, 'percentage': 4.3}",6 חודשים
40-49,"{'amount': 7, 'percentage': 2.7}","{'amount': 7, 'percentage': 2.7}",חודש אחרון
40-49,"{'amount': 136, 'percentage': 2.3}","{'amount': 263, 'percentage': 4.4}",מתחילת קורונה
50-59,"{'amount': 46, 'percentage': 3.8}","{'amount': 88, 'percentage': 7.3}",3 חודשים
50-59,"{'amount': 66, 'percentage': 4.5}","{'amount': 124, 'percentage': 8.4}",6 חודשים
50-59,"{'amount': 118, 'percentage': 4.9}","{'amount': 208, 'percentage': 8.7}",שנה
50-59,"{'amount': 6, 'percentage': 2.3}","{'amount': 20, 'percentage': 7.7}",חודש אחרון
50-59,"{'amount': 251, 'percentage': 4.2}","{'amount': 541, 'percentage': 9.1}",מתחילת קורונה
60-69,"{'amount': 84, 'percentage': 7}","{'amount': 137, 'percentage': 11.4}",3 חודשים
60-69,"{'amount': 217, 'percentage': 9}","{'amount': 296, 'percentage': 12.3}",שנה
60-69,"{'amount': 114, 'percentage': 7.7}","{'amount': 176, 'percentage': 11.9}",6 חודשים
60-69,"{'amount': 22, 'percentage': 8.4}","{'amount': 35, 'percentage': 13.4}",חודש אחרון
60-69,"{'amount': 499, 'percentage': 8.4}","{'amount': 917, 'percentage': 15.4}",מתחילת קורונה
70-79,"{'amount': 157, 'percentage': 10.6}","{'amount': 217, 'percentage': 14.6}",6 חודשים
70-79,"{'amount': 245, 'percentage': 10.2}","{'amount': 354, 'percentage': 14.7}",שנה
70-79,"{'amount': 125, 'percentage': 10.4}","{'amount': 196, 'percentage': 16.3}",3 חודשים
70-79,"{'amount': 26, 'percentage': 10}","{'amount': 45, 'percentage': 17.2}",חודש אחרון
70-79,"{'amount': 572, 'percentage': 9.6}","{'amount': 1001, 'percentage': 16.8}",מתחילת קורונה
80-89,"{'amount': 144, 'percentage': 9.7}","{'amount': 176, 'percentage': 11.9}",6 חודשים
80-89,"{'amount': 220, 'percentage': 9.2}","{'amount': 262, 'percentage': 10.9}",שנה
80-89,"{'amount': 131, 'percentage': 10.9}","{'amount': 157, 'percentage': 13.1}",3 חודשים
80-89,"{'amount': 19, 'percentage': 7.3}","{'amount': 35, 'percentage': 13.4}",חודש אחרון
80-89,"{'amount': 472, 'percentage': 7.9}","{'amount': 630, 'percentage': 10.6}",מתחילת קורונה
90+,"{'amount': 65, 'percentage': 2.7}","{'amount': 61, 'percentage': 2.5}",שנה
90+,"{'amount': 48, 'percentage': 3.2}","{'amount': 45, 'percentage': 3}",6 חודשים
90+,"{'amount': 9, 'percentage': 3.4}","{'amount': 8, 'percentage': 3.1}",חודש אחרון
90+,"{'amount': 43, 'percentage': 3.6}","{'amount': 43, 'percentage': 3.6}",3 חודשים
90+,"{'amount': 136, 'percentage': 2.3}","{'amount': 139, 'percentage': 2.3}",מתחילת קורונה
