date,amountNoSurvey,amountSurvey
2020-02-20T00:00:00.000Z,29,0
2020-02-21T00:00:00.000Z,26,2
2020-02-22T00:00:00.000Z,13,0
2020-02-23T00:00:00.000Z,53,3
2020-02-24T00:00:00.000Z,73,1
2020-02-25T00:00:00.000Z,107,1
2020-02-26T00:00:00.000Z,104,4
2020-02-27T00:00:00.000Z,169,2
2020-02-28T00:00:00.000Z,115,3
2020-02-29T00:00:00.000Z,158,0
2020-03-01T00:00:00.000Z,169,9
2020-03-02T00:00:00.000Z,163,7
2020-03-03T00:00:00.000Z,220,7
2020-03-04T00:00:00.000Z,119,9
2020-03-05T00:00:00.000Z,157,8
2020-03-06T00:00:00.000Z,269,5
2020-03-07T00:00:00.000Z,316,8
2020-03-08T00:00:00.000Z,406,11
2020-03-09T00:00:00.000Z,499,16
2020-03-10T00:00:00.000Z,479,16
2020-03-11T00:00:00.000Z,366,10
2020-03-12T00:00:00.000Z,570,24
2020-03-13T00:00:00.000Z,650,39
2020-03-14T00:00:00.000Z,571,40
2020-03-15T00:00:00.000Z,1066,59
2020-03-16T00:00:00.000Z,1255,66
2020-03-17T00:00:00.000Z,1505,61
2020-03-18T00:00:00.000Z,1906,84
2020-03-19T00:00:00.000Z,1873,110
2020-03-20T00:00:00.000Z,2124,107
2020-03-21T00:00:00.000Z,1958,108
2020-03-22T00:00:00.000Z,3041,178
2020-03-23T00:00:00.000Z,3303,197
2020-03-24T00:00:00.000Z,4379,261
2020-03-25T00:00:00.000Z,5471,316
2020-03-26T00:00:00.000Z,5975,308
2020-03-27T00:00:00.000Z,5194,390
2020-03-28T00:00:00.000Z,5105,430
2020-03-29T00:00:00.000Z,6861,376
2020-03-30T00:00:00.000Z,6487,335
2020-03-31T00:00:00.000Z,7068,463
2020-04-01T00:00:00.000Z,7955,623
2020-04-02T00:00:00.000Z,8569,900
2020-04-03T00:00:00.000Z,9065,714
2020-04-04T00:00:00.000Z,5416,572
2020-04-05T00:00:00.000Z,7848,929
2020-04-06T00:00:00.000Z,6232,537
2020-04-07T00:00:00.000Z,5578,598
2020-04-08T00:00:00.000Z,4246,702
2020-04-09T00:00:00.000Z,4411,591
2020-04-10T00:00:00.000Z,5392,935
2020-04-11T00:00:00.000Z,4497,1266
2020-04-12T00:00:00.000Z,6864,1660
2020-04-13T00:00:00.000Z,7782,1405
2020-04-14T00:00:00.000Z,8395,2570
2020-04-15T00:00:00.000Z,6132,1667
2020-04-16T00:00:00.000Z,8515,2694
2020-04-17T00:00:00.000Z,7471,2501
2020-04-18T00:00:00.000Z,6405,2555
2020-04-19T00:00:00.000Z,7402,2595
2020-04-20T00:00:00.000Z,10379,2916
2020-04-21T00:00:00.000Z,9054,2581
2020-04-22T00:00:00.000Z,8938,2834
2020-04-23T00:00:00.000Z,9413,2846
2020-04-24T00:00:00.000Z,7519,2958
2020-04-25T00:00:00.000Z,5413,1944
2020-04-26T00:00:00.000Z,4631,2711
2020-04-27T00:00:00.000Z,7561,1838
2020-04-28T00:00:00.000Z,7043,1772
2020-04-29T00:00:00.000Z,5117,2276
2020-04-30T00:00:00.000Z,6279,2314
2020-05-01T00:00:00.000Z,6496,2725
2020-05-02T00:00:00.000Z,3590,1171
2020-05-03T00:00:00.000Z,4716,2684
2020-05-04T00:00:00.000Z,5620,2334
