name,value
פראמדיקים,4
פסיכולוגיה,6
קלינאות תקשורת,7
פיזיותרפיה,12
שירות סוציאלי,15
ריפוי בעיסוק,16
מעבדה,24
רוקחות,28
מערך לוגיסטי,66
חובשי רפואת חירום,67
כוח עזר,80
מינהל ומשק,402
סקטורים אחרים,659
