actualSick,city,sickCount,status,testLast7Days,verifiedLast7Days
2977,בני ברק,6694,"נדרשים הסברה, בדיקות ואכיפת בידוד",5177,1011
1120,ביתר עילית,1704,"נדרשים הסברה, בדיקות ואכיפת בידוד",1460,304
1006,בית שמש,1805,"נדרשים הסברה, בדיקות ואכיפת בידוד",2380,467
668,מודיעין עילית,1304,"נדרשים הסברה, בדיקות ואכיפת בידוד",1356,302
535,אלעד,1051,"נדרשים הסברה, בדיקות ואכיפת בידוד",1150,269
439,קלנסווה,461,"נדרשים הסברה, בדיקות ואכיפת בידוד",1644,264
137,עין מאהל,145,"נדרשים הסברה, בדיקות ואכיפת בידוד",560,90
17,כפר מצר,26,"נדרשים הסברה, בדיקות ואכיפת בידוד",61,15
 קטן מ-15 ,מבוא חורון,15,"נדרשים הסברה, בדיקות ואכיפת בידוד",47, קטן מ-15 
5444,ירושלים,10797,נדרשת הגדלה של מספר הבדיקות,16757,2017
2206,תל אביב - יפו,3504,נדרשת הגדלה של מספר הבדיקות,7549,402
792,חולון,1178,נדרשת הגדלה של מספר הבדיקות,3508,309
250,נצרת,288,נדרשת הגדלה של מספר הבדיקות,871,130
241,טייבה,324,נדרשת הגדלה של מספר הבדיקות,784,133
134,רכסים,214,נדרשת הגדלה של מספר הבדיקות,311,44
132,גבעת זאב,213,נדרשת הגדלה של מספר הבדיקות,353,52
68,יפיע,81,נדרשת הגדלה של מספר הבדיקות,204,36
62,כפר מנדא,62,נדרשת הגדלה של מספר הבדיקות,212,38
59,יבנאל,94,נדרשת הגדלה של מספר הבדיקות,75, קטן מ-15 
59,"כפר חב""ד",112,נדרשת הגדלה של מספר הבדיקות,129,20
45,ירוחם,58,נדרשת הגדלה של מספר הבדיקות,223,23
38,בנימינה-גבעת עדה,47,נדרשת הגדלה של מספר הבדיקות,232,22
30,שלומי,42,נדרשת הגדלה של מספר הבדיקות,127,17
28,חשמונאים,33,נדרשת הגדלה של מספר הבדיקות,86, קטן מ-15 
25,כפר כנא,44,נדרשת הגדלה של מספר הבדיקות,253,21
24,גבע בנימין,37,נדרשת הגדלה של מספר הבדיקות,98,15
24,זמר,31,נדרשת הגדלה של מספר הבדיקות,128,19
19,פוריידיס,34,נדרשת הגדלה של מספר הבדיקות,185, קטן מ-15 
18,עומר,39,נדרשת הגדלה של מספר הבדיקות,117, קטן מ-15 
17,הושעיה,20,נדרשת הגדלה של מספר הבדיקות,27, קטן מ-15 
15,קיסריה,19,נדרשת הגדלה של מספר הבדיקות,79, קטן מ-15 
15,אבו גוש,18,נדרשת הגדלה של מספר הבדיקות,110, קטן מ-15 
 קטן מ-15 ,דייר חנא,25,נדרשת הגדלה של מספר הבדיקות,113, קטן מ-15 
 קטן מ-15 ,קרני שומרון,22,נדרשת הגדלה של מספר הבדיקות,113, קטן מ-15 
 קטן מ-15 ,עין נקובא, קטן מ-15 ,נדרשת הגדלה של מספר הבדיקות,54, קטן מ-15 
 קטן מ-15 ,טורעאן, קטן מ-15 ,נדרשת הגדלה של מספר הבדיקות,139, קטן מ-15 
1092,אשדוד,2054,"נדרשת הידברות, הסברה ואכיפה",4529,321
1090,פתח תקווה,1676,"נדרשת הידברות, הסברה ואכיפה",5295,345
713,לוד,945,"נדרשת הידברות, הסברה ואכיפה",1860,172
687,ראשון לציון,1157,"נדרשת הידברות, הסברה ואכיפה",4466,197
658,באר שבע,1016,"נדרשת הידברות, הסברה ואכיפה",4371,259
656,חיפה,1025,"נדרשת הידברות, הסברה ואכיפה",3866,241
571,נתניה,958,"נדרשת הידברות, הסברה ואכיפה",3043,180
549,בת ים,1032,"נדרשת הידברות, הסברה ואכיפה",2353,145
500,אשקלון,858,"נדרשת הידברות, הסברה ואכיפה",2764,198
487,רמלה,697,"נדרשת הידברות, הסברה ואכיפה",1697,156
482,רמת גן,810,"נדרשת הידברות, הסברה ואכיפה",2565,132
457,רחובות,752,"נדרשת הידברות, הסברה ואכיפה",2325,148
373,קרית גת,584,"נדרשת הידברות, הסברה ואכיפה",1462,98
303,רעננה,506,"נדרשת הידברות, הסברה ואכיפה",1269,61
292,מודיעין-מכבים-רעות,484,"נדרשת הידברות, הסברה ואכיפה",1169,75
290,רהט,535,"נדרשת הידברות, הסברה ואכיפה",686,59
286,קרית מלאכי,430,"נדרשת הידברות, הסברה ואכיפה",449,60
275,הרצליה,472,"נדרשת הידברות, הסברה ואכיפה",1693,70
249,טבריה,556,"נדרשת הידברות, הסברה ואכיפה",844,60
242,ראש העין,335,"נדרשת הידברות, הסברה ואכיפה",1066,74
241,אור יהודה,458,"נדרשת הידברות, הסברה ואכיפה",800,60
241,אילת,296,"נדרשת הידברות, הסברה ואכיפה",876,79
227,כפר סבא,348,"נדרשת הידברות, הסברה ואכיפה",1907,64
224,דימונה,321,"נדרשת הידברות, הסברה ואכיפה",793,32
209,באקה אל-גרביה,308,"נדרשת הידברות, הסברה ואכיפה",558,50
203,קרית אתא,256,"נדרשת הידברות, הסברה ואכיפה",1010,62
199,חדרה,348,"נדרשת הידברות, הסברה ואכיפה",1838,67
185,נס ציונה,243,"נדרשת הידברות, הסברה ואכיפה",713,47
180,נתיבות,324,"נדרשת הידברות, הסברה ואכיפה",802,82
174,יבנה,267,"נדרשת הידברות, הסברה ואכיפה",649,35
153,כפר קאסם,211,"נדרשת הידברות, הסברה ואכיפה",202,25
151,גן יבנה,217,"נדרשת הידברות, הסברה ואכיפה",416,26
146,גבעתיים,233,"נדרשת הידברות, הסברה ואכיפה",703,31
142,נהריה,238,"נדרשת הידברות, הסברה ואכיפה",906,38
136,רמת השרון,203,"נדרשת הידברות, הסברה ואכיפה",621,33
136,הוד השרון,220,"נדרשת הידברות, הסברה ואכיפה",1061,36
132,כפר קרע,198,"נדרשת הידברות, הסברה ואכיפה",382,24
131,אופקים,208,"נדרשת הידברות, הסברה ואכיפה",638,25
130,אום אל-פחם,257,"נדרשת הידברות, הסברה ואכיפה",547,54
127,אור עקיבא,140,"נדרשת הידברות, הסברה ואכיפה",586,27
120,בית שאן,163,"נדרשת הידברות, הסברה ואכיפה",329,29
106,פרדס חנה-כרכור,166,"נדרשת הידברות, הסברה ואכיפה",589,15
105,קרית אונו,187,"נדרשת הידברות, הסברה ואכיפה",603,17
105,גבעת שמואל,170,"נדרשת הידברות, הסברה ואכיפה",432,40
101,מעלה אדומים,191,"נדרשת הידברות, הסברה ואכיפה",502,21
100,כסיפה,154,"נדרשת הידברות, הסברה ואכיפה",130, קטן מ-15 
100,ערד,135,"נדרשת הידברות, הסברה ואכיפה",454, קטן מ-15 
94,טירה,121,"נדרשת הידברות, הסברה ואכיפה",397,35
91,יהוד,191,"נדרשת הידברות, הסברה ואכיפה",435,25
90,ערערה-בנגב,319,"נדרשת הידברות, הסברה ואכיפה",122, קטן מ-15 
89,באר יעקב,149,"נדרשת הידברות, הסברה ואכיפה",409,20
75,מזכרת בתיה,104,"נדרשת הידברות, הסברה ואכיפה",311,31
73,גדרה,147,"נדרשת הידברות, הסברה ואכיפה",741, קטן מ-15 
72,צפת,193,"נדרשת הידברות, הסברה ואכיפה",249,18
