period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,155143,48685,31.38
3_Month,0-9,1136201,452723,39.85
6_Month,0-9,1294770,499005,38.54
1_Year,0-9,1488438,584181,39.25
All,0-9,1671145,689649,41.27
1_Month,10-19,148049,47257,31.92
3_Month,10-19,1037200,493070,47.54
6_Month,10-19,1181238,525582,44.49
1_Year,10-19,1370991,591259,43.13
All,10-19,1581909,734676,46.44
1_Month,20-29,166244,32925,19.81
3_Month,20-29,805588,322050,39.98
6_Month,20-29,981189,338740,34.52
1_Year,20-29,1169563,388622,33.23
All,20-29,1381844,510736,36.96
1_Month,30-39,165913,40033,24.13
3_Month,30-39,789912,343897,43.54
6_Month,30-39,939434,363327,38.68
1_Year,30-39,1103708,412285,37.35
All,30-39,1275875,499108,39.12
1_Month,40-49,162390,37744,23.24
3_Month,40-49,725516,314693,43.38
6_Month,40-49,848033,328223,38.7
1_Year,40-49,983001,367488,37.38
All,40-49,1130067,442245,39.13
1_Month,50-59,136539,26103,19.12
3_Month,50-59,529682,203476,38.41
6_Month,50-59,634601,209818,33.06
1_Year,50-59,739158,233244,31.56
All,50-59,861251,291057,33.79
1_Month,60-69,118428,17986,15.19
3_Month,60-69,424971,133825,31.49
6_Month,60-69,511215,137628,26.92
1_Year,60-69,596829,152815,25.6
All,60-69,694054,191403,27.58
1_Month,70-79,79126,10307,13.03
3_Month,70-79,257143,68828,26.77
6_Month,70-79,311638,70708,22.69
1_Year,70-79,368865,79145,21.46
All,70-79,431747,99523,23.05
1_Month,80-89,36296,3907,10.76
3_Month,80-89,99980,26759,26.76
6_Month,80-89,119247,27654,23.19
1_Year,80-89,146319,31760,21.71
All,80-89,185225,42611,23
1_Month,90+,10043,973,9.69
3_Month,90+,24514,7077,28.87
6_Month,90+,28861,7323,25.37
1_Year,90+,35909,8399,23.39
All,90+,48661,12039,24.74
