instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,39.5,61,2022-03-14T00:00:00.000Z
פוריה,56.4,72.4,2022-03-14T00:00:00.000Z
סורוקה,64.3,77.7,2022-03-14T00:00:00.000Z
יוספטל,68.8,56.9,2022-03-14T00:00:00.000Z
הכרמל,70.8,83.4,2022-03-14T00:00:00.000Z
הדסה הר הצופים,77.8,84.7,2022-03-14T00:00:00.000Z
וולפסון,78.3,76.3,2022-03-14T00:00:00.000Z
לניאדו,78.2,98.1,2022-03-14T00:00:00.000Z
מאיר,83,88.2,2022-03-14T00:00:00.000Z
שמיר,86.1,73.3,2022-03-14T00:00:00.000Z
המרכזי בעמק,89,70.5,2022-03-14T00:00:00.000Z
בני ציון,92.6,93.1,2022-03-14T00:00:00.000Z
"רמב""ם",93.9,86.2,2022-03-14T00:00:00.000Z
זיו צפת,95.3,76.1,2022-03-14T00:00:00.000Z
ברזילי,97.9,91.2,2022-03-14T00:00:00.000Z
שיבא,98.7,107.2,2022-03-14T00:00:00.000Z
קפלן,99.3,91.3,2022-03-14T00:00:00.000Z
נהריה,100,87.8,2022-03-14T00:00:00.000Z
הלל יפה,105.5,88.3,2022-03-14T00:00:00.000Z
מ.גריאטרי פרדס חנה,,42.3,2022-03-14T00:00:00.000Z
הדסה עין כרם,125.2,96.8,2022-03-14T00:00:00.000Z
רבין ק. בילינסון,129.1,95.6,2022-03-14T00:00:00.000Z
אסותא אשדוד,133.9,106.1,2022-03-14T00:00:00.000Z
המשפחה הקדושה,172.4,118.1,2022-03-14T00:00:00.000Z
