CountBreath,CountDeath,CountEasyStatus,CountHardStatus,CountMediumStatus,Counthospitalized,Counthospitalized_without_release,StandardOccupancy,date,new_hospitalized,num_visits,patients_home,patients_hotel,total_beds
0,0,11,0,0,11,11,0.005971769815418024,2020-03-02T00:00:00.000Z,1,5632,-105,0,1842
0,0,10,0,0,10,10,0.005428881650380022,2020-03-03T00:00:00.000Z,0,7857,-102,0,1842
0,0,12,0,0,12,11,0.006514657980456026,2020-03-04T00:00:00.000Z,0,7012,-104,0,1842
0,0,12,1,0,13,13,0.007057546145494028,2020-03-05T00:00:00.000Z,1,7012,-104,0,1842
1,0,14,2,0,16,16,0.008686210640608035,2020-03-06T00:00:00.000Z,1,5177,-103,0,1842
2,0,17,3,0,20,20,0.01085776330076004,2020-03-07T00:00:00.000Z,1,4861,-103,0,1842
4,0,21,5,0,26,26,0.01411509229098806,2020-03-08T00:00:00.000Z,2,7330,-101,0,1842
5,0,33,6,0,39,39,0.02117263843648208,2020-03-09T00:00:00.000Z,7,6205,-110,0,1842
5,0,53,6,0,59,59,0.03203040173724213,2020-03-10T00:00:00.000Z,2,6021,-97,0,1842
6,0,73,7,1,81,81,0.04397394136807818,2020-03-11T00:00:00.000Z,10,5981,-100,0,1842
6,0,95,7,1,103,101,0.05591748099891422,2020-03-12T00:00:00.000Z,6,5983,-98,0,1842
6,0,112,7,4,123,122,0.06677524429967427,2020-03-13T00:00:00.000Z,10,4121,-85,0,1842
4,0,152,6,4,162,161,0.08794788273615635,2020-03-14T00:00:00.000Z,20,3692,-95,0,1842
6,0,187,9,6,202,200,0.1096634093376764,2020-03-15T00:00:00.000Z,37,5489,-95,0,1842
7,0,205,11,5,221,215,0.1199782844733985,2020-03-16T00:00:00.000Z,27,4758,-37,0,1842
7,0,238,12,6,256,256,0.1389793702497286,2020-03-17T00:00:00.000Z,46,4338,12,0,1842
7,0,279,16,11,306,269,0.1661237785016287,2020-03-18T00:00:00.000Z,54,3920,112,0,1842
12,0,263,21,11,295,264,0.1601520086862106,2020-03-19T00:00:00.000Z,31,4053,243,0,1842
12,1,252,23,14,289,251,0.1568946796959826,2020-03-20T00:00:00.000Z,30,3207,418,0,1842
15,0,229,27,21,277,274,0.1503800217155266,2020-03-21T00:00:00.000Z,35,2905,601,0,1842
22,0,255,37,32,324,305,0.1758957654723127,2020-03-22T00:00:00.000Z,54,4523,816,0,1842
24,0,274,42,36,352,323,0.1910966340933768,2020-03-23T00:00:00.000Z,58,4053,1137,0,1842
26,3,302,45,48,395,343,0.2144408251900109,2020-03-24T00:00:00.000Z,82,3963,1528,0,1842
28,1,311,49,53,413,397,0.2242128121606949,2020-03-25T00:00:00.000Z,81,3666,1886,0,1842
31,5,345,54,65,464,413,0.251900108577633,2020-03-26T00:00:00.000Z,83,3925,2369,0,1842
37,2,381,65,69,515,469,0.2795874049945711,2020-03-27T00:00:00.000Z,110,3267,2731,0,1842
41,1,362,69,82,513,485,0.2785016286644951,2020-03-28T00:00:00.000Z,53,2834,3171,0,1842
50,3,377,79,88,544,516,0.2953311617806732,2020-03-29T00:00:00.000Z,70,4289,3634,0,1842
54,1,427,87,105,619,570,0.3360477741585233,2020-03-30T00:00:00.000Z,121,3886,4087,0,1842
64,4,457,97,114,668,628,0.3626492942453855,2020-03-31T00:00:00.000Z,111,4005,4695,0,1842
72,8,515,111,143,769,728,0.4174809989142237,2020-04-01T00:00:00.000Z,147,4088,4536,689,1842
79,10,555,113,145,813,728,0.4413680781758957,2020-04-02T00:00:00.000Z,115,4284,5115,720,1842
93,5,515,130,159,804,719,0.4364820846905538,2020-04-03T00:00:00.000Z,97,3494,5627,717,1842
107,7,481,139,171,791,752,0.4294245385450597,2020-04-04T00:00:00.000Z,73,3155,5953,718,1842
107,6,498,135,194,827,743,0.4489685124864278,2020-04-05T00:00:00.000Z,100,4495,6453,693,1842
110,7,458,147,209,814,703,0.4419109663409337,2020-04-06T00:00:00.000Z,93,4088,6729,796,1842
106,7,388,159,201,748,656,0.4060803474484256,2020-04-07T00:00:00.000Z,72,4313,6981,819,1842
115,9,336,166,193,695,622,0.3773072747014115,2020-04-08T00:00:00.000Z,57,3511,7148,859,1842
117,9,312,166,187,665,634,0.3610206297502714,2020-04-09T00:00:00.000Z,65,3363,7264,944,1842
128,8,330,170,170,670,598,0.3637350705754615,2020-04-10T00:00:00.000Z,56,4086,7385,1002,1842
130,6,283,182,162,627,595,0.3403908794788274,2020-04-11T00:00:00.000Z,39,3172,7493,1061,1842
