name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
מצפה יריחו,7.1,כתום,54.6,0.0321100917431,-0.4814814814815001,25,כתום,2021-03-18T00:00:00.000Z,39.61013645224172,34.97076023391813,97.5
פרדס חנה-כרכור,4.7,צהוב,13.5,0.0222557525462,-0.2337662337663,100,צהוב,2021-03-18T00:00:00.000Z,56.51376987581909,51.30367043944462,22.9
קרית שמונה,2.8,ירוק,0.9,0.0038461538461,0, קטן מ-15 ,ירוק,2021-03-18T00:00:00.000Z,64.62394303515799,58.29105473965287,
קיסריה,3,ירוק,1.8,0.0032573289902,-0.2307692307693, קטן מ-15 ,ירוק,2021-03-18T00:00:00.000Z,71.77016416845112,66.97002141327623,
ראש העין,4.1,ירוק,12.3,0.0161951619516,-0.508875739645,135,ירוק,2021-03-18T00:00:00.000Z,56.197929815703105,50.45220309785111,20.0
צפת,5.6,צהוב,17.6,0.0424242424242,-0.4920634920635,146,צהוב,2021-03-18T00:00:00.000Z,34.97789858056722,29.717486203772342,40.1
נצרת,5.4,צהוב,15.7,0.0793237971391,-0.5531135531136,296,צהוב,2021-03-18T00:00:00.000Z,51.4343787789127,40.306686906630304,38.1
לפיד,2,ירוק,0.0,0,0, 0 ,ירוק,2021-03-18T00:00:00.000Z,74.32835820895522,69.3816631130064,0.0
רמת השרון,1.8,ירוק,2.1,0.0041788549937,-0.6875,37,ירוק,2021-03-18T00:00:00.000Z,68.16477823175097,64.93829240554315,7.8
כפר יונה,2.4,ירוק,6.1,0.0133444537114,-0.6279069767442,32,ירוק,2021-03-18T00:00:00.000Z,56.39250191277735,51.99693955623565,12.2
בנימינה-גבעת עדה,4.8,צהוב,6.3,0.0121951219512,-0.2857142857143,16,צהוב,2021-03-18T00:00:00.000Z,59.9273683551437,56.46484252708033,10.0
אבטין,5.8,צהוב,6.9,0.0416666666666,0, קטן מ-15 ,צהוב,2021-03-18T00:00:00.000Z,50.12123311395913,41.35781087634222,
נווה דניאל,5.2,צהוב,21.6,0.0173611111111,0, קטן מ-15 ,צהוב,2021-03-18T00:00:00.000Z,57.62931034482759,52.8448275862069,
נוף הגליל,3.3,ירוק,11.2,0.0148193887002,-0.5727272727273001,106,ירוק,2021-03-18T00:00:00.000Z,61.93563766388558,53.71871275327771,25.3
מוקייבלה,4.2,צהוב,24.2,0.079365079365,-0.5454545454546, קטן מ-15 ,צהוב,2021-03-18T00:00:00.000Z,52.618816682832204,38.60329776915616,
עיילבון,3.3,ירוק,10.4,0.0447761194029,-0.1666666666667001,16,ירוק,2021-03-18T00:00:00.000Z,56.962463241653694,46.09929078014184,27.7
עלי,2.8,ירוק,0.0,0,-0.5652173913044001, קטן מ-15 ,ירוק,2021-03-18T00:00:00.000Z,43.366778149386846,38.7736900780379,
פדואל,4.1,ירוק,4.9,0.0072463768115,0, קטן מ-15 ,ירוק,2021-03-18T00:00:00.000Z,52.33415233415234,47.960687960687956,
שעב,4.6,ירוק,11.1,0.0575539568345,0, קטן מ-15 ,ירוק,2021-03-18T00:00:00.000Z,52.707581227436826,40.41932796445432,
עראבה,5.5,צהוב,15.2,0.078125,-0.1111111111112,73,צהוב,2021-03-18T00:00:00.000Z,47.56413184136409,37.05183831925097,27.8
נאעורה,5.1,צהוב,8.5,0.0689655172413,0, קטן מ-15 ,צהוב,2021-03-18T00:00:00.000Z,55.437100213219615,45.45842217484009,
קציר,4.4,ירוק,16.9,0.0167785234899,0, קטן מ-15 ,ירוק,2021-03-18T00:00:00.000Z,54.17653026716267,49.949272911734866,
מצפה רמון,5.3,צהוב,36.7,0.0295950155763,-0.4411764705883,28,צהוב,2021-03-18T00:00:00.000Z,50.221879220528656,43.23750723519198,54.0
קרית אונו,2.9,ירוק,4.9,0.0134271099744,-0.2307692307693,34,ירוק,2021-03-18T00:00:00.000Z,63.36995438716955,59.735641767619796,8.3
יהוד,4.1,ירוק,11.7,0.0279552715654,0.75,44,ירוק,2021-03-18T00:00:00.000Z,66.46668666466687,61.147218611472184,14.7
אורנית,3.6,ירוק,2.2,0.0047281323877,0, קטן מ-15 ,ירוק,2021-03-18T00:00:00.000Z,67.59156492785795,63.451720310765815,
עין נקובא,3.7,ירוק,11.2,0.0816326530612,0, קטן מ-15 ,ירוק,2021-03-18T00:00:00.000Z,36.83916083916084,25.09090909090909,
דייר אל-אסד,3.1,ירוק,3.9,0.0387596899224,-0.4117647058824, קטן מ-15 ,ירוק,2021-03-18T00:00:00.000Z,50.8654602675059,40.25177025963808,
עילוט,3.9,ירוק,8.2,0.0642201834862,-0.4117647058824,19,ירוק,2021-03-18T00:00:00.000Z,42.91075407529025,30.83147648645479,22.3
עומר,2.3,ירוק,1.3,0.0030581039755,0, קטן מ-15 ,ירוק,2021-03-18T00:00:00.000Z,81.21284185493461,76.13951644867221,
מג'ד אל-כרום,5.5,צהוב,11.5,0.0671641791044,-0.625,49,צהוב,2021-03-18T00:00:00.000Z,48.69542919417911,35.98307583819476,31.4
