date,visited_country,israeli_incoming_vaccination,israeli_incoming_none_vaccination,israeli_incoming_vaccination_expired,israeli_positive_vaccination,israeli_positive_none_vaccination,israeli_positive_vaccination_expired
2021-10-13T00:00:00.000Z,Bulgaria,45,0,7,0,0,0
2021-11-04T00:00:00.000Z,Albania,3,0,0,0,0,0
2021-11-13T00:00:00.000Z,Poland,35,2,0,0,0,0
2021-11-29T00:00:00.000Z,Bulgaria,425,25,8,0,0,0
2021-12-04T00:00:00.000Z,Togo ,1,0,2,0,0,0
2021-12-14T00:00:00.000Z,Azerbaijan,1,0,0,0,0,0
2021-12-24T00:00:00.000Z,Uruguay ,8,1,1,0,0,0
2022-01-18T00:00:00.000Z,Netherlands,25,3,4,4,2,0
2022-01-19T00:00:00.000Z,Panama  ,7,1,0,0,0,0
2022-02-09T00:00:00.000Z,Mexico,25,11,4,0,1,0
2022-02-13T00:00:00.000Z,Philippines,2,2,1,0,0,0
2022-02-15T00:00:00.000Z,Sweden  ,5,4,0,0,0,0
2022-02-17T00:00:00.000Z,Norway  ,3,0,0,0,0,0
2022-02-21T00:00:00.000Z,Denmark,3,3,0,0,0,0
2022-03-08T00:00:00.000Z,Thailand ,31,6,3,0,0,0
2022-03-10T00:00:00.000Z,Canada,5,14,3,0,0,0
2022-03-12T00:00:00.000Z,Nepal ,1,0,0,0,0,0
2022-03-18T00:00:00.000Z,Austria ,626,57,6,89,2,1
2022-04-07T00:00:00.000Z,Monaco  ,1,1,0,0,0,0
2022-04-12T00:00:00.000Z,Romania ,473,94,30,19,1,1
2022-04-18T00:00:00.000Z,Serbia,32,14,1,1,0,0
2022-04-27T00:00:00.000Z,Czech Republic,116,21,4,4,1,0
2022-04-30T00:00:00.000Z,Chile  ,4,1,0,0,0,0
2022-05-24T00:00:00.000Z,Sweden  ,4,4,0,0,0,0
2022-05-24T00:00:00.000Z,Slovenia ,10,0,0,0,0,0
2022-05-26T00:00:00.000Z,Italy,974,108,22,27,1,0
2022-06-04T00:00:00.000Z,Romania ,201,24,6,2,0,0
2022-06-05T00:00:00.000Z,Montenegro,97,10,0,0,0,0
2022-06-21T00:00:00.000Z,Ecuador,0,0,0,0,0,0
2022-06-22T00:00:00.000Z,Slovakia ,1,0,0,0,0,0
2022-06-24T00:00:00.000Z,Tanzania,7,0,0,0,0,0
2022-07-01T00:00:00.000Z,Singapore ,9,2,0,0,0,0
