gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,שנה,359523,10.3,5,0.1,22,0.9,83,0.6,2027,5
זכר,0-9,חודש אחרון,9341,4.3,0,0,1,0.8,2,0.2,137,3.3
זכר,0-9,3 חודשים,22597,5.3,0,0,1,0.3,8,0.5,263,3.5
זכר,0-9,6 חודשים,283291,9.6,4,0.1,16,1.1,57,0.8,1519,5.5
זכר,0-9,מתחילת קורונה,428111,9.9,7,0.1,30,0.5,114,0.4,2918,3.7
נקבה,0-9,שנה,293216,8.4,2,0,11,0.4,57,0.4,1681,4.2
נקבה,0-9,מתחילת קורונה,351400,8.1,5,0,18,0.3,76,0.3,2400,3
נקבה,0-9,6 חודשים,222726,7.6,2,0.1,11,0.8,37,0.5,1259,4.5
נקבה,0-9,חודש אחרון,8260,3.8,0,0,2,1.6,4,0.4,126,3.1
נקבה,0-9,3 חודשים,18560,4.4,0,0,2,0.6,7,0.4,220,2.9
זכר,10-19,3 חודשים,20830,4.9,0,0,0,0,1,0.1,51,0.7
זכר,10-19,6 חודשים,275630,9.4,4,0.1,10,0.7,23,0.3,356,1.3
זכר,10-19,שנה,333048,9.6,5,0.1,15,0.6,41,0.3,537,1.3
זכר,10-19,חודש אחרון,10590,4.9,0,0,0,0,0,0,21,0.5
זכר,10-19,מתחילת קורונה,429953,10,7,0.1,24,0.4,77,0.3,991,1.2
נקבה,10-19,3 חודשים,21091,5,1,0.3,2,0.6,3,0.2,93,1.2
נקבה,10-19,שנה,333564,9.6,4,0.1,15,0.6,35,0.3,641,1.6
נקבה,10-19,חודש אחרון,11099,5.1,0,0,0,0,1,0.1,61,1.5
נקבה,10-19,6 חודשים,273034,9.3,3,0.1,9,0.6,16,0.2,414,1.5
נקבה,10-19,מתחילת קורונה,419173,9.7,8,0.1,23,0.4,79,0.3,1157,1.4
זכר,20-29,מתחילת קורונה,255525,5.9,24,0.2,55,0.9,244,0.8,1569,2
זכר,20-29,שנה,184744,5.3,5,0.1,22,0.9,93,0.7,631,1.6
זכר,20-29,6 חודשים,153162,5.2,2,0.1,11,0.8,40,0.5,392,1.4
זכר,20-29,חודש אחרון,9484,4.4,0,0,1,0.8,2,0.2,44,1.1
זכר,20-29,3 חודשים,18299,4.3,0,0,2,0.6,6,0.4,88,1.2
נקבה,20-29,שנה,280043,8,9,0.2,20,0.8,102,0.8,2631,6.5
נקבה,20-29,חודש אחרון,13535,6.2,0,0,1,0.8,5,0.6,179,4.4
נקבה,20-29,3 חודשים,26556,6.3,0,0,1,0.3,6,0.4,320,4.2
נקבה,20-29,6 חודשים,237868,8.1,5,0.2,10,0.7,26,0.3,1798,6.5
נקבה,20-29,מתחילת קורונה,363959,8.4,22,0.2,57,0.9,276,0.9,5077,6.4
זכר,30-39,שנה,199932,5.7,24,0.5,49,2,220,1.7,937,2.3
זכר,30-39,מתחילת קורונה,252675,5.9,53,0.5,105,1.7,629,2.1,2238,2.8
זכר,30-39,6 חודשים,168880,5.7,11,0.4,30,2.1,62,0.8,512,1.8
זכר,30-39,חודש אחרון,12007,5.5,0,0,2,1.6,4,0.4,67,1.6
זכר,30-39,3 חודשים,24813,5.8,2,0.5,10,2.9,12,0.7,133,1.8
נקבה,30-39,שנה,304352,8.7,17,0.4,36,1.5,223,1.7,2773,6.9
נקבה,30-39,חודש אחרון,16613,7.6,1,1,3,2.3,3,0.3,162,3.9
נקבה,30-39,3 חודשים,34443,8.1,3,0.8,7,2,13,0.8,360,4.8
נקבה,30-39,6 חודשים,259429,8.8,7,0.3,15,1,65,0.9,1807,6.5
נקבה,30-39,מתחילת קורונה,366870,8.5,39,0.4,105,1.7,597,2,5134,6.4
זכר,40-49,מתחילת קורונה,228098,5.3,121,1.1,264,4.3,1408,4.7,3573,4.5
זכר,40-49,שנה,183886,5.3,52,1.1,105,4.3,469,3.6,1293,3.2
זכר,40-49,6 חודשים,158392,5.4,17,0.6,46,3.2,138,1.8,647,2.3
זכר,40-49,חודש אחרון,11947,5.5,1,1,5,3.9,8,0.9,88,2.1
זכר,40-49,3 חודשים,24286,5.7,2,0.5,9,2.6,19,1.1,157,2.1
נקבה,40-49,שנה,273426,7.9,21,0.5,51,2.1,336,2.6,1462,3.6
נקבה,40-49,חודש אחרון,17993,8.3,0,0,1,0.8,5,0.6,86,2.1
נקבה,40-49,3 חודשים,35574,8.4,1,0.3,5,1.4,13,0.8,176,2.3
נקבה,40-49,6 חודשים,240097,8.2,11,0.4,18,1.3,85,1.1,782,2.8
נקבה,40-49,מתחילת קורונה,327746,7.6,76,0.7,139,2.3,969,3.3,3554,4.5
זכר,50-59,שנה,124195,3.6,138,3,188,7.7,729,5.6,1853,4.6
זכר,50-59,מתחילת קורונה,157073,3.6,391,3.6,549,8.9,2246,7.5,4912,6.2
זכר,50-59,חודש אחרון,10915,5,2,1.9,2,1.6,19,2.1,149,3.6
זכר,50-59,3 חודשים,20946,4.9,12,3,21,6,49,2.9,298,3.9
זכר,50-59,6 חודשים,109855,3.7,68,2.5,99,6.9,310,4.1,1120,4
נקבה,50-59,שנה,185105,5.3,74,1.6,105,4.3,538,4.1,1501,3.7
נקבה,50-59,3 חודשים,32923,7.8,3,0.8,6,1.7,34,2,184,2.4
נקבה,50-59,חודש אחרון,17191,7.9,0,0,3,2.3,17,1.9,95,2.3
נקבה,50-59,6 חודשים,166786,5.7,38,1.4,53,3.7,212,2.8,860,3.1
נקבה,50-59,מתחילת קורונה,223991,5.2,199,1.8,253,4.1,1583,5.3,3899,4.9
זכר,60-69,מתחילת קורונה,116037,2.7,1005,9.2,941,15.3,3339,11.2,6702,8.4
זכר,60-69,שנה,93499,2.7,361,8,310,12.6,1245,9.6,2930,7.3
זכר,60-69,6 חודשים,84334,2.9,179,6.6,169,11.8,657,8.8,1976,7.1
זכר,60-69,חודש אחרון,12147,5.6,7,6.7,21,16.4,74,8.3,328,8
זכר,60-69,3 חודשים,22350,5.3,18,4.5,52,14.9,139,8.2,598,7.9
נקבה,60-69,שנה,131595,3.8,256,5.6,214,8.7,918,7.1,2251,5.6
נקבה,60-69,מתחילת קורונה,155466,3.6,559,5.1,512,8.3,2259,7.6,4949,6.2
נקבה,60-69,חודש אחרון,17606,8.1,1,1,8,6.3,49,5.5,254,6.2
נקבה,60-69,3 חודשים,33186,7.8,15,3.8,26,7.5,92,5.4,460,6.1
נקבה,60-69,6 חודשים,120362,4.1,108,4,98,6.9,455,6.1,1465,5.3
זכר,70-79,3 חודשים,20523,4.8,55,13.8,67,19.3,255,15,933,12.3
זכר,70-79,שנה,60906,1.7,633,14,390,15.9,1679,12.9,3783,9.4
זכר,70-79,חודש אחרון,11766,5.4,19,18.1,26,20.3,135,15.2,521,12.7
זכר,70-79,6 חודשים,55924,1.9,365,13.5,244,17.1,1068,14.2,2805,10.1
זכר,70-79,מתחילת קורונה,72166,1.7,1662,15.1,1045,17,3798,12.8,7340,9.2
נקבה,70-79,שנה,75039,2.2,448,9.9,255,10.4,1292,10,3102,7.7
נקבה,70-79,חודש אחרון,14678,6.7,7,6.7,12,9.4,84,9.4,389,9.5
נקבה,70-79,3 חודשים,25797,6.1,38,9.5,30,8.6,165,9.7,706,9.3
נקבה,70-79,6 חודשים,69110,2.4,252,9.3,146,10.2,780,10.4,2242,8.1
נקבה,70-79,מתחילת קורונה,87065,2,1048,9.6,590,9.6,2857,9.6,5929,7.4
זכר,80-89,שנה,22553,0.6,808,17.8,276,11.2,1678,12.9,3560,8.8
זכר,80-89,מתחילת קורונה,27633,0.6,1926,17.6,653,10.6,3199,10.8,6047,7.6
