CountBreath,CountDeath,CountEasyStatus,CountHardStatus,CountMediumStatus,Counthospitalized,Counthospitalized_without_release,StandardOccupancy,date,new_hospitalized,num_visits,patients_home,patients_hotel,total_beds
0,0,11,0,0,11,11,0.00805860805860806,2020-03-02T00:00:00.000Z,1,5632,-220,0,1365
0,0,10,0,0,10,10,0.007326007326007326,2020-03-03T00:00:00.000Z,0,7857,-217,0,1365
0,0,12,0,0,12,11,0.008791208791208791,2020-03-04T00:00:00.000Z,0,7012,-219,0,1365
0,0,12,1,0,13,13,0.009523809523809525,2020-03-05T00:00:00.000Z,1,7012,-219,0,1365
1,0,14,2,0,16,16,0.01172161172161172,2020-03-06T00:00:00.000Z,1,5177,-218,0,1365
2,0,17,3,0,20,20,0.01465201465201465,2020-03-07T00:00:00.000Z,1,4861,-218,0,1365
4,0,21,5,0,26,26,0.01904761904761905,2020-03-08T00:00:00.000Z,2,7330,-216,0,1365
5,0,33,6,0,39,39,0.02857142857142857,2020-03-09T00:00:00.000Z,7,6205,-225,0,1365
5,0,53,6,0,59,59,0.04322344322344322,2020-03-10T00:00:00.000Z,2,6021,-212,0,1365
6,0,73,7,1,81,81,0.05934065934065934,2020-03-11T00:00:00.000Z,10,5981,-214,0,1365
6,0,95,7,1,103,101,0.07545787545787545,2020-03-12T00:00:00.000Z,6,5983,-213,0,1365
6,0,112,7,4,123,122,0.09010989010989011,2020-03-13T00:00:00.000Z,10,4121,-199,0,1365
4,0,152,6,4,162,161,0.1186813186813187,2020-03-14T00:00:00.000Z,20,3692,-209,0,1365
6,0,187,9,6,202,200,0.147985347985348,2020-03-15T00:00:00.000Z,37,5489,-210,0,1365
7,0,205,11,5,221,215,0.1619047619047619,2020-03-16T00:00:00.000Z,27,4759,-152,0,1365
7,0,238,12,6,256,256,0.1875457875457876,2020-03-17T00:00:00.000Z,46,4338,-103,0,1365
7,0,279,16,11,306,269,0.2241758241758242,2020-03-18T00:00:00.000Z,54,3920,-3,0,1365
12,0,263,21,11,295,264,0.2161172161172161,2020-03-19T00:00:00.000Z,31,4053,128,0,1365
12,1,252,23,14,289,251,0.2117216117216117,2020-03-20T00:00:00.000Z,30,3207,303,0,1365
15,0,229,27,21,277,274,0.2029304029304029,2020-03-21T00:00:00.000Z,35,2905,486,0,1365
22,0,255,37,32,324,305,0.2373626373626374,2020-03-22T00:00:00.000Z,54,4523,701,0,1365
24,0,274,42,36,352,323,0.2578754578754579,2020-03-23T00:00:00.000Z,58,4053,1022,0,1365
26,3,302,45,48,395,343,0.2893772893772894,2020-03-24T00:00:00.000Z,82,3963,1414,0,1365
28,1,311,49,53,413,397,0.3025641025641025,2020-03-25T00:00:00.000Z,81,3666,1772,0,1365
31,5,345,54,65,464,413,0.3399267399267399,2020-03-26T00:00:00.000Z,83,3925,2253,0,1365
37,2,381,65,69,515,468,0.3772893772893773,2020-03-27T00:00:00.000Z,110,3267,2619,0,1365
41,1,362,69,82,513,485,0.3758241758241758,2020-03-28T00:00:00.000Z,53,2834,3057,0,1365
50,3,377,79,88,544,516,0.3985347985347986,2020-03-29T00:00:00.000Z,70,4289,3520,0,1365
55,1,426,88,105,619,570,0.4534798534798535,2020-03-30T00:00:00.000Z,121,3886,3974,0,1365
64,4,456,97,115,668,628,0.4893772893772894,2020-03-31T00:00:00.000Z,111,4005,4582,0,1365
72,8,515,111,143,769,728,0.5633699633699634,2020-04-01T00:00:00.000Z,147,4088,4424,689,1365
79,10,555,113,145,813,728,0.5956043956043956,2020-04-02T00:00:00.000Z,115,4284,5005,720,1365
93,5,515,130,159,804,719,0.589010989010989,2020-04-03T00:00:00.000Z,97,3494,5515,717,1365
107,7,481,139,171,791,752,0.5794871794871795,2020-04-04T00:00:00.000Z,73,3155,5842,718,1365
107,6,498,135,194,827,743,0.6058608058608058,2020-04-05T00:00:00.000Z,100,4495,6347,693,1365
110,7,458,147,209,814,703,0.5963369963369963,2020-04-06T00:00:00.000Z,93,4088,6621,796,1365
106,7,388,159,201,748,656,0.547985347985348,2020-04-07T00:00:00.000Z,72,4313,6873,819,1365
