coronaOccupancy,isolatedTeam,name,normalOccupancy
115.99999999999999,129,הדסה עין כרם,96.7611312866211
86,92,שמיר (אסף הרופא),52.07632064819336
82,116,שיבא,86.0759506225586
78,70,שערי צדק,82.43243408203125
74,62,הלל יפה,71.45631408691406
66,84,סוראסקי,85.14090728759766
52,49,קפלן,97.4729232788086
50,65,מאיר,66.58097839355469
44,55,המרכזי בעמק,65
44,22,"רמב""ם",80.30928039550781
40,33,"אסותא אשדוד בי""ח",
38,28,ברזילי,65.33333587646484
38,39,מעייני הישועה,
34,87,סורוקה,64.46568298339844
32,25,וולפסון,61.63982391357422
28.000000000000004,81,רבין ק. בילינסון,72.69461059570312
24,28,לניאדו,1.671309232711792
6,27,שניידר,89.87342071533203
4,26,נהריה,70.40110778808594
2,7,זיו צפת,65.4178695678711
2,27,בני ציון,55.88914489746094
2,31,השרון ק. גולדה,42.73859024047852
0,12,הסקוטי,109.7744369506836
0,1,יוספטל,40
0,11,אסותא ראשון לציון,
0,8,הכרמל,61.14519500732422
0,0,אל מקאסד,
0,1,המשפחה הקדושה,150.8333282470703
0,0,הסהר האדום,
0,40,הר הצופים,67.01388549804688
0,5,הצרפתי,71.64179229736328
0,0,אסותא באר שבע,
0,5,אסותא רמת החייל,
0,0,אלישע,
0,0,אסותא חיפה,
0,14,פוריה,54.64788818359375
