actualSick,city,sickCount,status,testLast7Days,verifiedLast7Days
15,תפרח,19,"נדרשים הסברה, בדיקות ואכיפת בידוד",217, קטן מ-15 
1838,ירושלים,5852,נדרשת הגדלה של מספר הבדיקות,122830,1069
1217,תל אביב - יפו,1981,נדרשת הגדלה של מספר הבדיקות,64172,563
1019,בני ברק,4078,נדרשת הגדלה של מספר הבדיקות,44694,496
766,אשדוד,1118,נדרשת הגדלה של מספר הבדיקות,29501,374
268,ביתר עילית,574,נדרשת הגדלה של מספר הבדיקות,5897,169
202,מודיעין עילית,648,נדרשת הגדלה של מספר הבדיקות,9642,147
137,רעננה,286,נדרשת הגדלה של מספר הבדיקות,10822,102
104,קרית מלאכי,162,נדרשת הגדלה של מספר הבדיקות,2375,82
51,כפר קרע,69,נדרשת הגדלה של מספר הבדיקות,1942,39
46,רמת השרון,92,נדרשת הגדלה של מספר הבדיקות,4842,36
22,יבנאל,40,נדרשת הגדלה של מספר הבדיקות,441,19
17,נחף,28,נדרשת הגדלה של מספר הבדיקות,999, קטן מ-15 
16,טמרה,39,נדרשת הגדלה של מספר הבדיקות,2339, קטן מ-15 
 קטן מ-15 ,קרית ביאליק,31,נדרשת הגדלה של מספר הבדיקות,3321, קטן מ-15 
420,בת ים,654,"נדרשת הידברות, הסברה ואכיפה",19728,166
351,פתח תקווה,715,"נדרשת הידברות, הסברה ואכיפה",31317,187
261,ראשון לציון,541,"נדרשת הידברות, הסברה ואכיפה",28486,146
255,חולון,487,"נדרשת הידברות, הסברה ואכיפה",24036,127
247,בית שמש,810,"נדרשת הידברות, הסברה ואכיפה",11853,157
245,באר שבע,506,"נדרשת הידברות, הסברה ואכיפה",30763,87
218,נתניה,455,"נדרשת הידברות, הסברה ואכיפה",20880,121
216,רהט,342,"נדרשת הידברות, הסברה ואכיפה",7386,34
198,ערערה-בנגב,287,"נדרשת הידברות, הסברה ואכיפה",3805,19
191,רמלה,277,"נדרשת הידברות, הסברה ואכיפה",8739,104
190,לוד,292,"נדרשת הידברות, הסברה ואכיפה",8083,98
183,רמת גן,392,"נדרשת הידברות, הסברה ואכיפה",20120,101
180,קרית גת,247,"נדרשת הידברות, הסברה ואכיפה",6791,80
179,דימונה,210,"נדרשת הידברות, הסברה ואכיפה",7314,85
177,טבריה,364,"נדרשת הידברות, הסברה ואכיפה",8267,68
167,רחובות,311,"נדרשת הידברות, הסברה ואכיפה",17822,100
165,חיפה,384,"נדרשת הידברות, הסברה ואכיפה",27793,81
154,אלעד,569,"נדרשת הידברות, הסברה ואכיפה",7513,64
127,הרצליה,255,"נדרשת הידברות, הסברה ואכיפה",11544,85
118,באקה אל-גרביה,154,"נדרשת הידברות, הסברה ואכיפה",4016,40
116,כפר קאסם,135,"נדרשת הידברות, הסברה ואכיפה",3234,58
113,אור יהודה,263,"נדרשת הידברות, הסברה ואכיפה",5614,41
97,מודיעין-מכבים-רעות,221,"נדרשת הידברות, הסברה ואכיפה",9946,54
93,כפר סבא,169,"נדרשת הידברות, הסברה ואכיפה",11983,43
86,חדרה,158,"נדרשת הידברות, הסברה ואכיפה",14779,59
79,בית שאן,81,"נדרשת הידברות, הסברה ואכיפה",2368,40
73,יבנה,124,"נדרשת הידברות, הסברה ואכיפה",5499,42
73,גבעתיים,122,"נדרשת הידברות, הסברה ואכיפה",6821,43
69,ראש העין,128,"נדרשת הידברות, הסברה ואכיפה",6592,44
68,נהריה,115,"נדרשת הידברות, הסברה ואכיפה",8741,29
66,אשקלון,349,"נדרשת הידברות, הסברה ואכיפה",16291,36
62,אילת,94,"נדרשת הידברות, הסברה ואכיפה",4266,19
57,הוד השרון,106,"נדרשת הידברות, הסברה ואכיפה",6273,32
56,אום אל-פחם,142,"נדרשת הידברות, הסברה ואכיפה",4652,20
54,טירה,61,"נדרשת הידברות, הסברה ואכיפה",3024,23
52,נתיבות,160,"נדרשת הידברות, הסברה ואכיפה",4138,22
51,קרית אונו,104,"נדרשת הידברות, הסברה ואכיפה",4402,26
42,אופקים,92,"נדרשת הידברות, הסברה ואכיפה",3775,23
40,טייבה,90,"נדרשת הידברות, הסברה ואכיפה",3842,27
40,כסיפה,53,"נדרשת הידברות, הסברה ואכיפה",1124,27
38,קרית אתא,64,"נדרשת הידברות, הסברה ואכיפה",5518,22
37,שדרות,94,"נדרשת הידברות, הסברה ואכיפה",4455, קטן מ-15 
37,רכסים,86,"נדרשת הידברות, הסברה ואכיפה",1702,18
36,עפולה,102,"נדרשת הידברות, הסברה ואכיפה",4802, קטן מ-15 
35,חורה,224,"נדרשת הידברות, הסברה ואכיפה",2242, קטן מ-15 
34,שוהם,69,"נדרשת הידברות, הסברה ואכיפה",2819,19
33,מעלה אדומים,88,"נדרשת הידברות, הסברה ואכיפה",5699,23
32,ערד,52,"נדרשת הידברות, הסברה ואכיפה",2346,20
31,פרדס חנה-כרכור,56,"נדרשת הידברות, הסברה ואכיפה",6054,20
31,נס ציונה,57,"נדרשת הידברות, הסברה ואכיפה",4082, קטן מ-15 
31,באר יעקב,66,"נדרשת הידברות, הסברה ואכיפה",2649, קטן מ-15 
31,ג'ת,57,"נדרשת הידברות, הסברה ואכיפה",1803, קטן מ-15 
30,צפת,136,"נדרשת הידברות, הסברה ואכיפה",3925, קטן מ-15 
29,גן יבנה,55,"נדרשת הידברות, הסברה ואכיפה",2111,17
28,עכו,59,"נדרשת הידברות, הסברה ואכיפה",5267,18
28,יהוד,109,"נדרשת הידברות, הסברה ואכיפה",3116,20
25,ערערה,34,"נדרשת הידברות, הסברה ואכיפה",2063, קטן מ-15 
25,נצרת,48,"נדרשת הידברות, הסברה ואכיפה",3041,17
