age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,174985,39641,403462,88,247,1950,50.3,623.1,483.3,0,0,0,0,0,0
16-19,426118,24387,133040,1137,53,581,266.8,217.3,436.7,0,0,0,0,0,0
20-29,988941,41938,269482,3167,87,1094,320.2,207.4,406,0,0,2,0,0,0.7
30-39,966925,32776,197325,3374,57,988,348.9,173.9,500.7,0,0,8,0,0,4.1
40-49,925789,25078,147689,3445,35,748,372.1,139.6,506.5,5,0,18,0.5,0,12.2
50-59,746637,16904,86425,2468,31,463,330.5,183.4,535.7,14,2,17,1.9,11.8,19.7
60-69,664556,10463,66620,2160,16,288,325,152.9,432.3,42,1,33,6.3,9.6,49.5
70-79,463589,5790,21405,1453,16,147,313.4,276.3,686.8,75,2,16,16.2,34.5,74.7
80-89,208535,3904,13099,675,10,106,323.7,256.1,809.2,74,2,31,35.5,51.2,236.7
90+,46501,1752,3243,191,6,35,410.7,342.5,1079.2,21,2,7,45.2,114.2,215.8
