period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,118456,32705,27.61
3_Month,0-9,1128920,465318,41.22
6_Month,0-9,1262376,494153,39.14
1_Year,0-9,1482466,596845,40.26
All,0-9,1675047,704336,42.05
1_Month,10-19,121102,35273,29.13
3_Month,10-19,1031587,506984,49.15
6_Month,10-19,1162013,529301,45.55
1_Year,10-19,1369243,605940,44.25
All,10-19,1586562,750934,47.33
1_Month,20-29,156617,35861,22.9
3_Month,20-29,813542,341668,42
6_Month,20-29,980229,352080,35.92
1_Year,20-29,1175343,408099,34.72
All,20-29,1394062,530750,38.07
1_Month,30-39,151481,37056,24.46
3_Month,30-39,799509,362609,45.35
6_Month,30-39,937259,374551,39.96
1_Year,30-39,1112058,431227,38.78
All,30-39,1289019,518572,40.23
1_Month,40-49,149165,35605,23.87
3_Month,40-49,735512,332808,45.25
6_Month,40-49,849368,341765,40.24
1_Year,40-49,991697,385953,38.92
All,40-49,1141774,461069,40.38
1_Month,50-59,133315,26317,19.74
3_Month,50-59,543000,217160,39.99
6_Month,50-59,641648,221590,34.53
1_Year,50-59,750437,247112,32.93
All,50-59,873878,305091,34.91
1_Month,60-69,117395,18911,16.11
3_Month,60-69,438244,143784,32.81
6_Month,60-69,519478,146512,28.2
1_Year,60-69,608128,162852,26.78
All,60-69,706393,201647,28.55
1_Month,70-79,79351,11539,14.54
3_Month,70-79,267168,75109,28.11
6_Month,70-79,318930,76492,23.98
1_Year,70-79,377345,85477,22.65
All,70-79,441109,105995,24.03
1_Month,80-89,35136,3955,11.26
3_Month,80-89,102781,28821,28.04
6_Month,80-89,121144,29436,24.3
1_Year,80-89,148463,33747,22.73
All,80-89,188346,44734,23.75
1_Month,90+,9680,854,8.82
3_Month,90+,24910,7448,29.9
6_Month,90+,29089,7597,26.12
1_Year,90+,36133,8756,24.23
All,90+,49290,12425,25.21
