section,female,male,period
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 2, 'percentage': 0.2}",3 חודשים
0-9,"{'amount': 43, 'percentage': 0.4}","{'amount': 67, 'percentage': 0.6}",שנה
0-9,"{'amount': 79, 'percentage': 0.2}","{'amount': 126, 'percentage': 0.4}",מתחילת קורונה
0-9,"{'amount': 8, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.3}",6 חודשים
0-9,"{'amount': 1, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.3}",חודש אחרון
10-19,"{'amount': 21, 'percentage': 0.2}","{'amount': 29, 'percentage': 0.3}",שנה
10-19,"{'amount': 3, 'percentage': 0.3}","{'amount': 1, 'percentage': 0.1}",3 חודשים
10-19,"{'amount': 83, 'percentage': 0.3}","{'amount': 82, 'percentage': 0.2}",מתחילת קורונה
10-19,"{'amount': 6, 'percentage': 0.2}","{'amount': 5, 'percentage': 0.1}",6 חודשים
10-19,"{'amount': 1, 'percentage': 0.2}","{'amount': 1, 'percentage': 0.2}",חודש אחרון
20-29,"{'amount': 4, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.4}",3 חודשים
20-29,"{'amount': 38, 'percentage': 0.4}","{'amount': 51, 'percentage': 0.5}",שנה
20-29,"{'amount': 2, 'percentage': 0.3}","{'amount': 3, 'percentage': 0.5}",חודש אחרון
20-29,"{'amount': 13, 'percentage': 0.4}","{'amount': 10, 'percentage': 0.3}",6 חודשים
20-29,"{'amount': 286, 'percentage': 0.9}","{'amount': 254, 'percentage': 0.8}",מתחילת קורונה
30-39,"{'amount': 9, 'percentage': 0.8}","{'amount': 7, 'percentage': 0.7}",3 חודשים
30-39,"{'amount': 80, 'percentage': 0.8}","{'amount': 81, 'percentage': 0.8}",שנה
30-39,"{'amount': 610, 'percentage': 1.9}","{'amount': 649, 'percentage': 2}",מתחילת קורונה
30-39,"{'amount': 16, 'percentage': 0.5}","{'amount': 20, 'percentage': 0.6}",6 חודשים
30-39,"{'amount': 5, 'percentage': 0.8}","{'amount': 7, 'percentage': 1.2}",חודש אחרון
40-49,"{'amount': 3, 'percentage': 0.3}","{'amount': 11, 'percentage': 1}",3 חודשים
40-49,"{'amount': 106, 'percentage': 1}","{'amount': 175, 'percentage': 1.6}",שנה
40-49,"{'amount': 22, 'percentage': 0.6}","{'amount': 35, 'percentage': 1}",6 חודשים
40-49,"{'amount': 1, 'percentage': 0.2}","{'amount': 7, 'percentage': 1.2}",חודש אחרון
40-49,"{'amount': 987, 'percentage': 3}","{'amount': 1444, 'percentage': 4.4}",מתחילת קורונה
50-59,"{'amount': 17, 'percentage': 1.6}","{'amount': 29, 'percentage': 2.7}",3 חודשים
50-59,"{'amount': 1640, 'percentage': 5}","{'amount': 2329, 'percentage': 7.1}",מתחילת קורונה
50-59,"{'amount': 270, 'percentage': 2.5}","{'amount': 397, 'percentage': 3.7}",שנה
50-59,"{'amount': 64, 'percentage': 1.8}","{'amount': 98, 'percentage': 2.8}",6 חודשים
50-59,"{'amount': 7, 'percentage': 1.2}","{'amount': 17, 'percentage': 2.8}",חודש אחרון
60-69,"{'amount': 39, 'percentage': 3.7}","{'amount': 74, 'percentage': 7}",3 חודשים
60-69,"{'amount': 599, 'percentage': 5.6}","{'amount': 891, 'percentage': 8.4}",שנה
60-69,"{'amount': 159, 'percentage': 4.6}","{'amount': 261, 'percentage': 7.5}",6 חודשים
60-69,"{'amount': 22, 'percentage': 3.7}","{'amount': 40, 'percentage': 6.7}",חודש אחרון
60-69,"{'amount': 2394, 'percentage': 7.3}","{'amount': 3570, 'percentage': 10.9}",מתחילת קורונה
70-79,"{'amount': 1159, 'percentage': 10.9}","{'amount': 1521, 'percentage': 14.3}",שנה
70-79,"{'amount': 134, 'percentage': 12.6}","{'amount': 172, 'percentage': 16.2}",3 חודשים
70-79,"{'amount': 3233, 'percentage': 9.9}","{'amount': 4239, 'percentage': 12.9}",מתחילת קורונה
70-79,"{'amount': 412, 'percentage': 11.9}","{'amount': 519, 'percentage': 14.9}",6 חודשים
70-79,"{'amount': 74, 'percentage': 12.3}","{'amount': 97, 'percentage': 16.1}",חודש אחרון
80-89,"{'amount': 1720, 'percentage': 16.2}","{'amount': 1686, 'percentage': 15.9}",שנה
80-89,"{'amount': 183, 'percentage': 17.3}","{'amount': 185, 'percentage': 17.5}",3 חודשים
80-89,"{'amount': 3817, 'percentage': 11.6}","{'amount': 3723, 'percentage': 11.3}",מתחילת קורונה
80-89,"{'amount': 597, 'percentage': 17.2}","{'amount': 594, 'percentage': 17.1}",6 חודשים
80-89,"{'amount': 99, 'percentage': 16.5}","{'amount': 110, 'percentage': 18.3}",חודש אחרון
90+,"{'amount': 101, 'percentage': 9.5}","{'amount': 81, 'percentage': 7.6}",3 חודשים
90+,"{'amount': 990, 'percentage': 9.3}","{'amount': 713, 'percentage': 6.7}",שנה
90+,"{'amount': 62, 'percentage': 10.3}","{'amount': 43, 'percentage': 7.2}",חודש אחרון
90+,"{'amount': 1957, 'percentage': 6}","{'amount': 1317, 'percentage': 4}",מתחילת קורונה
90+,"{'amount': 381, 'percentage': 11}","{'amount': 246, 'percentage': 7.1}",6 חודשים
