name,value
פסיכולוגיה,21
פראמדיקים,29
קלינאות תקשורת,43
ריפוי בעיסוק,49
שירות סוציאלי,57
פיזיותרפיה,68
מעבדה,75
רוקחות,87
מערך לוגיסטי,123
כוח עזר,195
חובשי רפואת חירום,320
מינהל ומשק,968
סקטורים אחרים,2058
