name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,,0
אוגוסטה ויקטוריה,,,0
אסותא אשדוד,,,0
בני ציון,,,0
ברזילי,,,0
הדסה עין כרם,,112.6984100341797,1
הכרמל,,,0
הלל יפה,,80.58252716064453,2
המרכזי בעמק,,77.06896209716797,1
המשפחה הקדושה,,,0
הסקוטי,,,0
השרון ק. גולדה,,,0
וולפסון,,,0
יוספטל,,,0
לניאדו,,88.85794067382812,1
סוראסקי,,116.9086227416992,2
מעייני הישועה,,,0
נהריה,,83.6986312866211,0
סורוקה,,74.71763610839844,0
סנט וינסנט,,,0
פוריה,,69.2957763671875,0
קפלן,,,0
רבין ק. בילינסון,,86.34730529785156,4
זיו צפת,,,0
"רמב""ם",,85.86065673828125,1
שמיר,,71.3804702758789,0
שערי צדק,,100,0
סנט ג'וזף,,,0
אל מקאסד,,,0
מאיר,,82.00514221191406,3
