age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,182980,40318,1505185,12.2,2.7
20-29,539286,192876,1277634,42.2,15.1
30-39,597195,241532,1186386,50.3,20.4
40-49,696872,429103,1080768,64.5,39.7
50-59,613789,471925,832687,73.7,56.7
60-69,588244,524926,735380,80,71.4
70-79,443448,410579,462148,96,88.8
80-89,198035,181445,222547,89,81.5
90+,46639,41674,50589,92.2,82.4
