name,value
פראמדיקים,4
פסיכולוגיה,5
קלינאות תקשורת,11
פיזיותרפיה,15
ריפוי בעיסוק,16
שירות סוציאלי,18
מעבדה,19
רוקחות,28
מערך לוגיסטי,73
חובשי רפואת חירום,83
כוח עזר,98
מינהל ומשק,386
סקטורים אחרים,736
