coronaOccupancy,isolatedTeam,name,normalOccupancy
196,91,הדסה עין כרם,107.2874526977539
126,45,שערי צדק,92.87469482421875
115.99999999999999,41,שיבא,93.86075592041016
113.99999999999999,35,סוראסקי,101.2809600830078
94,40,שמיר (אסף הרופא),58.58585739135742
86,41,קפלן,107.7617340087891
84,29,וולפסון,66.03221130371094
68,27,הלל יפה,76.11650848388672
66,51,מאיר,78.27763366699219
57.99999999999999,39,לניאדו,2.22841215133667
57.99999999999999,34,סורוקה,75.5864486694336
54,32,ברזילי,72
54,20,השרון ק. גולדה,68.04978942871094
54,88,רבין ק. בילינסון,90.41915893554688
50,11,מעייני הישועה,82.74760437011719
48,34,"רמב""ם",87.52577209472656
48,15,המרכזי בעמק,91.37931060791016
46,8,בני ציון,79.90762329101562
46,24,זיו צפת,85.01441192626953
44,11,אסותא אשדוד,
40,26,הכרמל,68.09815979003906
40,121,נהריה,75.79529571533203
40,14,פוריה,65.63380432128906
20,47,הסקוטי,90.2255630493164
0,0,הסהר האדום,
0,0,"מר""ג דורות נתניה",
0,0,מ.גריאטרי פרדס חנה,
0,5,יוספטל,47.69230651855469
0,0,עמל בשרון - רעננה,
0,16,שניידר,104.2194061279297
0,0,סנט ג'וזף,
0,9,הצרפתי,66.41790771484375
0,0,נאות התיכון,
0,11,המשפחה הקדושה,155
0,0,אל מקאסד,
0,19,הר הצופים,82.63888549804688
0,1,אלישע,
0,0,אסותא באר שבע,
0,2,אסותא חיפה,
0,3,אסותא רמת החייל,
0,0,אסותא ראשון לציון,
