coronaOccupancy,isolatedTeam,name,normalOccupancy
168,118,הדסה עין כרם,91.90283203125
124,42,סוראסקי,92.91204071044922
106,54,שערי צדק,82.80097961425781
90,79,שיבא,90.37974548339844
90,58,שמיר (אסף הרופא),60.15712738037109
76,45,קפלן,92.0577621459961
72,43,מאיר,69.02313995361328
64,36,הלל יפה,72.2330093383789
62,53,רבין ק. בילינסון,80.11975860595703
60,55,ברזילי,58.16666793823242
57.99999999999999,19,אסותא אשדוד,
54,31,וולפסון,57.83308792114258
52,57,מעייני הישועה,90.0958480834961
52,70,סורוקה,57.0807991027832
48,24,המרכזי בעמק,65.3448257446289
44,33,"רמב""ם",88.0412368774414
40,22,השרון ק. גולדה,48.96265411376953
40,101,לניאדו,1.949860692024231
38,109,נהריה,62.65560150146484
34,21,פוריה,57.74647903442383
30,26,בני ציון,64.66513061523438
24,10,הכרמל,57.6687126159668
24,7,זיו צפת,63.11239242553711
10,32,הסקוטי,69.92481231689453
4,26,שניידר,83.12236022949219
0,7,יוספטל,50.76922988891602
0,0,"מר""ג דורות נתניה",
0,0,סנט ג'וזף,
0,0,עמל בשרון - רעננה,
0,0,נאות התיכון,
0,0,מ.גריאטרי פרדס חנה,
0,0,הסהר האדום,
0,27,הר הצופים,71.52777862548828
0,0,אל מקאסד,
0,32,המשפחה הקדושה,142.5
0,34,הצרפתי,64.17910766601562
0,12,אלישע,
0,0,אסותא באר שבע,
0,2,אסותא חיפה,
0,10,אסותא רמת החייל,
0,4,אסותא ראשון לציון,
