period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,52713,26911,51.05
3_Month,0-9,190567,43568,22.86
6_Month,0-9,1002534,450713,44.96
1_Year,0-9,1486122,648666,43.65
All,0-9,1706535,757672,44.4
1_Month,10-19,51163,25137,49.13
3_Month,10-19,201199,43459,21.6
6_Month,10-19,879347,445769,50.69
1_Year,10-19,1382816,653783,47.28
All,10-19,1625217,800409,49.25
1_Month,20-29,65670,30609,46.61
3_Month,20-29,266858,49440,18.53
6_Month,20-29,817040,323210,39.56
1_Year,20-29,1219724,469895,38.52
All,20-29,1463471,590433,40.34
1_Month,30-39,79195,38615,48.76
3_Month,30-39,265933,63364,23.83
6_Month,30-39,824030,376790,45.73
1_Year,30-39,1162844,511159,43.96
All,30-39,1363538,596166,43.72
1_Month,40-49,79784,38930,48.79
3_Month,40-49,256996,64290,25.02
6_Month,40-49,759130,351629,46.32
1_Year,40-49,1043056,466011,44.68
All,40-49,1211029,539357,44.54
1_Month,50-59,72606,36231,49.9
3_Month,50-59,231785,59770,25.79
6_Month,50-59,601151,253472,42.16
1_Year,50-59,811498,322475,39.74
All,50-59,945830,378428,40.01
1_Month,60-69,76842,38610,50.25
3_Month,60-69,218387,63599,29.12
6_Month,60-69,506243,194610,38.44
1_Year,60-69,672339,241402,35.9
All,60-69,778009,279130,35.88
1_Month,70-79,69368,33630,48.48
3_Month,70-79,163200,55276,33.87
6_Month,70-79,331948,126183,38.01
1_Year,70-79,433451,151087,34.86
All,70-79,500450,171310,34.23
1_Month,80-89,39635,14370,36.26
3_Month,80-89,69056,22330,32.34
6_Month,80-89,126862,50111,39.5
1_Year,80-89,168475,59748,35.46
All,80-89,211219,70559,33.41
1_Month,90+,12253,3486,28.45
3_Month,90+,18232,5271,28.91
6_Month,90+,30038,12366,41.17
1_Year,90+,39991,14787,36.98
All,90+,54680,18374,33.6
