age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,480375,361953,1538337,31.2,23.5
20-29,1009772,929859,1300361,77.7,71.5
30-39,983637,921835,1197026,82.2,77
40-49,938927,885196,1098556,85.5,80.6
50-59,756167,715031,849966,89,84.1
60-69,670543,642807,741639,90.4,86.7
70-79,466931,454473,490784,95.1,92.6
80-89,211109,205246,225538,93.6,91
90+,47835,46092,51496,92.9,89.5
