section,female,male,period
0-9,"{'amount': 114, 'percentage': 6.3}","{'amount': 100, 'percentage': 5.5}",חודש אחרון
0-9,"{'amount': 56766, 'percentage': 7}","{'amount': 59980, 'percentage': 7.4}",שנה
0-9,"{'amount': 36808, 'percentage': 8.8}","{'amount': 38995, 'percentage': 9.4}",6 חודשים
0-9,"{'amount': 661, 'percentage': 8.5}","{'amount': 700, 'percentage': 9}",3 חודשים
0-9,"{'amount': 57521, 'percentage': 6.9}","{'amount': 60807, 'percentage': 7.3}",מתחילת קורונה
10-19,"{'amount': 84439, 'percentage': 10.2}","{'amount': 92348, 'percentage': 11.1}",מתחילת קורונה
10-19,"{'amount': 341, 'percentage': 18.9}","{'amount': 371, 'percentage': 20.6}",חודש אחרון
10-19,"{'amount': 1302, 'percentage': 16.7}","{'amount': 1143, 'percentage': 14.7}",3 חודשים
10-19,"{'amount': 47819, 'percentage': 11.5}","{'amount': 46208, 'percentage': 11.1}",6 חודשים
10-19,"{'amount': 82690, 'percentage': 10.2}","{'amount': 90279, 'percentage': 11.2}",שנה
20-29,"{'amount': 40664, 'percentage': 9.8}","{'amount': 34686, 'percentage': 8.3}",6 חודשים
20-29,"{'amount': 449, 'percentage': 5.8}","{'amount': 404, 'percentage': 5.2}",3 חודשים
20-29,"{'amount': 69, 'percentage': 3.8}","{'amount': 78, 'percentage': 4.3}",חודש אחרון
20-29,"{'amount': 81534, 'percentage': 9.8}","{'amount': 77569, 'percentage': 9.3}",מתחילת קורונה
20-29,"{'amount': 79262, 'percentage': 9.8}","{'amount': 74746, 'percentage': 9.2}",שנה
30-39,"{'amount': 59278, 'percentage': 7.3}","{'amount': 54218, 'percentage': 6.7}",שנה
30-39,"{'amount': 30594, 'percentage': 7.4}","{'amount': 26904, 'percentage': 6.5}",6 חודשים
30-39,"{'amount': 475, 'percentage': 6.1}","{'amount': 375, 'percentage': 4.8}",3 חודשים
30-39,"{'amount': 62, 'percentage': 3.4}","{'amount': 61, 'percentage': 3.4}",חודש אחרון
30-39,"{'amount': 60723, 'percentage': 7.3}","{'amount': 56064, 'percentage': 6.7}",מתחילת קורונה
40-49,"{'amount': 50779, 'percentage': 6.3}","{'amount': 45100, 'percentage': 5.6}",שנה
40-49,"{'amount': 24399, 'percentage': 5.9}","{'amount': 21325, 'percentage': 5.1}",6 חודשים
40-49,"{'amount': 440, 'percentage': 5.6}","{'amount': 380, 'percentage': 4.9}",3 חודשים
40-49,"{'amount': 117, 'percentage': 6.5}","{'amount': 90, 'percentage': 5}",חודש אחרון
40-49,"{'amount': 52147, 'percentage': 6.3}","{'amount': 46650, 'percentage': 5.6}",מתחילת קורונה
50-59,"{'amount': 16713, 'percentage': 4}","{'amount': 14900, 'percentage': 3.6}",6 חודשים
50-59,"{'amount': 292, 'percentage': 3.7}","{'amount': 245, 'percentage': 3.1}",3 חודשים
50-59,"{'amount': 36753, 'percentage': 4.5}","{'amount': 33495, 'percentage': 4.1}",שנה
50-59,"{'amount': 38038, 'percentage': 4.6}","{'amount': 34875, 'percentage': 4.2}",מתחילת קורונה
50-59,"{'amount': 69, 'percentage': 3.8}","{'amount': 82, 'percentage': 4.5}",חודש אחרון
60-69,"{'amount': 243, 'percentage': 3.1}","{'amount': 211, 'percentage': 2.7}",3 חודשים
60-69,"{'amount': 10033, 'percentage': 2.4}","{'amount': 9111, 'percentage': 2.2}",6 חודשים
60-69,"{'amount': 73, 'percentage': 4}","{'amount': 72, 'percentage': 4}",חודש אחרון
60-69,"{'amount': 23705, 'percentage': 2.9}","{'amount': 23901, 'percentage': 2.9}",מתחילת קורונה
60-69,"{'amount': 22874, 'percentage': 2.8}","{'amount': 22792, 'percentage': 2.8}",שנה
70-79,"{'amount': 39, 'percentage': 2.2}","{'amount': 45, 'percentage': 2.5}",חודש אחרון
70-79,"{'amount': 148, 'percentage': 1.9}","{'amount': 137, 'percentage': 1.8}",3 חודשים
70-79,"{'amount': 5139, 'percentage': 1.2}","{'amount': 4453, 'percentage': 1.1}",6 חודשים
70-79,"{'amount': 11633, 'percentage': 1.4}","{'amount': 11461, 'percentage': 1.4}",שנה
70-79,"{'amount': 12119, 'percentage': 1.5}","{'amount': 12095, 'percentage': 1.5}",מתחילת קורונה
80-89,"{'amount': 76, 'percentage': 1}","{'amount': 72, 'percentage': 0.9}",3 חודשים
80-89,"{'amount': 7006, 'percentage': 0.9}","{'amount': 5082, 'percentage': 0.6}",שנה
80-89,"{'amount': 3255, 'percentage': 0.8}","{'amount': 2161, 'percentage': 0.5}",6 חודשים
80-89,"{'amount': 6, 'percentage': 0.3}","{'amount': 14, 'percentage': 0.8}",חודש אחרון
80-89,"{'amount': 7334, 'percentage': 0.9}","{'amount': 5351, 'percentage': 0.6}",מתחילת קורונה
90+,"{'amount': 2968, 'percentage': 0.4}","{'amount': 1430, 'percentage': 0.2}",מתחילת קורונה
90+,"{'amount': 1, 'percentage': 0.1}","{'amount': 0, 'percentage': 0}",חודש אחרון
90+,"{'amount': 34, 'percentage': 0.4}","{'amount': 14, 'percentage': 0.2}",3 חודשים
90+,"{'amount': 1214, 'percentage': 0.3}","{'amount': 633, 'percentage': 0.2}",6 חודשים
90+,"{'amount': 2779, 'percentage': 0.3}","{'amount': 1348, 'percentage': 0.2}",שנה
