age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,181488,47796,388804,157,316,2706,86.5,661.1,696,0,0,1,0,0,0.3
16-19,428269,26201,129075,1565,78,837,365.4,297.7,648.5,0,0,1,0,0,0.8
20-29,990738,42790,266833,4738,131,1620,478.2,306.1,607.1,0,0,4,0,0,1.5
30-39,968365,33663,194998,4951,102,1480,511.3,303,759,2,0,10,0.2,0,5.1
40-49,926758,25817,145981,4884,62,1035,527,240.2,709,6,1,27,0.6,3.9,18.5
50-59,747465,17378,85123,3606,44,645,482.4,253.2,757.7,25,1,36,3.3,5.8,42.3
60-69,665477,10619,65543,2777,21,421,417.3,197.8,642.3,58,2,47,8.7,18.8,71.7
70-79,464188,5852,20744,1874,21,203,403.7,358.9,978.6,90,2,35,19.4,34.2,168.7
80-89,208857,3904,12777,919,11,129,440,281.8,1009.6,100,2,30,47.9,51.2,234.8
90+,46582,1757,3157,254,6,58,545.3,341.5,1837.2,24,2,16,51.5,113.8,506.8
