instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,56.1,59.8,2022-03-10T00:00:00.000Z
יוספטל,62.5,40,2022-03-10T00:00:00.000Z
הכרמל,64.2,72.2,2022-03-10T00:00:00.000Z
סורוקה,66.3,76.9,2022-03-10T00:00:00.000Z
וולפסון,70.1,74.2,2022-03-10T00:00:00.000Z
פוריה,80.8,78,2022-03-10T00:00:00.000Z
המרכזי בעמק,81.9,70.4,2022-03-10T00:00:00.000Z
בני ציון,83.5,88.9,2022-03-10T00:00:00.000Z
הדסה הר הצופים,86.1,98.3,2022-03-10T00:00:00.000Z
קפלן,88,94,2022-03-10T00:00:00.000Z
שמיר,91.9,74.2,2022-03-10T00:00:00.000Z
מאיר,96,92.3,2022-03-10T00:00:00.000Z
ברזילי,99,86.6,2022-03-10T00:00:00.000Z
לניאדו,101.3,85,2022-03-10T00:00:00.000Z
הלל יפה,102.1,95.5,2022-03-10T00:00:00.000Z
נהריה,102.1,89.7,2022-03-10T00:00:00.000Z
"רמב""ם",103.5,94.5,2022-03-10T00:00:00.000Z
זיו צפת,109.4,75.8,2022-03-10T00:00:00.000Z
רבין ק. בילינסון,114.5,98.1,2022-03-10T00:00:00.000Z
הדסה עין כרם,127.2,107.8,2022-03-10T00:00:00.000Z
