gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,3 חודשים,243393,11.2,4,0.2,12,1.2,40,0.8
זכר,0-9,מתחילת קורונה,385048,11,7,0.1,27,0.5,97,0.4
זכר,0-9,חודש אחרון,177599,12.5,2,0.1,11,1.3,33,0.8
זכר,0-9,שנה,328407,11.9,5,0.1,19,0.7,75,0.6
זכר,0-9,6 חודשים,298295,11.9,5,0.2,17,1,61,0.7
נקבה,0-9,שנה,247764,9,3,0.1,10,0.4,52,0.4
נקבה,0-9,חודש אחרון,119266,8.4,1,0.1,6,0.7,22,0.5
נקבה,0-9,מתחילת קורונה,294307,8.4,4,0,14,0.2,63,0.2
נקבה,0-9,3 חודשים,174431,8,1,0.1,6,0.6,28,0.5
נקבה,0-9,6 חודשים,222172,8.9,1,0,6,0.3,40,0.4
זכר,10-19,3 חודשים,240133,11.1,1,0.1,9,0.9,20,0.4
זכר,10-19,שנה,304347,11,2,0,15,0.6,43,0.3
זכר,10-19,6 חודשים,278867,11.1,2,0.1,14,0.8,30,0.3
זכר,10-19,מתחילת קורונה,390998,11.2,4,0,23,0.4,66,0.2
זכר,10-19,חודש אחרון,156457,11,1,0.1,9,1,14,0.3
נקבה,10-19,מתחילת קורונה,355916,10.2,5,0.1,19,0.3,63,0.2
נקבה,10-19,6 חודשים,258633,10.3,2,0.1,12,0.7,26,0.3
נקבה,10-19,שנה,282583,10.2,2,0,15,0.6,40,0.3
נקבה,10-19,חודש אחרון,132300,9.3,1,0.1,6,0.7,8,0.2
נקבה,10-19,3 חודשים,219947,10.1,1,0.1,7,0.7,14,0.3
זכר,20-29,מתחילת קורונה,218499,6.3,25,0.3,50,0.9,207,0.8
זכר,20-29,שנה,153444,5.6,13,0.3,36,1.3,132,1
זכר,20-29,6 חודשים,137577,5.5,6,0.2,20,1.1,72,0.8
זכר,20-29,חודש אחרון,69579,4.9,2,0.1,8,0.9,21,0.5
זכר,20-29,3 חודשים,117596,5.4,3,0.2,10,1,29,0.6
נקבה,20-29,מתחילת קורונה,299959,8.6,19,0.2,55,1,247,0.9
נקבה,20-29,3 חודשים,179049,8.3,3,0.2,12,1.2,23,0.5
נקבה,20-29,6 חודשים,205789,8.2,5,0.2,16,0.9,83,0.9
נקבה,20-29,שנה,226426,8.2,10,0.2,26,1,138,1
נקבה,20-29,חודש אחרון,109012,7.7,3,0.2,9,1,15,0.4
זכר,30-39,שנה,157387,5.7,31,0.7,52,1.9,298,2.2
זכר,30-39,3 חודשים,123085,5.7,8,0.5,17,1.7,45,0.9
זכר,30-39,6 חודשים,142433,5.7,18,0.6,32,1.8,175,1.9
זכר,30-39,מתחילת קורונה,205003,5.9,50,0.5,89,1.6,568,2.1
זכר,30-39,חודש אחרון,80578,5.7,5,0.4,11,1.3,33,0.8
נקבה,30-39,מתחילת קורונה,293832,8.4,34,0.3,89,1.6,544,2
נקבה,30-39,חודש אחרון,127845,9,3,0.2,7,0.8,38,0.9
נקבה,30-39,שנה,239504,8.7,19,0.4,58,2.1,309,2.3
נקבה,30-39,6 חודשים,219938,8.8,12,0.4,28,1.6,173,1.9
נקבה,30-39,3 חודשים,191353,8.8,3,0.2,12,1.2,55,1.1
זכר,40-49,6 חודשים,129718,5.2,44,1.5,85,4.8,362,4
זכר,40-49,חודש אחרון,75634,5.3,9,0.6,28,3.3,82,1.9
זכר,40-49,3 חודשים,115049,5.3,15,0.9,44,4.3,113,2.2
זכר,40-49,מתחילת קורונה,182964,5.2,114,1.2,237,4.2,1295,4.8
זכר,40-49,שנה,142500,5.2,70,1.6,144,5.3,629,4.7
נקבה,40-49,3 חודשים,171507,7.9,9,0.5,21,2.1,71,1.4
נקבה,40-49,חודש אחרון,113672,8,6,0.4,15,1.7,50,1.2
נקבה,40-49,6 חודשים,190455,7.6,18,0.6,47,2.6,274,3.1
נקבה,40-49,מתחילת קורונה,254773,7.3,73,0.7,139,2.5,893,3.3
נקבה,40-49,שנה,206378,7.5,39,0.9,80,2.9,472,3.6
זכר,50-59,3 חודשים,75059,3.5,41,2.5,84,8.2,247,4.8
זכר,50-59,חודש אחרון,49011,3.5,31,2.2,66,7.7,206,4.9
זכר,50-59,6 חודשים,82114,3.3,99,3.4,158,8.9,587,6.5
זכר,50-59,מתחילת קורונה,121149,3.5,357,3.6,514,9.1,2147,7.9
זכר,50-59,שנה,90374,3.3,164,3.8,254,9.4,928,7
נקבה,50-59,שנה,127853,4.6,96,2.2,153,5.6,720,5.4
נקבה,50-59,3 חודשים,108203,5,27,1.6,53,5.2,167,3.3
נקבה,50-59,חודש אחרון,72931,5.1,21,1.5,43,5,137,3.2
נקבה,50-59,מתחילת קורונה,163003,4.7,185,1.9,250,4.4,1478,5.4
נקבה,50-59,6 חודשים,117529,4.7,55,1.9,93,5.2,414,4.6
זכר,60-69,6 חודשים,54275,2.2,238,8.1,220,12.4,879,9.8
זכר,60-69,חודש אחרון,31160,2.2,83,5.9,96,11.2,376,8.9
זכר,60-69,3 חודשים,50431,2.3,102,6.2,117,11.4,457,9
זכר,60-69,מתחילת קורונה,81317,2.3,919,9.3,871,15.4,3106,11.4
זכר,60-69,שנה,60156,2.2,375,8.7,346,12.7,1306,9.9
נקבה,60-69,שנה,81333,2.9,265,6.1,247,9.1,1025,7.7
נקבה,60-69,מתחילת קורונה,103008,2.9,505,5.1,455,8,2093,7.7
נקבה,60-69,חודש אחרון,45330,3.2,47,3.3,57,6.6,274,6.5
נקבה,60-69,3 חודשים,69362,3.2,61,3.7,70,6.8,333,6.5
נקבה,60-69,6 חודשים,74317,3,174,5.9,159,8.9,666,7.4
זכר,70-79,3 חודשים,27217,1.3,213,12.9,150,14.7,705,13.8
זכר,70-79,שנה,32449,1.2,596,13.8,377,13.9,1564,11.8
זכר,70-79,מתחילת קורונה,43021,1.2,1502,15.3,972,17.2,3531,13
זכר,70-79,6 חודשים,29057,1.2,398,13.5,249,14,1097,12.2
זכר,70-79,חודש אחרון,16531,1.2,184,13,134,15.6,596,14.1
נקבה,70-79,3 חודשים,33366,1.5,155,9.4,98,9.6,530,10.4
נקבה,70-79,שנה,39685,1.4,461,10.7,275,10.1,1293,9.8
נקבה,70-79,מתחילת קורונה,50598,1.4,940,9.6,545,9.6,2578,9.5
