cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו ג'ווייעד (שבט),25,21.93,114,245.21,6.94,כתום,4649
אבו גוש,80,23.95,334,424.83,7.7,אדום,7862
אבו סנאן,99,39.13,253,176.85,8.23,אדום,14306
אבו קורינאת (שבט),17,62.96,27,40.53,8.34,אדום,6661
אבו רובייעה (שבט),קטן מ-15,אין מידע,31,35.06,9.43,אדום,8843
אבו רוקייק (שבט),19,48.72,39,38.15,6.77,כתום,10222
אבו תלול,קטן מ-15,אין מידע,18,84.39,9.28,אדום,2133
אבטין,קטן מ-15,אין מידע,27,93.52,6.86,כתום,2887
אבן יהודה,171,41.50,412,293.53,10,אדום,14036
אבני חפץ,24,54.55,44,211.64,10,אדום,2079
אום אל-פחם,359,43.52,825,145.47,8.64,אדום,56713
אום בטין,קטן מ-15,אין מידע,23,51.33,4.61,צהוב,4481
אופקים,300,39.42,761,235.04,10,אדום,32378
אור יהודה,182,30.08,605,165.36,9.89,אדום,36587
אור עקיבא,155,32.09,483,248.75,10,אדום,19417
אורנית,97,40.42,240,266.37,10,אדום,9010
אזור,58,27.10,214,161.78,9.92,אדום,13228
אחוזת ברק,45,42.45,106,442.04,10,אדום,2398
אילת,644,44.57,1445,275.20,9.96,אדום,52507
אכסאל,88,33.85,260,172.88,8.53,אדום,15039
אלון שבות,45,54.22,83,266.80,10,אדום,3111
אליכין,33,38.37,86,248.12,9.97,אדום,3466
אלעד,144,38.81,371,75.44,7.82,אדום,49179
אלעזר,29,59.18,49,200.16,10,אדום,2448
אלפי מנשה,105,47.95,219,273.37,10,אדום,8011
אלקנה,50,40.00,125,315.74,10,אדום,3959
אעבלין,82,41.62,197,145.76,9.17,אדום,13515
אעצם (שבט),18,40.91,44,40.54,7,כתום,10853
אפרת,193,55.62,347,303.85,10,אדום,11420
אריאל,243,41.12,591,288.46,10,אדום,20488
אשדוד,1191,33.25,3582,158.27,9.98,אדום,226329
אשקלון,1226,33.67,3641,248.63,10,אדום,146442
באקה אל-גרביה,213,38.17,558,183.26,9.05,אדום,30448
באר יעקב,255,41.73,611,212.02,10,אדום,28818
באר שבע,1919,34.34,5588,265.31,10,אדום,210624
בועיינה-נוג'ידאת,25,23.58,106,105.88,9.47,אדום,10011
בוקעאתא,22,27.50,80,119.81,9.77,אדום,6677
ביר אל-מכסור,81,49.39,164,168.57,9.89,אדום,9729
בית אל,49,54.44,90,151.87,10,אדום,5926
בית אריה,46,39.32,117,219.02,10,אדום,5342
בית ג'ן,52,33.99,153,125.73,10,אדום,12169
בית דגן,45,37.82,119,163.06,10,אדום,7298
בית חשמונאי,27,45.76,59,269.53,10,אדום,2189
בית יצחק-שער חפר,17,37.78,45,209.89,9.86,אדום,2144
בית שאן,188,29.24,643,338.78,10,אדום,18980
בית שמש,221,28.52,775,58.62,8.38,אדום,132210
ביתר עילית,22,23.91,92,15.01,4.04,ירוק,61297
בני ברק,466,35.06,1329,63.88,5.37,צהוב,208031
"בני עי""ש",37,32.74,113,163.72,10,אדום,6902
בנימינה-גבעת עדה,175,44.42,394,246.70,10,אדום,15971
"בסמ""ה",110,45.08,244,238.00,9.16,אדום,10252
בסמת טבעון,68,44.16,154,192.48,9.45,אדום,8001
בענה,34,46.58,73,86.69,7.09,כתום,8421
ברכה,44,69.84,63,218.14,10,אדום,2888
ברקת,קטן מ-15,אין מידע,27,128.27,10,אדום,2105
בת חפר,59,41.26,143,270.94,10,אדום,5278
בת ים,513,23.86,2150,168.27,9.89,אדום,127772
ג'דיידה-מכר,71,33.65,211,98.92,9.83,אדום,21331
ג'ולס,41,42.27,97,148.20,10,אדום,6545
ג'לג'וליה,94,43.12,218,211.75,9.48,אדום,10295
ג'סר א-זרקא,175,50.58,346,228.94,5.65,צהוב,15113
ג'ש (גוש חלב),23,35.38,65,208.33,10,אדום,3120
ג'ת,82,35.81,229,186.91,9.94,אדום,12252
גבע בנימין,27,37.50,72,125.07,10,אדום,5757
גבעת אבני,קטן מ-15,אין מידע,57,274.04,9.79,אדום,2080
גבעת ברנר,35,49.30,71,266.42,10,אדום,2665
