city,diff,percentOfCityPopulation,sickCount,status,testsCount
ירושלים,3.072100313479624,0.5295982269412158,4932,,123472
בני ברק,1.591734152471377,1.8116988536199121,3638,,52154
תל אביב - יפו,3.735024665257224,0.32251774176232284,1472,,59122
אשדוד,7.983761840324763,0.3535557160389355,798,,24027
בית שמש,2.45398773006135,0.5266228339876701,668,,12225
פתח תקווה,5.103969754253308,0.22644613962277982,556,,28956
מודיעין עילית,7.784431137724551,0.7015629262969172,540,,10013
בת ים,6.8181818181818175,0.39809652878307206,517,,18316
אלעד,0.19723865877712027,1.0683940439135189,508,בסגר חלקי,8540
ביתר עילית,4.926108374384237,0.6910199844277187,426,,6061
באר שבע,2.403846153846154,0.21605940111985722,426,,28609
ראשון לציון,3.787878787878788,0.1692751235584844,411,,25383
חולון,7.82122905027933,0.20659387711410832,386,,22080
נתניה,6.287425149700598,0.1636721577522972,355,,19308
אשקלון,2.243589743589744,0.2249377719173301,319,,16208
רהט,2.272727272727273,0.47073239983860604,315,בסגר חלקי,7179
חיפה,3.973509933774835,0.1148395355216239,314,,25982
רמת גן,4.745762711864407,0.2101011749347259,309,,18673
טבריה,2.0477815699658697,0.6653315531820205,299,בסגר חלקי,7772
ערערה-בנגב,3.7593984962406015,1.524440762220381,276,בסגר חלקי,3908
אור יהודה,1.351351351351351,0.6472398814831861,225,,5649
רחובות,6.161137440758294,0.16086638036281112,224,,15810
חורה,0,1.24696721773966,221,,2905
לוד,5.670103092783505,0.2687150178924878,205,,7257
רעננה,2.185792349726776,0.2486999773909111,187,,10236
רמלה,4.651162790697674,0.23768965653844631,180,,7681
קרית גת,8.536585365853659,0.3096190641850757,178,,5999
הרצליה,4.117647058823529,0.1908026647694198,177,,10066
מודיעין-מכבים-רעות,1.785714285714286,0.1952478277251915,171,,8994
דייר אל-אסד,0,1.214864221057647,153,,4977
נתיבות,3.64963503649635,0.36903245926349443,142,,4116
דימונה,4.8,0.3667207883097251,131,,4571
אום אל-פחם,4.0650406504065035,0.2277985406655989,128,,4704
צפת,0,0.3558817805210332,128,,4114
כפר סבא,1.6,0.1296156436896573,127,,11068
באקה אל-גרביה,4.385964912280702,0.4025165742118793,119,,3643
חדרה,7.142857142857142,0.1099891058409453,105,,13416
מגדל העמק,0.9900990099009901,0.3919157765311611,102,,2865
נהריה,13.95348837209302,0.1638960430812456,98,,8312
יהוד,1.123595505617978,0.3101736972704715,90,,3090
ראש העין,3.5294117647058822,0.1480982834062605,88,,6121
עפולה,1.149425287356322,0.16462445047235988,88,,4600
כפר קאסם,14.473684210526319,0.36138572734069946,87,,2543
שדרות,1.19047619047619,0.31418644193095285,85,,4475
קרית מלאכי,7.59493670886076,0.3483035567939682,85,,1804
יבנה,5,0.1809837760972141,84,,4633
קרית אונו,3.896103896103896,0.21340162185232608,80,,4224
גבעתיים,2.564102564102564,0.1447335094257698,80,,6143
הוד השרון,4,0.130134472288031,78,,5543
אילת,2.666666666666667,0.1361289866346086,77,,3837
אופקים,5.882352941176471,0.22616616931050731,72,,3444
גבעת זאב,4.347826086956522,0.3786285233487589,72,,2469
רכסים,5.970149253731343,0.5729502905100065,71,,1795
כוכב יעקב,0,0.7944500391630301,71,,997
טייבה,6.349206349206349,0.1524182173893262,67,,3504
גדרה,3.1746031746031735,0.2610022486347575,65,,4296
מעלה אדומים,0,0.1733564475263369,65,,5216
אפרת,0,0.5612558098745943,64,,1704
גני תקווה,0,0.29596187609731633,59,,2499
כרמיאל,0,0.12472313614175429,58,,4451
רמת השרון,1.785714285714286,0.1257195791702508,57,,4336
גבעת שמואל,1.8181818181818181,0.2233121984288392,56,,2822
באר יעקב,3.703703703703704,0.21661766981278038,56,,2481
שוהם,2.0408163265306123,0.2495757212738345,50,,2639
קרית יערים,2.0408163265306123,0.7975753708725475,50,,1221
ג'ת,0,0.4096346059315091,50,,1776
ג'סר א-זרקא,0,0.32738691788601587,49,,3239
אזור,0,0.3928123694107814,47,,1471
"כפר חב""ד",0,0.6546406750072737,45,,1192
נס ציונה,0,0.09600488752154655,44,,3628
עכו,7.317073170731707,0.08592239645374836,44,,4637
