name,value
פראמדיקים,34
פסיכולוגיה,42
קלינאות תקשורת,59
ריפוי בעיסוק,85
פיזיותרפיה,90
שירות סוציאלי,94
מעבדה,136
רוקחות,173
חובשי רפואת חירום,217
מערך לוגיסטי,241
כוח עזר,248
מינהל ומשק,1260
סקטורים אחרים,3001
