gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,מתחילת קורונה,416759,10.3,7,0.1,30,0.5,112,0.4
זכר,0-9,3 חודשים,98633,10,2,0.1,13,1.4,33,0.8
זכר,0-9,6 חודשים,278884,10.2,4,0.2,16,1.1,54,0.8
זכר,0-9,שנה,348407,10.8,5,0.1,22,0.9,80,0.7
זכר,0-9,חודש אחרון,8306,6.7,0,0,0,0,5,0.8
נקבה,0-9,חודש אחרון,6135,4.9,0,0,0,0,4,0.6
נקבה,0-9,מתחילת קורונה,339642,8.4,5,0,15,0.2,72,0.3
נקבה,0-9,3 חודשים,75222,7.7,1,0.1,6,0.6,24,0.6
נקבה,0-9,6 חודשים,217945,8,2,0.1,8,0.6,37,0.5
נקבה,0-9,שנה,281705,8.8,2,0,8,0.3,55,0.5
זכר,10-19,3 חודשים,83065,8.5,2,0.1,7,0.7,10,0.2
זכר,10-19,6 חודשים,269188,9.9,4,0.2,9,0.6,26,0.4
זכר,10-19,מתחילת קורונה,416762,10.3,7,0.1,23,0.4,77,0.3
זכר,10-19,חודש אחרון,5492,4.4,0,0,0,0,1,0.2
זכר,10-19,שנה,320440,10,5,0.1,14,0.6,42,0.3
נקבה,10-19,מתחילת קורונה,404582,10,7,0.1,23,0.4,77,0.3
נקבה,10-19,3 חודשים,78694,8,1,0.1,4,0.4,9,0.2
נקבה,10-19,שנה,319641,9.9,4,0.1,15,0.6,34,0.3
נקבה,10-19,6 חודשים,266931,9.8,2,0.1,10,0.7,16,0.2
נקבה,10-19,חודש אחרון,5420,4.4,0,0,1,0.5,1,0.2
זכר,20-29,מתחילת קורונה,243639,6,24,0.2,54,0.9,241,0.8
זכר,20-29,חודש אחרון,5298,4.3,0,0,1,0.5,3,0.5
זכר,20-29,3 חודשים,46686,4.8,2,0.1,8,0.8,21,0.5
זכר,20-29,6 חודשים,144029,5.3,2,0.1,11,0.8,41,0.6
זכר,20-29,שנה,173001,5.4,5,0.1,22,0.9,90,0.7
נקבה,20-29,מתחילת קורונה,347277,8.6,22,0.2,57,0.9,271,0.9
נקבה,20-29,חודש אחרון,7659,6.2,0,0,1,0.5,1,0.2
