coronaOccupancy,isolatedTeam,name,normalOccupancy
107.2727272727273,34,שערי צדק,93.85749053955078
95.28301886792453,89,הדסה עין כרם,110.2564086914063
92.5,66,ברזילי,69
90,9,בני ציון,74.82678985595703
85.24590163934425,22,שמיר (אסף הרופא),64.08529663085938
84.84848484848484,52,"רמב""ם",91.75257873535156
81.9672131147541,78,נהריה,73.72061157226562
81.66666666666667,22,שיבא,96.51898956298828
78.57142857142857,72,לניאדו,81.33704376220703
75,23,הלל יפה,83.88349151611328
75,1,הסקוטי,97.16312408447266
64,22,קפלן,90.79422760009766
63.1578947368421,106,מאיר,67.6092529296875
60,42,רבין ק. בילינסון,88.9820327758789
57.49999999999999,27,פוריה,61.69013977050781
54.54545454545454,23,המשפחה הקדושה,140
53.84615384615385,11,זיו צפת,75.21614074707031
51.85185185185185,9,אסותא אשדוד,
48.64864864864865,0,סנט ג'וזף,
48.14814814814815,15,מעייני הישועה,90.41533660888672
47.82608695652174,0,אל מקאסד,
47.05882352941176,22,וולפסון,66.03221130371094
44.64285714285715,21,הכרמל,73.21063232421875
43.209876543209866,61,המרכזי בעמק,75.3448257446289
39.47368421052632,6,השרון ק. גולדה,56.01659774780273
38.46153846153846,32,סורוקה,69.50477600097656
35.555555555555564,40,סוראסקי,102.988899230957
33.33333333333333,0,אוגוסטה ויקטוריה,
25,18,שניידר,89.02953338623047
