section,female,male,period,order_period
0-9,"{'amount': 11, 'percentage': 0.2}","{'amount': 16, 'percentage': 0.3}",מתחילת קורונה,1
0-9,"{'amount': 2, 'percentage': 0.7}","{'amount': 3, 'percentage': 1}",חודש אחרון,5
0-9,"{'amount': 2, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.9}",3 חודשים,4
0-9,"{'amount': 2, 'percentage': 0.2}","{'amount': 8, 'percentage': 0.6}",6 חודשים,3
0-9,"{'amount': 8, 'percentage': 0.3}","{'amount': 11, 'percentage': 0.4}",שנה,2
10-19,"{'amount': 5, 'percentage': 1.1}","{'amount': 1, 'percentage': 0.2}",3 חודשים,4
10-19,"{'amount': 12, 'percentage': 0.5}","{'amount': 9, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 4, 'percentage': 1.4}","{'amount': 1, 'percentage': 0.3}",חודש אחרון,5
10-19,"{'amount': 17, 'percentage': 0.3}","{'amount': 17, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 9, 'percentage': 0.7}","{'amount': 8, 'percentage': 0.6}",6 חודשים,3
20-29,"{'amount': 3, 'percentage': 1}","{'amount': 2, 'percentage': 0.7}",חודש אחרון,5
20-29,"{'amount': 11, 'percentage': 0.9}","{'amount': 15, 'percentage': 1.2}",6 חודשים,3
20-29,"{'amount': 6, 'percentage': 1.3}","{'amount': 6, 'percentage': 1.3}",3 חודשים,4
20-29,"{'amount': 49, 'percentage': 1}","{'amount': 45, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 27, 'percentage': 1}","{'amount': 36, 'percentage': 1.4}",שנה,2
30-39,"{'amount': 3, 'percentage': 1}","{'amount': 8, 'percentage': 2.8}",חודש אחרון,5
30-39,"{'amount': 8, 'percentage': 1.7}","{'amount': 13, 'percentage': 2.8}",3 חודשים,4
30-39,"{'amount': 25, 'percentage': 2}","{'amount': 26, 'percentage': 2}",6 חודשים,3
30-39,"{'amount': 61, 'percentage': 2.4}","{'amount': 51, 'percentage': 2}",שנה,2
30-39,"{'amount': 85, 'percentage': 1.7}","{'amount': 81, 'percentage': 1.6}",מתחילת קורונה,1
40-49,"{'amount': 81, 'percentage': 3.1}","{'amount': 142, 'percentage': 5.5}",שנה,2
40-49,"{'amount': 37, 'percentage': 2.9}","{'amount': 68, 'percentage': 5.3}",6 חודשים,3
40-49,"{'amount': 16, 'percentage': 3.4}","{'amount': 32, 'percentage': 6.9}",3 חודשים,4
40-49,"{'amount': 7, 'percentage': 2.4}","{'amount': 15, 'percentage': 5.2}",חודש אחרון,5
40-49,"{'amount': 130, 'percentage': 2.6}","{'amount': 222, 'percentage': 4.4}",מתחילת קורונה,1
50-59,"{'amount': 225, 'percentage': 4.5}","{'amount': 463, 'percentage': 9.2}",מתחילת קורונה,1
50-59,"{'amount': 18, 'percentage': 6.2}","{'amount': 24, 'percentage': 8.3}",חודש אחרון,5
50-59,"{'amount': 30, 'percentage': 6.4}","{'amount': 48, 'percentage': 10.3}",3 חודשים,4
50-59,"{'amount': 70, 'percentage': 5.5}","{'amount': 115, 'percentage': 9}",6 חודשים,3
50-59,"{'amount': 139, 'percentage': 5.4}","{'amount': 262, 'percentage': 10.1}",שנה,2
60-69,"{'amount': 46, 'percentage': 9.9}","{'amount': 63, 'percentage': 13.5}",3 חודשים,4
60-69,"{'amount': 424, 'percentage': 8.4}","{'amount': 802, 'percentage': 15.9}",מתחילת קורונה,1
60-69,"{'amount': 26, 'percentage': 9}","{'amount': 37, 'percentage': 12.8}",חודש אחרון,5
60-69,"{'amount': 138, 'percentage': 10.8}","{'amount': 173, 'percentage': 13.5}",6 חודשים,3
60-69,"{'amount': 256, 'percentage': 9.9}","{'amount': 366, 'percentage': 14.2}",שנה,2
70-79,"{'amount': 41, 'percentage': 8.8}","{'amount': 56, 'percentage': 12}",3 חודשים,4
70-79,"{'amount': 253, 'percentage': 9.8}","{'amount': 364, 'percentage': 14.1}",שנה,2
70-79,"{'amount': 21, 'percentage': 7.2}","{'amount': 44, 'percentage': 15.2}",חודש אחרון,5
70-79,"{'amount': 478, 'percentage': 9.5}","{'amount': 874, 'percentage': 17.3}",מתחילת קורונה,1
70-79,"{'amount': 123, 'percentage': 9.6}","{'amount': 183, 'percentage': 14.3}",6 חודשים,3
80-89,"{'amount': 106, 'percentage': 8.3}","{'amount': 117, 'percentage': 9.1}",6 חודשים,3
80-89,"{'amount': 32, 'percentage': 6.9}","{'amount': 39, 'percentage': 8.4}",3 חודשים,4
80-89,"{'amount': 27, 'percentage': 9.3}","{'amount': 31, 'percentage': 10.7}",חודש אחרון,5
80-89,"{'amount': 194, 'percentage': 7.5}","{'amount': 224, 'percentage': 8.7}",שנה,2
80-89,"{'amount': 378, 'percentage': 7.5}","{'amount': 516, 'percentage': 10.2}",מתחילת קורונה,1
90+,"{'amount': 47, 'percentage': 1.8}","{'amount': 41, 'percentage': 1.6}",שנה,2
90+,"{'amount': 25, 'percentage': 2}","{'amount': 21, 'percentage': 1.6}",6 חודשים,3
90+,"{'amount': 10, 'percentage': 2.1}","{'amount': 8, 'percentage': 1.7}",3 חודשים,4
90+,"{'amount': 7, 'percentage': 2.4}","{'amount': 7, 'percentage': 2.4}",חודש אחרון,5
90+,"{'amount': 100, 'percentage': 2}","{'amount': 105, 'percentage': 2.1}",מתחילת קורונה,1
