name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
Basmat Tab'un,3.1,ירוק,3.7,0,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,58.72,53.31,29.91,
Yoqne'am Illit,4,צהוב,3.7,11,-44,22,ירוק,2023-01-21T00:00:00.000Z,81.01,77.75,62.22,9.1
Bet She'an,3.6,ירוק,4.2,10,0,22,ירוק,2023-01-21T00:00:00.000Z,74.45,68.44,48.77,11.6
Zikhron Ya'aqov,6.2,אדום,4.7,18,-50,קטן מ-15,כתום,2023-01-21T00:00:00.000Z,80.72,77.01,62.62,
Yehud,4.6,צהוב,4.7,5,-57,24,צהוב,2023-01-21T00:00:00.000Z,82.22,77.90,62.60,8.0
Qiryat Bialik,4.6,צהוב,6.2,12,-38,47,צהוב,2023-01-21T00:00:00.000Z,81.66,78.07,63.16,11.3
Judeide-Maker,3.3,ירוק,2.3,1,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,66.70,58.12,34.48,
Deir Hanna,3.7,ירוק,3.8,1,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,73.29,62.15,38.04,
Na'ura,2,ירוק,0.0,0,0, 0 ,ירוק,2023-01-21T00:00:00.000Z,73.05,63.50,37.61,0.0
Shelomi,6,צהוב,8.9,13,0,קטן מ-15,צהוב,2023-01-21T00:00:00.000Z,77.43,73.17,56.40,
Zefat,5.5,כתום,5.2,9,-36,21,צהוב,2023-01-21T00:00:00.000Z,45.18,40.08,26.93,5.8
Qiryat Motzkin,4.8,צהוב,7.5,6,-29,48,צהוב,2023-01-21T00:00:00.000Z,83.46,80.07,65.46,10.6
Abu Qureinat,2,אפור,0.0,0,0, 0 ,ירוק,2023-01-21T00:00:00.000Z,9.83,8.44,3.21,0.0
Qiryat Mal'akhi,4.3,ירוק,3.7,5,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,60.14,52.84,34.05,
Kefar Tavor,4.7,ירוק,9.1,29,0,קטן מ-15,צהוב,2023-01-21T00:00:00.000Z,87.80,83.57,66.53,
Gan Yavne,6.3,אדום,6.3,15,-50,20,כתום,2023-01-21T00:00:00.000Z,78.96,74.58,57.43,8.4
Metar,7.4,כתום,11.0,21,10,קטן מ-15,כתום,2023-01-21T00:00:00.000Z,מעל 90%,מעל 90%,70.78,
Avne Hefez,4.5,ירוק,14.4,60,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,63.35,54.26,38.53,
Ahuzzat Baraq,3.6,ירוק,0.0,0,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,מעל 90%,88.12,69.14,
Hazor Hagelilit,5.2,ירוק,7.3,23,0,קטן מ-15,צהוב,2023-01-21T00:00:00.000Z,69.95,62.15,45.63,
Teqoa,4.4,ירוק,2.4,25,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,62.75,56.71,37.37,
Ari'el,6.8,כתום,9.3,18,5,22,כתום,2023-01-21T00:00:00.000Z,71.41,68.26,54.00,10.7
Kefar Adummim,3.1,ירוק,0.0,0,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,74.94,70.52,50.50,
Rosh Pinna,4.4,ירוק,9.3,14,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,73.46,70.65,55.64,
Jish(Gush Halav),3.9,ירוק,3.2,9,0, 0 ,ירוק,2023-01-21T00:00:00.000Z,76.06,69.87,50.96,0.0
Daliyat Al-Karmel,5.7,צהוב,5.6,19,0,קטן מ-15,צהוב,2023-01-21T00:00:00.000Z,64.54,54.94,38.30,
Eilabun,3.5,ירוק,5.2,2,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,71.91,64.85,46.03,
Savyon,4.3,ירוק,2.5,5,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,מעל 90%,מעל 90%,84.00,
Geva Binyamin,4.5,ירוק,6.9,22,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,53.33,47.75,32.40,
Hashmona'im,3.8,ירוק,3.7,16,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,מעל 90%,מעל 90%,82.30,
Shefar'am,4.2,ירוק,4.2,7,12,26,ירוק,2023-01-21T00:00:00.000Z,68.91,61.07,38.88,6.1
Tamra,2.2,ירוק,0.6,2,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,69.76,57.89,34.75,
Be'er Sheva,5.2,צהוב,9.7,7,3,312,צהוב,2023-01-21T00:00:00.000Z,77.36,72.55,56.03,14.8
Nahariyya,5.8,ירוק,10.6,17,46,75,צהוב,2023-01-21T00:00:00.000Z,83.48,79.87,63.44,12.7
Bet Arye,4.5,ירוק,7.5,25,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,73.49,70.05,54.25,
Ofaqim,4.5,צהוב,4.9,8,-38,29,צהוב,2023-01-21T00:00:00.000Z,65.53,58.16,40.74,9.0
Mizpe Ramon,5,ירוק,11.6,25,0,קטן מ-15,צהוב,2023-01-21T00:00:00.000Z,68.49,64.21,48.77,
Rekhasim,2.9,ירוק,1.5,8,0,קטן מ-15,ירוק,2023-01-21T00:00:00.000Z,47.68,35.10,20.17,
Atrash,2,אפור,0.0,0,0, 0 ,ירוק,2023-01-21T00:00:00.000Z,10.09,8.25,2.64,0.0
Rumat Heib,2,ירוק,0.0,0,0, 0 ,ירוק,2023-01-21T00:00:00.000Z,59.21,52.34,27.24,0.0
