period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,9333,1122,12.02
3_Month,0-9,19262,2836,14.72
6_Month,0-9,88252,33648,38.13
1_Year,0-9,1210504,533822,44.1
All,0-9,1715843,767882,44.75
1_Month,10-19,13367,3193,23.89
3_Month,10-19,28341,7041,24.84
6_Month,10-19,94231,32244,34.22
1_Year,10-19,1131989,572789,50.6
All,10-19,1632101,810943,49.69
1_Month,20-29,19180,4944,25.78
3_Month,20-29,41587,10412,25.04
6_Month,20-29,130933,46946,35.85
1_Year,20-29,995135,427777,42.99
All,20-29,1478213,608850,41.19
1_Month,30-39,18956,5337,28.15
3_Month,30-39,40829,11468,28.09
6_Month,30-39,140447,57353,40.84
1_Year,30-39,970164,470793,48.53
All,30-39,1375796,617495,44.88
1_Month,40-49,19656,5818,29.6
3_Month,40-49,42535,12846,30.2
6_Month,40-49,137228,58253,42.45
1_Year,40-49,888022,442144,49.79
All,40-49,1222520,561852,45.96
1_Month,50-59,20255,5949,29.37
3_Month,50-59,43695,13509,30.92
6_Month,50-59,129497,57120,44.11
1_Year,50-59,698234,322275,46.16
All,50-59,958298,403411,42.1
1_Month,60-69,22618,6386,28.23
3_Month,60-69,49666,15404,31.02
6_Month,60-69,141574,64036,45.23
1_Year,60-69,590941,257525,43.58
All,60-69,792696,310625,39.19
1_Month,70-79,24632,6177,25.08
3_Month,70-79,51957,15700,30.22
6_Month,70-79,131841,59932,45.46
1_Year,70-79,395667,175821,44.44
All,70-79,519002,204208,39.35
1_Month,80-89,20982,3508,16.72
3_Month,80-89,36053,8155,22.62
6_Month,80-89,71769,28739,40.04
1_Year,80-89,156510,72283,46.18
All,80-89,222642,86921,39.04
1_Month,90+,7709,1102,14.29
3_Month,90+,12257,2337,19.07
6_Month,90+,21051,7605,36.13
1_Year,90+,37763,18116,47.97
All,90+,58634,22671,38.67
