actualSick,city,sickCount,status,testLast7Days,verifiedLast7Days
2327,בני ברק,5774,"נדרשים הסברה, בדיקות ואכיפת בידוד",5424,932
1115,ביתר עילית,1492,"נדרשים הסברה, בדיקות ואכיפת בידוד",1920,475
 קטן מ-15 ,הושעיה, קטן מ-15 ,"נדרשים הסברה, בדיקות ואכיפת בידוד",45, קטן מ-15 
 קטן מ-15 ,טלמון,18,"נדרשים הסברה, בדיקות ואכיפת בידוד",59, קטן מ-15 
4638,ירושלים,9095,נדרשת הגדלה של מספר הבדיקות,16356,1750
2017,תל אביב - יפו,3102,נדרשת הגדלה של מספר הבדיקות,8305,452
809,בית שמש,1434,נדרשת הגדלה של מספר הבדיקות,2219,400
630,לוד,795,נדרשת הגדלה של מספר הבדיקות,2442,249
524,מודיעין עילית,1056,נדרשת הגדלה של מספר הבדיקות,1418,229
334,אלעד,820,נדרשת הגדלה של מספר הבדיקות,762,162
302,קרית מלאכי,387,נדרשת הגדלה של מספר הבדיקות,549,65
195,קלנסווה,212,נדרשת הגדלה של מספר הבדיקות,908,132
135,נצרת,166,נדרשת הגדלה של מספר הבדיקות,782,85
115,רכסים,179,נדרשת הגדלה של מספר הבדיקות,339,52
67,יבנאל,86,נדרשת הגדלה של מספר הבדיקות,66, קטן מ-15 
53,עין מאהל,60,נדרשת הגדלה של מספר הבדיקות,315,49
29,כפר מנדא,29,נדרשת הגדלה של מספר הבדיקות,184,25
28,ירוחם,40,נדרשת הגדלה של מספר הבדיקות,165,19
19,ריינה,19,נדרשת הגדלה של מספר הבדיקות,159,17
17,עספיא,23,נדרשת הגדלה של מספר הבדיקות,150, קטן מ-15 
15,אעבלין,16,נדרשת הגדלה של מספר הבדיקות,139, קטן מ-15 
 קטן מ-15 ,קרני שומרון,17,נדרשת הגדלה של מספר הבדיקות,110, קטן מ-15 
 קטן מ-15 ,אלון שבות,22,נדרשת הגדלה של מספר הבדיקות,57, קטן מ-15 
 קטן מ-15 ,גבע בנימין,22,נדרשת הגדלה של מספר הבדיקות,75, קטן מ-15 
1122,אשדוד,1793,"נדרשת הידברות, הסברה ואכיפה",4512,336
867,פתח תקווה,1355,"נדרשת הידברות, הסברה ואכיפה",5286,339
630,ראשון לציון,1016,"נדרשת הידברות, הסברה ואכיפה",4412,231
577,חולון,914,"נדרשת הידברות, הסברה ואכיפה",3228,242
545,חיפה,852,"נדרשת הידברות, הסברה ואכיפה",4770,308
494,בת ים,903,"נדרשת הידברות, הסברה ואכיפה",2042,113
483,באר שבע,821,"נדרשת הידברות, הסברה ואכיפה",4445,179
476,נתניה,796,"נדרשת הידברות, הסברה ואכיפה",3655,147
430,רמת גן,694,"נדרשת הידברות, הסברה ואכיפה",2929,144
408,רחובות,617,"נדרשת הידברות, הסברה ואכיפה",2205,166
406,רמלה,555,"נדרשת הידברות, הסברה ואכיפה",1784,150
359,קרית גת,494,"נדרשת הידברות, הסברה ואכיפה",1485,144
355,אשקלון,670,"נדרשת הידברות, הסברה ואכיפה",3339,188
281,רעננה,458,"נדרשת הידברות, הסברה ואכיפה",1883,63
270,רהט,487,"נדרשת הידברות, הסברה ואכיפה",840,79
263,מודיעין-מכבים-רעות,416,"נדרשת הידברות, הסברה ואכיפה",1925,78
238,הרצליה,407,"נדרשת הידברות, הסברה ואכיפה",2015,55
235,טבריה,501,"נדרשת הידברות, הסברה ואכיפה",883,62
216,דימונה,295,"נדרשת הידברות, הסברה ואכיפה",826,40
212,אור יהודה,402,"נדרשת הידברות, הסברה ואכיפה",907,47
197,באקה אל-גרביה,267,"נדרשת הידברות, הסברה ואכיפה",548,47
195,כפר סבא,299,"נדרשת הידברות, הסברה ואכיפה",1964,80
192,ראש העין,265,"נדרשת הידברות, הסברה ואכיפה",1100,61
190,חדרה,293,"נדרשת הידברות, הסברה ואכיפה",1901,75
182,אילת,228,"נדרשת הידברות, הסברה ואכיפה",781,80
170,קרית אתא,209,"נדרשת הידברות, הסברה ואכיפה",1082,78
163,יבנה,238,"נדרשת הידברות, הסברה ואכיפה",818,48
151,גן יבנה,195,"נדרשת הידברות, הסברה ואכיפה",912,71
145,נס ציונה,190,"נדרשת הידברות, הסברה ואכיפה",770,52
143,כפר קאסם,187,"נדרשת הידברות, הסברה ואכיפה",231, קטן מ-15 
139,גבעתיים,208,"נדרשת הידברות, הסברה ואכיפה",950,45
137,כפר קרע,180,"נדרשת הידברות, הסברה ואכיפה",549,37
137,טייבה,198,"נדרשת הידברות, הסברה ואכיפה",671,59
126,כסיפה,148,"נדרשת הידברות, הסברה ואכיפה",248,33
123,נהריה,203,"נדרשת הידברות, הסברה ואכיפה",1086,42
123,נתיבות,250,"נדרשת הידברות, הסברה ואכיפה",769,55
122,ערערה-בנגב,303,"נדרשת הידברות, הסברה ואכיפה",108, קטן מ-15 
122,אופקים,186,"נדרשת הידברות, הסברה ואכיפה",658,50
121,הוד השרון,191,"נדרשת הידברות, הסברה ואכיפה",1201,37
118,פרדס חנה-כרכור,153,"נדרשת הידברות, הסברה ואכיפה",835,60
117,רמת השרון,172,"נדרשת הידברות, הסברה ואכיפה",901,32
112,מעלה אדומים,174,"נדרשת הידברות, הסברה ואכיפה",753,40
107,גבעת זאב,171,"נדרשת הידברות, הסברה ואכיפה",436,49
106,אור עקיבא,117,"נדרשת הידברות, הסברה ואכיפה",783,70
106,קרית אונו,173,"נדרשת הידברות, הסברה ואכיפה",730,29
103,בית שאן,139,"נדרשת הידברות, הסברה ואכיפה",251,31
98,ערד,128,"נדרשת הידברות, הסברה ואכיפה",628,37
93,אום אל-פחם,206,"נדרשת הידברות, הסברה ואכיפה",524,42
85,יהוד,173,"נדרשת הידברות, הסברה ואכיפה",481,34
83,באר יעקב,129,"נדרשת הידברות, הסברה ואכיפה",673,26
76,טירה,97,"נדרשת הידברות, הסברה ואכיפה",502,25
76,גבעת שמואל,135,"נדרשת הידברות, הסברה ואכיפה",507,38
72,גדרה,137,"נדרשת הידברות, הסברה ואכיפה",607,22
70,צפת,179,"נדרשת הידברות, הסברה ואכיפה",289,18
67,גני תקווה,126,"נדרשת הידברות, הסברה ואכיפה",444,21
61,ערערה,79,"נדרשת הידברות, הסברה ואכיפה",449,15
59,שוהם,107,"נדרשת הידברות, הסברה ואכיפה",325,15
58,קרית שמונה,79,"נדרשת הידברות, הסברה ואכיפה",463,15
55,ג'לג'וליה,72,"נדרשת הידברות, הסברה ואכיפה",152, קטן מ-15 
54,קרית מוצקין,81,"נדרשת הידברות, הסברה ואכיפה",1030,36
54,ג'סר א-זרקא,102,"נדרשת הידברות, הסברה ואכיפה",672,32
52,עכו,96,"נדרשת הידברות, הסברה ואכיפה",668,30
51,מזכרת בתיה,74,"נדרשת הידברות, הסברה ואכיפה",246,22
50,ג'ת,88,"נדרשת הידברות, הסברה ואכיפה",248,22
49,קרית יערים,97,"נדרשת הידברות, הסברה ואכיפה",167,18
49,נחף,66,"נדרשת הידברות, הסברה ואכיפה",317,22
46,חורה,259,"נדרשת הידברות, הסברה ואכיפה",111, קטן מ-15 
46,"כפר חב""ד",93,"נדרשת הידברות, הסברה ואכיפה",200,16
44,עפולה,128,"נדרשת הידברות, הסברה ואכיפה",471,15
43,אזור,84,"נדרשת הידברות, הסברה ואכיפה",269,24
43,טירת כרמל,63,"נדרשת הידברות, הסברה ואכיפה",448,15
41,שדרות,111,"נדרשת הידברות, הסברה ואכיפה",276, קטן מ-15 
