coronaOccupancy,isolatedTeam,name,normalOccupancy
164,124,הדסה עין כרם,117.6788101196289
126,79,שמיר (אסף הרופא),61.84062957763672
104,83,שערי צדק,100.4914016723633
100,57,שיבא,95.31645202636719
96,68,סוראסקי,99.74380493164062
70,45,הלל יפה,82.5242691040039
64,44,קפלן,90.2527084350586
62,50,ברזילי,71
57.99999999999999,101,רבין ק. בילינסון,92.93413543701172
52,60,מעייני הישועה,86.90095520019531
52,21,מאיר,77.76349639892578
48,51,וולפסון,66.47145080566406
46,132,"רמב""ם",90.9278335571289
46,82,המרכזי בעמק,72.06896209716797
40,16,פוריה,61.40845108032227
38,43,סורוקה,66.9852294921875
38,33,"אסותא אשדוד בי""ח",
34,40,לניאדו,1.671309232711792
34,160,נהריה,79.25311279296875
22,26,בני ציון,79.90762329101562
18,21,השרון ק. גולדה,43.15352630615234
8,58,שניידר,84.81012725830078
2,9,זיו צפת,77.52161407470703
0,0,מ.גריאטרי פרדס חנה,
0,0,"מר""ג דורות נתניה",
0,2,יוספטל,38.46154022216797
0,0,נאות התיכון,
0,0,סנט ג'וזף,
0,38,הסקוטי,101.5037612915039
0,0,עמל בשרון - רעננה,
0,30,הכרמל,70.96114349365234
0,0,אל מקאסד,
0,1,המשפחה הקדושה,144.1666717529297
0,0,הסהר האדום,
0,33,הר הצופים,80.55555725097656
0,28,הצרפתי,73.13433074951172
0,5,אלישע,
0,0,אסותא באר שבע,
0,1,אסותא חיפה,
0,10,אסותא רמת החייל,
0,3,אסותא ראשון לציון,
