age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,436,4304,0,155.5,1546.2,0,0,1,0,0,0.4
16-19,94,1857,1745,80.2,609.1,1244.6,0,0,0,0,0,0
20-29,308,5113,3298,91.5,752.2,1296.6,0,2,18,0,0.3,7.1
30-39,547,5536,3212,137,946.5,1754.1,0,0,45,0,0,24.6
40-49,576,3277,2261,113.4,757.8,1604.9,5,11,74,1,2.5,52.5
50-59,335,1371,1166,68.1,511.8,1207.9,4,19,89,0.8,7.1,92.2
60-69,314,773,741,60,522.5,1127.1,9,36,99,1.7,24.3,150.6
70-79,223,377,397,55.8,498.2,869.6,17,39,77,4.3,51.5,168.7
80-89,140,244,251,80.4,627.4,1146.6,16,32,47,9.2,82.3,214.7
90+,61,70,86,172.9,534.9,1013.2,2,5,16,5.7,38.2,188.5
