age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,328261,250653,635971,51.6,39.4,280,0
16-19,491381,425201,591331,83.1,71.9,112580,19
20-29,1063220,961891,1319364,80.6,72.9,379452,28.8
30-39,1026655,949228,1207243,85,78.6,429593,35.6
40-49,971607,907540,1110965,87.5,81.7,531176,47.8
50-59,776293,732438,874608,88.8,83.7,509996,58.3
60-69,682129,655287,747217,91.3,87.7,529443,70.9
70-79,473444,461826,526929,89.8,87.6,415131,78.8
80-89,214282,208411,238729,89.8,87.3,181285,75.9
90+,48710,46873,58687,83,79.9,38954,66.4
