period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,15078,3123,20.71
3_Month,0-9,91510,42250,46.17
6_Month,0-9,338178,104020,30.76
1_Year,0-9,1410171,611962,43.4
All,0-9,1710641,764888,44.71
1_Month,10-19,16837,2881,17.11
3_Month,10-19,94101,40185,42.7
6_Month,10-19,356254,100415,28.19
1_Year,10-19,1300725,625357,48.08
All,10-19,1627936,805757,49.5
1_Month,20-29,25854,5258,20.34
3_Month,20-29,126256,52251,41.38
6_Month,20-29,477207,116995,24.52
1_Year,20-29,1154518,452124,39.16
All,20-29,1469356,600875,40.89
1_Month,30-39,27620,6245,22.61
3_Month,30-39,142174,64611,45.45
6_Month,30-39,471977,140551,29.78
1_Year,30-39,1108962,496136,44.74
All,30-39,1369081,608540,44.45
1_Month,40-49,27278,6444,23.62
3_Month,40-49,139335,65083,46.71
6_Month,40-49,448782,138288,30.81
1_Year,40-49,996826,455625,45.71
All,40-49,1216274,551999,45.38
1_Month,50-59,26732,6460,24.17
3_Month,50-59,128079,61765,48.22
6_Month,50-59,397113,120515,30.35
1_Year,50-59,778722,321177,41.24
All,50-59,951409,391710,41.17
1_Month,60-69,30223,7618,25.21
3_Month,60-69,136691,67246,49.2
6_Month,60-69,364607,117978,32.36
1_Year,60-69,649044,248145,38.23
All,60-69,784699,295475,37.65
1_Month,70-79,30433,7522,24.72
3_Month,70-79,122943,60262,49.02
6_Month,70-79,263128,95665,36.36
1_Year,70-79,423459,161460,38.13
All,70-79,508658,187222,36.81
1_Month,80-89,21385,3804,17.79
3_Month,80-89,64149,26396,41.15
6_Month,80-89,105360,39264,37.27
1_Year,80-89,165004,65064,39.43
All,80-89,216290,78422,36.26
1_Month,90+,7133,1073,15.04
3_Month,90+,18292,6517,35.63
6_Month,90+,25830,9480,36.7
1_Year,90+,39274,16190,41.22
All,90+,56229,20422,36.32
