name,value
פראמדיקים,0
חובשי רפואת חירום,0
שירות סוציאלי,8
קלינאות תקשורת,9
פסיכולוגיה,10
ריפוי בעיסוק,21
פיזיותרפיה,21
מעבדה,28
מערך לוגיסטי,29
רוקחות,38
כוח עזר,71
סקטורים אחרים,201
מינהל ומשק,436
