age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,614669,395839,1538337,40,25.7
20-29,1021932,933585,1300361,78.6,71.8
30-39,993015,925154,1197026,83,77.3
40-49,945981,887502,1098556,86.1,80.8
50-59,760580,716539,849966,89.5,84.3
60-69,673013,643860,741639,90.7,86.8
70-79,468141,455013,490784,95.4,92.7
80-89,211723,205521,225538,93.9,91.1
90+,48004,46154,51496,93.2,89.6
