date,serious_critical_new,medium_new,easy_new
2020-07-18T00:00:00.000Z,32,28,81
2020-07-19T00:00:00.000Z,76,68,153
2020-07-20T00:00:00.000Z,41,59,125
2020-07-21T00:00:00.000Z,40,57,127
2020-07-22T00:00:00.000Z,62,53,119
2020-07-23T00:00:00.000Z,65,60,99
2020-07-24T00:00:00.000Z,44,38,78
2020-07-25T00:00:00.000Z,28,54,71
2020-07-26T00:00:00.000Z,44,64,121
2020-07-27T00:00:00.000Z,54,69,153
2020-07-28T00:00:00.000Z,53,66,111
2020-07-29T00:00:00.000Z,59,54,101
2020-07-30T00:00:00.000Z,39,63,99
2020-07-31T00:00:00.000Z,31,32,99
2020-08-01T00:00:00.000Z,53,57,102
2020-08-02T00:00:00.000Z,56,57,136
2020-08-03T00:00:00.000Z,44,48,136
2020-08-04T00:00:00.000Z,62,66,102
2020-08-05T00:00:00.000Z,41,42,113
2020-08-06T00:00:00.000Z,47,53,102
2020-08-07T00:00:00.000Z,47,53,104
2020-08-08T00:00:00.000Z,52,58,77
2020-08-09T00:00:00.000Z,51,72,145
2020-08-10T00:00:00.000Z,51,55,84
2020-08-11T00:00:00.000Z,44,61,97
2020-08-12T00:00:00.000Z,47,49,97
2020-08-13T00:00:00.000Z,61,69,127
2020-08-14T00:00:00.000Z,45,52,99
2020-08-15T00:00:00.000Z,47,50,105
2020-08-16T00:00:00.000Z,52,64,147
2020-08-17T00:00:00.000Z,62,58,94
2020-08-18T00:00:00.000Z,64,70,130
2020-08-19T00:00:00.000Z,43,63,109
2020-08-20T00:00:00.000Z,61,51,105
2020-08-21T00:00:00.000Z,49,50,101
2020-08-22T00:00:00.000Z,39,53,83
2020-08-23T00:00:00.000Z,62,69,121
2020-08-24T00:00:00.000Z,71,63,114
2020-08-25T00:00:00.000Z,59,55,114
2020-08-26T00:00:00.000Z,53,71,140
2020-08-27T00:00:00.000Z,64,66,119
2020-08-28T00:00:00.000Z,56,66,90
2020-08-29T00:00:00.000Z,45,39,75
2020-08-30T00:00:00.000Z,67,59,144
2020-08-31T00:00:00.000Z,65,74,149
2020-09-01T00:00:00.000Z,50,69,123
2020-09-02T00:00:00.000Z,67,44,130
2020-09-03T00:00:00.000Z,43,47,126
2020-09-04T00:00:00.000Z,64,50,108
2020-09-05T00:00:00.000Z,66,49,103
2020-09-06T00:00:00.000Z,80,84,154
2020-09-07T00:00:00.000Z,64,54,142
2020-09-08T00:00:00.000Z,64,73,148
2020-09-09T00:00:00.000Z,92,80,144
2020-09-10T00:00:00.000Z,75,74,157
2020-09-11T00:00:00.000Z,59,63,137
2020-09-12T00:00:00.000Z,78,60,120
2020-09-13T00:00:00.000Z,80,98,186
2020-09-14T00:00:00.000Z,80,92,190
2020-09-15T00:00:00.000Z,83,81,182
2020-09-16T00:00:00.000Z,99,115,188
2020-09-17T00:00:00.000Z,121,73,194
2020-09-18T00:00:00.000Z,103,94,166
2020-09-19T00:00:00.000Z,84,75,125
2020-09-20T00:00:00.000Z,95,79,206
2020-09-21T00:00:00.000Z,124,114,201
2020-09-22T00:00:00.000Z,99,116,208
2020-09-23T00:00:00.000Z,127,103,204
2020-09-24T00:00:00.000Z,116,98,212
2020-09-25T00:00:00.000Z,132,78,199
2020-09-26T00:00:00.000Z,105,108,175
2020-09-27T00:00:00.000Z,131,87,265
2020-09-28T00:00:00.000Z,101,102,151
2020-09-29T00:00:00.000Z,145,99,265
2020-09-30T00:00:00.000Z,142,103,222
2020-10-01T00:00:00.000Z,138,131,225
2020-10-02T00:00:00.000Z,126,90,186
2020-10-03T00:00:00.000Z,101,110,137
2020-10-04T00:00:00.000Z,161,126,210
2020-10-05T00:00:00.000Z,117,123,218
2020-10-06T00:00:00.000Z,101,111,189
2020-10-07T00:00:00.000Z,107,113,192
2020-10-08T00:00:00.000Z,118,123,169
2020-10-09T00:00:00.000Z,87,89,142
2020-10-10T00:00:00.000Z,69,79,126
2020-10-11T00:00:00.000Z,122,117,219
2020-10-12T00:00:00.000Z,85,92,146
2020-10-13T00:00:00.000Z,81,90,145
2020-10-14T00:00:00.000Z,83,74,146
2020-10-15T00:00:00.000Z,76,77,123
2020-10-16T00:00:00.000Z,57,72,90
2020-10-17T00:00:00.000Z,48,36,78
2020-10-18T00:00:00.000Z,111,95,126
2020-10-19T00:00:00.000Z,73,55,111
2020-10-20T00:00:00.000Z,54,58,91
2020-10-21T00:00:00.000Z,56,57,86
2020-10-22T00:00:00.000Z,54,47,61
2020-10-23T00:00:00.000Z,38,38,71
2020-10-24T00:00:00.000Z,41,38,69
2020-10-25T00:00:00.000Z,44,50,82
2020-10-26T00:00:00.000Z,50,37,67
2020-10-27T00:00:00.000Z,45,44,57
2020-10-28T00:00:00.000Z,38,49,73
2020-10-29T00:00:00.000Z,30,29,53
2020-10-30T00:00:00.000Z,25,24,40
2020-10-31T00:00:00.000Z,29,33,44
2020-11-01T00:00:00.000Z,40,46,52
2020-11-02T00:00:00.000Z,44,31,47
2020-11-03T00:00:00.000Z,43,42,51
2020-11-04T00:00:00.000Z,22,33,51
2020-11-05T00:00:00.000Z,18,32,66
2020-11-06T00:00:00.000Z,26,29,49
2020-11-07T00:00:00.000Z,27,14,26
2020-11-08T00:00:00.000Z,37,23,48
2020-11-09T00:00:00.000Z,23,25,50
2020-11-10T00:00:00.000Z,23,34,43
2020-11-11T00:00:00.000Z,35,29,41
2020-11-12T00:00:00.000Z,31,32,45
2020-11-13T00:00:00.000Z,25,35,40
2020-11-14T00:00:00.000Z,24,19,41
2020-11-15T00:00:00.000Z,38,22,53
2020-11-16T00:00:00.000Z,38,22,55
2020-11-17T00:00:00.000Z,35,31,34
2020-11-18T00:00:00.000Z,29,24,49
2020-11-19T00:00:00.000Z,31,24,61
2020-11-20T00:00:00.000Z,21,21,43
2020-11-21T00:00:00.000Z,26,28,34
2020-11-22T00:00:00.000Z,35,23,56
2020-11-23T00:00:00.000Z,34,37,58
2020-11-24T00:00:00.000Z,22,24,41
2020-11-25T00:00:00.000Z,35,23,58
2020-11-26T00:00:00.000Z,29,32,47
2020-11-27T00:00:00.000Z,31,21,26
2020-11-28T00:00:00.000Z,15,22,33
2020-11-29T00:00:00.000Z,37,25,66
2020-11-30T00:00:00.000Z,32,31,70
2020-12-01T00:00:00.000Z,53,32,60
2020-12-02T00:00:00.000Z,48,49,61
2020-12-03T00:00:00.000Z,51,30,58
2020-12-04T00:00:00.000Z,44,37,71
2020-12-05T00:00:00.000Z,36,31,54
2020-12-06T00:00:00.000Z,41,32,65
2020-12-07T00:00:00.000Z,43,55,62
2020-12-08T00:00:00.000Z,31,49,68
2020-12-09T00:00:00.000Z,41,38,72
2020-12-10T00:00:00.000Z,42,54,80
2020-12-11T00:00:00.000Z,55,28,69
2020-12-12T00:00:00.000Z,47,36,59
2020-12-13T00:00:00.000Z,69,48,79
2020-12-14T00:00:00.000Z,57,59,89
2020-12-15T00:00:00.000Z,59,70,73
2020-12-16T00:00:00.000Z,64,63,77
2020-12-17T00:00:00.000Z,77,49,95
2020-12-18T00:00:00.000Z,66,47,91
2020-12-19T00:00:00.000Z,68,45,83
2020-12-20T00:00:00.000Z,70,71,105
2020-12-21T00:00:00.000Z,77,76,89
2020-12-22T00:00:00.000Z,89,61,127
2020-12-23T00:00:00.000Z,83,87,102
2020-12-24T00:00:00.000Z,83,73,101
2020-12-25T00:00:00.000Z,91,68,115
2020-12-26T00:00:00.000Z,85,52,114
2020-12-27T00:00:00.000Z,99,98,121
2020-12-28T00:00:00.000Z,99,73,140
2020-12-29T00:00:00.000Z,109,77,148
2020-12-30T00:00:00.000Z,108,81,138
2020-12-31T00:00:00.000Z,125,59,135
2021-01-01T00:00:00.000Z,113,75,141
2021-01-02T00:00:00.000Z,85,95,120
2021-01-03T00:00:00.000Z,135,105,189
2021-01-04T00:00:00.000Z,147,130,155
2021-01-05T00:00:00.000Z,157,96,194
2021-01-06T00:00:00.000Z,158,99,172
2021-01-07T00:00:00.000Z,146,121,185
2021-01-08T00:00:00.000Z,129,84,175
2021-01-09T00:00:00.000Z,145,100,161
2021-01-10T00:00:00.000Z,165,116,220
2021-01-11T00:00:00.000Z,176,133,198
2021-01-12T00:00:00.000Z,158,124,197
2021-01-13T00:00:00.000Z,178,127,172
2021-01-14T00:00:00.000Z,181,122,165
2021-01-15T00:00:00.000Z,161,103,192
2021-01-16T00:00:00.000Z,128,78,158
2021-01-17T00:00:00.000Z,179,150,252
2021-01-18T00:00:00.000Z,162,124,212
2021-01-19T00:00:00.000Z,192,135,189
2021-01-20T00:00:00.000Z,146,111,183
2021-01-21T00:00:00.000Z,159,126,179
2021-01-22T00:00:00.000Z,145,96,166
2021-01-23T00:00:00.000Z,143,83,145
2021-01-24T00:00:00.000Z,153,120,203
2021-01-25T00:00:00.000Z,185,121,178
2021-01-26T00:00:00.000Z,171,96,165
2021-01-27T00:00:00.000Z,141,102,151
2021-01-28T00:00:00.000Z,150,92,166
2021-01-29T00:00:00.000Z,114,85,166
2021-01-30T00:00:00.000Z,106,66,130
2021-01-31T00:00:00.000Z,142,118,200
2021-02-01T00:00:00.000Z,148,94,159
2021-02-02T00:00:00.000Z,148,130,186
2021-02-03T00:00:00.000Z,182,98,159
2021-02-04T00:00:00.000Z,152,109,155
2021-02-05T00:00:00.000Z,143,67,137
2021-02-06T00:00:00.000Z,113,65,134
2021-02-07T00:00:00.000Z,141,117,161
2021-02-08T00:00:00.000Z,152,121,169
2021-02-09T00:00:00.000Z,112,98,136
2021-02-10T00:00:00.000Z,141,90,160
2021-02-11T00:00:00.000Z,106,84,159
2021-02-12T00:00:00.000Z,88,85,128
2021-02-13T00:00:00.000Z,117,69,106
2021-02-14T00:00:00.000Z,142,88,141
2021-02-15T00:00:00.000Z,127,91,153
2021-02-16T00:00:00.000Z,93,75,163
2021-02-17T00:00:00.000Z,101,75,145
2021-02-18T00:00:00.000Z,82,67,138
2021-02-19T00:00:00.000Z,66,63,127
2021-02-20T00:00:00.000Z,70,68,131
2021-02-21T00:00:00.000Z,87,94,162
2021-02-22T00:00:00.000Z,108,86,139
2021-02-23T00:00:00.000Z,104,62,159
2021-02-24T00:00:00.000Z,98,61,136
2021-02-25T00:00:00.000Z,95,75,140
2021-02-26T00:00:00.000Z,82,60,131
2021-02-27T00:00:00.000Z,68,63,127
2021-02-28T00:00:00.000Z,90,91,165
2021-03-01T00:00:00.000Z,109,75,167
2021-03-02T00:00:00.000Z,90,84,151
2021-03-03T00:00:00.000Z,107,70,110
2021-03-04T00:00:00.000Z,89,65,141
2021-03-05T00:00:00.000Z,78,65,114
2021-03-06T00:00:00.000Z,99,53,96
2021-03-07T00:00:00.000Z,72,72,144
2021-03-08T00:00:00.000Z,92,90,129
2021-03-09T00:00:00.000Z,63,57,117
2021-03-10T00:00:00.000Z,78,64,103
2021-03-11T00:00:00.000Z,65,41,106
2021-03-12T00:00:00.000Z,67,46,85
2021-03-13T00:00:00.000Z,52,44,93
2021-03-14T00:00:00.000Z,82,60,92
2021-03-15T00:00:00.000Z,61,45,101
2021-03-16T00:00:00.000Z,62,58,74
2021-03-17T00:00:00.000Z,47,39,88
2021-03-18T00:00:00.000Z,64,46,82
2021-03-19T00:00:00.000Z,47,32,67
2021-03-20T00:00:00.000Z,39,44,63
2021-03-21T00:00:00.000Z,51,30,89
2021-03-22T00:00:00.000Z,33,38,67
2021-03-23T00:00:00.000Z,41,27,43
2021-03-24T00:00:00.000Z,44,45,73
2021-03-25T00:00:00.000Z,50,30,60
2021-03-26T00:00:00.000Z,30,19,36
2021-03-27T00:00:00.000Z,15,11,32
2021-03-28T00:00:00.000Z,26,15,31
2021-03-29T00:00:00.000Z,19,28,49
2021-03-30T00:00:00.000Z,21,33,42
2021-03-31T00:00:00.000Z,24,16,29
2021-04-01T00:00:00.000Z,19,13,31
2021-04-02T00:00:00.000Z,13,22,30
2021-04-03T00:00:00.000Z,17,4,26
2021-04-04T00:00:00.000Z,17,18,40
2021-04-05T00:00:00.000Z,15,22,36
2021-04-06T00:00:00.000Z,13,14,34
2021-04-07T00:00:00.000Z,17,15,31
2021-04-08T00:00:00.000Z,13,12,32
2021-04-09T00:00:00.000Z,21,18,21
2021-04-10T00:00:00.000Z,12,15,20
2021-04-11T00:00:00.000Z,16,8,35
2021-04-12T00:00:00.000Z,14,15,23
2021-04-13T00:00:00.000Z,15,14,16
2021-04-14T00:00:00.000Z,3,9,17
