date,serious_critical_new,medium_new,easy_new
2021-10-28T00:00:00.000Z,17,8,21
2021-10-29T00:00:00.000Z,8,8,19
2021-10-30T00:00:00.000Z,9,6,16
2021-10-31T00:00:00.000Z,14,9,28
2021-11-01T00:00:00.000Z,13,7,27
2021-11-02T00:00:00.000Z,10,5,16
2021-11-03T00:00:00.000Z,6,6,11
2021-11-04T00:00:00.000Z,3,5,20
2021-11-05T00:00:00.000Z,7,0,12
2021-11-06T00:00:00.000Z,6,5,12
2021-11-07T00:00:00.000Z,2,6,8
2021-11-08T00:00:00.000Z,7,6,11
2021-11-09T00:00:00.000Z,7,0,21
2021-11-10T00:00:00.000Z,8,6,13
2021-11-11T00:00:00.000Z,8,2,15
2021-11-12T00:00:00.000Z,7,5,5
2021-11-13T00:00:00.000Z,5,1,10
2021-11-14T00:00:00.000Z,5,5,17
2021-11-15T00:00:00.000Z,6,5,7
2021-11-16T00:00:00.000Z,6,3,12
2021-11-17T00:00:00.000Z,7,6,9
2021-11-18T00:00:00.000Z,5,19,10
2021-11-19T00:00:00.000Z,3,5,11
2021-11-20T00:00:00.000Z,8,1,5
2021-11-21T00:00:00.000Z,7,6,14
2021-11-22T00:00:00.000Z,6,2,13
2021-11-23T00:00:00.000Z,6,3,14
2021-11-24T00:00:00.000Z,5,4,10
2021-11-25T00:00:00.000Z,8,4,14
2021-11-26T00:00:00.000Z,8,4,7
2021-11-27T00:00:00.000Z,9,4,8
2021-11-28T00:00:00.000Z,7,2,12
2021-11-29T00:00:00.000Z,3,3,13
2021-11-30T00:00:00.000Z,6,4,21
2021-12-01T00:00:00.000Z,2,2,8
2021-12-02T00:00:00.000Z,6,2,11
2021-12-03T00:00:00.000Z,4,2,12
2021-12-04T00:00:00.000Z,5,2,10
2021-12-05T00:00:00.000Z,6,3,17
2021-12-06T00:00:00.000Z,6,3,15
2021-12-07T00:00:00.000Z,5,2,17
2021-12-08T00:00:00.000Z,3,1,12
2021-12-09T00:00:00.000Z,5,3,17
2021-12-10T00:00:00.000Z,11,2,10
2021-12-11T00:00:00.000Z,4,2,19
2021-12-12T00:00:00.000Z,2,6,17
2021-12-13T00:00:00.000Z,7,2,12
2021-12-14T00:00:00.000Z,3,4,21
2021-12-15T00:00:00.000Z,1,5,11
2021-12-16T00:00:00.000Z,4,4,24
2021-12-17T00:00:00.000Z,6,3,18
2021-12-18T00:00:00.000Z,4,2,16
2021-12-19T00:00:00.000Z,6,7,15
2021-12-20T00:00:00.000Z,9,7,22
2021-12-21T00:00:00.000Z,8,4,17
2021-12-22T00:00:00.000Z,5,5,25
2021-12-23T00:00:00.000Z,9,4,31
2021-12-24T00:00:00.000Z,12,5,28
2021-12-25T00:00:00.000Z,12,7,18
2021-12-26T00:00:00.000Z,13,5,35
2021-12-27T00:00:00.000Z,6,5,42
2021-12-28T00:00:00.000Z,12,7,48
2021-12-29T00:00:00.000Z,12,7,47
2021-12-30T00:00:00.000Z,7,3,63
2021-12-31T00:00:00.000Z,10,7,51
2022-01-01T00:00:00.000Z,12,2,55
2022-01-02T00:00:00.000Z,20,10,73
2022-01-03T00:00:00.000Z,12,12,112
2022-01-04T00:00:00.000Z,19,16,131
2022-01-05T00:00:00.000Z,30,14,132
2022-01-06T00:00:00.000Z,25,13,149
2022-01-07T00:00:00.000Z,36,17,160
2022-01-08T00:00:00.000Z,33,20,175
2022-01-09T00:00:00.000Z,49,45,266
2022-01-10T00:00:00.000Z,52,35,288
2022-01-11T00:00:00.000Z,70,49,249
2022-01-12T00:00:00.000Z,37,50,310
2022-01-13T00:00:00.000Z,87,44,339
2022-01-14T00:00:00.000Z,91,54,307
2022-01-15T00:00:00.000Z,96,54,339
2022-01-16T00:00:00.000Z,131,69,432
2022-01-17T00:00:00.000Z,119,70,453
2022-01-18T00:00:00.000Z,131,63,489
2022-01-19T00:00:00.000Z,128,102,401
2022-01-20T00:00:00.000Z,149,80,528
2022-01-21T00:00:00.000Z,173,65,472
2022-01-22T00:00:00.000Z,162,89,394
2022-01-23T00:00:00.000Z,178,114,530
2022-01-24T00:00:00.000Z,165,114,548
2022-01-25T00:00:00.000Z,194,124,577
2022-01-26T00:00:00.000Z,184,108,430
2022-01-27T00:00:00.000Z,190,105,490
2022-01-28T00:00:00.000Z,157,80,403
2022-01-29T00:00:00.000Z,169,55,388
2022-01-30T00:00:00.000Z,218,114,518
2022-01-31T00:00:00.000Z,230,112,527
2022-02-01T00:00:00.000Z,197,102,446
2022-02-02T00:00:00.000Z,191,117,533
2022-02-03T00:00:00.000Z,198,101,417
2022-02-04T00:00:00.000Z,208,79,397
2022-02-05T00:00:00.000Z,184,73,314
2022-02-06T00:00:00.000Z,180,112,438
2022-02-07T00:00:00.000Z,191,99,400
2022-02-08T00:00:00.000Z,173,82,422
2022-02-09T00:00:00.000Z,156,61,283
2022-02-10T00:00:00.000Z,163,92,323
2022-02-11T00:00:00.000Z,125,60,249
2022-02-12T00:00:00.000Z,100,59,203
2022-02-13T00:00:00.000Z,111,72,270
2022-02-14T00:00:00.000Z,150,62,292
2022-02-15T00:00:00.000Z,95,61,240
2022-02-16T00:00:00.000Z,101,52,249
2022-02-17T00:00:00.000Z,99,43,224
2022-02-18T00:00:00.000Z,85,49,134
2022-02-19T00:00:00.000Z,77,37,158
2022-02-20T00:00:00.000Z,87,58,154
2022-02-21T00:00:00.000Z,73,47,181
2022-02-22T00:00:00.000Z,56,36,137
2022-02-23T00:00:00.000Z,55,32,165
2022-02-24T00:00:00.000Z,73,34,120
2022-02-25T00:00:00.000Z,56,43,114
2022-02-26T00:00:00.000Z,49,25,91
2022-02-27T00:00:00.000Z,60,35,117
2022-02-28T00:00:00.000Z,40,33,127
2022-03-01T00:00:00.000Z,64,33,88
2022-03-02T00:00:00.000Z,44,21,105
2022-03-03T00:00:00.000Z,30,24,92
2022-03-04T00:00:00.000Z,28,29,81
2022-03-05T00:00:00.000Z,36,24,70
2022-03-06T00:00:00.000Z,41,21,79
2022-03-07T00:00:00.000Z,32,31,68
2022-03-08T00:00:00.000Z,34,21,105
2022-03-09T00:00:00.000Z,31,18,87
2022-03-10T00:00:00.000Z,25,23,81
2022-03-11T00:00:00.000Z,13,16,61
2022-03-12T00:00:00.000Z,33,20,54
2022-03-13T00:00:00.000Z,25,15,59
2022-03-14T00:00:00.000Z,17,14,69
2022-03-15T00:00:00.000Z,19,13,55
2022-03-16T00:00:00.000Z,23,18,73
2022-03-17T00:00:00.000Z,20,19,53
2022-03-18T00:00:00.000Z,21,11,53
2022-03-19T00:00:00.000Z,25,19,84
2022-03-20T00:00:00.000Z,30,12,100
2022-03-21T00:00:00.000Z,33,18,91
2022-03-22T00:00:00.000Z,20,18,121
2022-03-23T00:00:00.000Z,29,15,101
2022-03-24T00:00:00.000Z,26,17,75
2022-03-25T00:00:00.000Z,20,3,55
2022-03-26T00:00:00.000Z,22,18,103
2022-03-27T00:00:00.000Z,28,18,103
2022-03-28T00:00:00.000Z,34,24,115
2022-03-29T00:00:00.000Z,23,16,104
2022-03-30T00:00:00.000Z,28,18,96
2022-03-31T00:00:00.000Z,38,18,109
2022-04-01T00:00:00.000Z,30,17,66
2022-04-02T00:00:00.000Z,31,10,83
2022-04-03T00:00:00.000Z,23,23,87
2022-04-04T00:00:00.000Z,17,23,123
2022-04-05T00:00:00.000Z,44,35,76
2022-04-06T00:00:00.000Z,35,22,67
2022-04-07T00:00:00.000Z,26,25,91
2022-04-08T00:00:00.000Z,33,13,77
2022-04-09T00:00:00.000Z,32,18,64
2022-04-10T00:00:00.000Z,31,18,73
2022-04-11T00:00:00.000Z,24,22,88
2022-04-12T00:00:00.000Z,21,17,70
2022-04-13T00:00:00.000Z,23,13,52
2022-04-14T00:00:00.000Z,23,7,57
2022-04-15T00:00:00.000Z,16,13,46
2022-04-16T00:00:00.000Z,14,7,66
2022-04-17T00:00:00.000Z,23,14,57
2022-04-18T00:00:00.000Z,22,7,80
2022-04-19T00:00:00.000Z,29,18,57
2022-04-20T00:00:00.000Z,19,15,55
2022-04-21T00:00:00.000Z,16,18,54
2022-04-22T00:00:00.000Z,16,12,37
2022-04-23T00:00:00.000Z,16,9,64
2022-04-24T00:00:00.000Z,22,17,58
2022-04-25T00:00:00.000Z,18,11,54
2022-04-26T00:00:00.000Z,24,13,52
2022-04-27T00:00:00.000Z,20,14,42
2022-04-28T00:00:00.000Z,25,9,25
2022-04-29T00:00:00.000Z,9,4,13
