period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,123305,22853,18.53
3_Month,0-9,553993,254401,45.92
6_Month,0-9,1225971,501915,40.94
1_Year,0-9,1486270,620365,41.74
All,0-9,1689364,728381,43.12
1_Month,10-19,133121,18464,13.87
3_Month,10-19,526756,233989,44.42
6_Month,10-19,1143953,537785,47.01
1_Year,10-19,1382812,624831,45.19
All,10-19,1606522,770414,47.96
1_Month,20-29,155064,21247,13.7
3_Month,20-29,517409,162558,31.42
6_Month,20-29,971772,370143,38.09
1_Year,20-29,1198158,431578,36.02
All,20-29,1422537,553671,38.92
1_Month,30-39,158238,29278,18.5
3_Month,30-39,529104,198434,37.5
6_Month,30-39,946842,400199,42.27
1_Year,30-39,1141443,462698,40.54
All,30-39,1323528,549345,41.51
1_Month,40-49,159706,27580,17.27
3_Month,40-49,503488,185091,36.76
6_Month,40-49,865218,367605,42.49
1_Year,40-49,1021794,415792,40.69
All,40-49,1175026,490358,41.73
1_Month,50-59,142873,23206,16.24
3_Month,50-59,402786,127927,31.76
6_Month,50-59,661468,245070,37.05
1_Year,50-59,782182,272533,34.84
All,50-59,906645,329994,36.4
1_Month,60-69,128168,22003,17.17
3_Month,60-69,338572,91264,26.96
6_Month,60-69,540526,169348,31.33
1_Year,60-69,638819,186719,29.23
All,60-69,737481,225296,30.55
1_Month,70-79,89029,15615,17.54
3_Month,70-79,219729,53084,24.16
6_Month,70-79,337240,92795,27.52
1_Year,70-79,401117,102295,25.5
All,70-79,465315,122793,26.39
1_Month,80-89,38637,6127,15.86
3_Month,80-89,84799,20554,24.24
6_Month,80-89,127171,35678,28.06
1_Year,80-89,155806,40228,25.82
All,80-89,197180,51239,25.99
1_Month,90+,10724,1502,14.01
3_Month,90+,20647,5057,24.49
6_Month,90+,30116,9122,30.29
1_Year,90+,37348,10319,27.63
All,90+,51268,13997,27.3
