instituteDesc,occupancy,gOccupancy,occupancyDate
סורוקה,61.2,74.2,2022-04-28T00:00:00.000Z
רבין ק. השרון,61.4,68.9,2022-04-28T00:00:00.000Z
הכרמל,64.2,80.4,2022-04-28T00:00:00.000Z
מאיר,66,81.9,2022-04-28T00:00:00.000Z
וולפסון,78.7,73.4,2022-04-28T00:00:00.000Z
פוריה,79.5,81.1,2022-04-28T00:00:00.000Z
יוספטל,81.3,53.8,2022-04-28T00:00:00.000Z
הדסה הר הצופים,88.9,88.2,2022-04-28T00:00:00.000Z
שמיר,91.1,72.3,2022-04-28T00:00:00.000Z
נהריה,93.2,87.3,2022-04-28T00:00:00.000Z
קפלן,93.3,89.6,2022-04-28T00:00:00.000Z
ברזילי,95.3,87.9,2022-04-28T00:00:00.000Z
זיו צפת,96.9,81.3,2022-04-28T00:00:00.000Z
המרכזי בעמק,96.8,71.5,2022-04-28T00:00:00.000Z
בני ציון,97.5,94.5,2022-04-28T00:00:00.000Z
לניאדו,100,87.7,2022-04-28T00:00:00.000Z
"רמב""ם",102.5,87.1,2022-04-28T00:00:00.000Z
הלל יפה,104.8,88.2,2022-04-28T00:00:00.000Z
שיבא,113.8,109.9,2022-04-28T00:00:00.000Z
הדסה עין כרם,113.6,95.9,2022-04-28T00:00:00.000Z
אסותא אשדוד,115.3,110.9,2022-04-28T00:00:00.000Z
רבין ק. בילינסון,121.1,97.6,2022-04-28T00:00:00.000Z
