age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,415,4011,0,142.2,1456.4,0,0,1,0,0,0.4
16-19,81,1649,1625,63.5,556.3,1164.5,0,0,1,0,0,0.7
20-29,260,4463,2963,71.3,682.4,1172.3,0,4,15,0,0.6,5.9
30-39,548,4955,3012,129.5,881,1655.8,0,1,38,0,0.2,20.9
40-49,551,2951,2111,104.6,711.2,1509,2,8,80,0.4,1.9,57.2
50-59,327,1291,1142,65.2,498.6,1192.9,5,23,103,1,8.9,107.6
60-69,305,764,704,57.8,530.8,1074.7,13,37,104,2.5,25.7,158.8
70-79,214,360,380,53.2,488.7,841,17,34,78,4.2,46.2,172.6
80-89,139,222,225,79.4,582.5,1033.2,16,21,42,9.1,55.1,192.9
90+,60,64,82,168.8,495.2,974.7,3,6,18,8.4,46.4,214
