period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,7573,1058,13.97
3_Month,0-9,19163,3350,17.48
6_Month,0-9,104614,44219,42.27
1_Year,0-9,1227523,536978,43.74
All,0-9,1714681,767497,44.76
1_Month,10-19,12192,3235,26.53
3_Month,10-19,29021,7166,24.69
6_Month,10-19,112549,44957,39.94
1_Year,10-19,1150355,575906,50.06
All,10-19,1631445,810240,49.66
1_Month,20-29,17861,4748,26.58
3_Month,20-29,41495,9192,22.15
6_Month,20-29,150134,58325,38.85
1_Year,20-29,1013960,428048,42.22
All,20-29,1476677,607371,41.13
1_Month,30-39,17904,5031,28.1
3_Month,30-39,41049,10564,25.74
6_Month,30-39,163474,71564,43.78
1_Year,30-39,985732,471259,47.81
All,30-39,1374761,616051,44.81
1_Month,40-49,19211,5726,29.81
3_Month,40-49,43038,12019,27.93
6_Month,40-49,160884,73273,45.54
1_Year,40-49,900476,442125,49.1
All,40-49,1221542,560303,45.87
1_Month,50-59,19759,5902,29.87
3_Month,50-59,43528,12672,29.11
6_Month,50-59,149580,70654,47.23
1_Year,50-59,707101,321246,45.43
All,50-59,957208,401610,41.96
1_Month,60-69,21799,6293,28.87
3_Month,60-69,49371,14707,29.79
6_Month,60-69,160864,77819,48.38
1_Year,60-69,596900,255709,42.84
All,60-69,791432,308365,38.96
1_Month,70-79,23386,6173,26.4
3_Month,70-79,51478,15387,29.89
6_Month,70-79,147108,71776,48.79
1_Year,70-79,398361,173474,43.55
All,70-79,517480,201718,38.98
1_Month,80-89,19338,3285,16.99
3_Month,80-89,34329,7549,21.99
6_Month,80-89,76427,32649,42.72
1_Year,80-89,156955,70835,45.13
All,80-89,221561,85446,38.57
1_Month,90+,7108,998,14.04
3_Month,90+,11458,2017,17.6
6_Month,90+,21709,8318,38.32
1_Year,90+,37700,17644,46.8
All,90+,58169,22188,38.14
