age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,299341,206434,1538337,19.5,13.4
20-29,904015,622786,1300361,69.5,47.9
30-39,910139,663457,1197026,76,55.4
40-49,897302,728471,1098556,81.7,66.3
50-59,735055,628391,849966,86.5,73.9
60-69,649379,592428,741639,87.6,79.9
70-79,472158,443835,490784,96.2,90.4
80-89,210642,196915,225538,93.4,87.3
90+,49394,45544,51496,95.9,88.4
