instituteDesc,occupancy,gOccupancy,occupancyDate
פוריה,51.3,57.2,2022-02-17T00:00:00.000Z
וולפסון,52.5,77.7,2022-02-17T00:00:00.000Z
רבין ק. השרון,53.5,67.6,2022-02-17T00:00:00.000Z
הכרמל,54.7,83.2,2022-02-17T00:00:00.000Z
סורוקה,62.4,77.2,2022-02-17T00:00:00.000Z
יוספטל,62.5,52.3,2022-02-17T00:00:00.000Z
הדסה הר הצופים,69.4,80.6,2022-02-17T00:00:00.000Z
בני ציון,71.9,88.5,2022-02-17T00:00:00.000Z
איכילוב,73.3,111,2022-02-17T00:00:00.000Z
מאיר,78.5,83.5,2022-02-17T00:00:00.000Z
שמיר,79.5,79.7,2022-02-17T00:00:00.000Z
זיו צפת,81.3,67.4,2022-02-17T00:00:00.000Z
לניאדו,82.1,93,2022-02-17T00:00:00.000Z
המרכזי בעמק,82.6,75.4,2022-02-17T00:00:00.000Z
ברזילי,85.4,80.6,2022-02-17T00:00:00.000Z
נהריה,85.8,86.8,2022-02-17T00:00:00.000Z
קפלן,85.3,86.2,2022-02-17T00:00:00.000Z
שערי צדק,86.7,107.4,2022-02-17T00:00:00.000Z
מ.גריאטרי פרדס חנה,,41.2,2022-02-17T00:00:00.000Z
שיבא,88.3,105,2022-02-17T00:00:00.000Z
"רמב""ם",92.9,96.5,2022-02-17T00:00:00.000Z
הדסה עין כרם,93.2,98.8,2022-02-17T00:00:00.000Z
רבין ק. בילינסון,96.5,91.7,2022-02-17T00:00:00.000Z
אסותא אשדוד,96.6,105.8,2022-02-17T00:00:00.000Z
