instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,62.5,40,2022-03-06T00:00:00.000Z
רבין ק. השרון,62.3,55.6,2022-03-06T00:00:00.000Z
סורוקה,72.5,77.7,2022-03-06T00:00:00.000Z
הכרמל,74.5,75.7,2022-03-06T00:00:00.000Z
פוריה,74.4,76.3,2022-03-06T00:00:00.000Z
וולפסון,75.8,78,2022-03-06T00:00:00.000Z
הדסה הר הצופים,77.8,80.6,2022-03-06T00:00:00.000Z
בני ציון,85.1,85.2,2022-03-06T00:00:00.000Z
מאיר,87,99.7,2022-03-06T00:00:00.000Z
שמיר,93.8,70.5,2022-03-06T00:00:00.000Z
שמואל הרופא,94.4,81.8,2022-03-06T00:00:00.000Z
המרכזי בעמק,94.2,74.3,2022-03-06T00:00:00.000Z
ברזילי,98.4,80,2022-03-06T00:00:00.000Z
נהריה,100,87.4,2022-03-06T00:00:00.000Z
"רמב""ם",102,88.1,2022-03-06T00:00:00.000Z
קפלן,109.3,104.2,2022-03-06T00:00:00.000Z
לניאדו,110.3,81.9,2022-03-06T00:00:00.000Z
זיו צפת,110.9,76.4,2022-03-06T00:00:00.000Z
הלל יפה,117.1,91.8,2022-03-06T00:00:00.000Z
רבין ק. בילינסון,119.8,96.1,2022-03-06T00:00:00.000Z
הדסה עין כרם,133,95,2022-03-06T00:00:00.000Z
