section,female,male,period
0-9,"{'amount': 22481, 'percentage': 10}","{'amount': 23906, 'percentage': 11}",3 חודשים
0-9,"{'amount': 57920, 'percentage': 7}","{'amount': 61327, 'percentage': 8}",שנה
0-9,"{'amount': 565, 'percentage': 10}","{'amount': 634, 'percentage': 11}",חודש אחרון
0-9,"{'amount': 58361, 'percentage': 7}","{'amount': 61764, 'percentage': 8}",מתחילת קורונה
0-9,"{'amount': 43038, 'percentage': 8}","{'amount': 45755, 'percentage': 9}",6 חודשים
10-19,"{'amount': 83100, 'percentage': 10}","{'amount': 91196, 'percentage': 11}",שנה
10-19,,"{'amount': 55161, 'percentage': 11}",6 חודשים
10-19,"{'amount': 811, 'percentage': 14}","{'amount': 682, 'percentage': 12}",חודש אחרון
10-19,"{'amount': 25279, 'percentage': 12}","{'amount': 23816, 'percentage': 11}",3 חודשים
10-19,"{'amount': 84069, 'percentage': 10}","{'amount': 92337, 'percentage': 11}",מתחילת קורונה
20-29,"{'amount': 50659, 'percentage': 10}","{'amount': 43190, 'percentage': 8}",6 חודשים
20-29,"{'amount': 419, 'percentage': 7}","{'amount': 321, 'percentage': 6}",חודש אחרון
20-29,"{'amount': 80591, 'percentage': 10}","{'amount': 77178, 'percentage': 9}",מתחילת קורונה
20-29,"{'amount': 79085, 'percentage': 10}","{'amount': 75148, 'percentage': 9}",שנה
20-29,"{'amount': 22079, 'percentage': 10}","{'amount': 18325, 'percentage': 8}",3 חודשים
30-39,"{'amount': 16304, 'percentage': 8}","{'amount': 14285, 'percentage': 7}",3 חודשים
30-39,,"{'amount': 34110, 'percentage': 7}",6 חודשים
30-39,"{'amount': 60118, 'percentage': 7}","{'amount': 56003, 'percentage': 7}",מתחילת קורונה
30-39,"{'amount': 418, 'percentage': 7}","{'amount': 284, 'percentage': 5}",חודש אחרון
30-39,"{'amount': 59269, 'percentage': 7}","{'amount': 54811, 'percentage': 7}",שנה
40-49,,"{'amount': 27701, 'percentage': 5}",6 חודשים
40-49,"{'amount': 50879, 'percentage': 6}","{'amount': 45481, 'percentage': 6}",שנה
40-49,"{'amount': 51705, 'percentage': 6}","{'amount': 46541, 'percentage': 6}",מתחילת קורונה
40-49,"{'amount': 12241, 'percentage': 6}","{'amount': 10525, 'percentage': 5}",3 חודשים
40-49,"{'amount': 334, 'percentage': 6}","{'amount': 283, 'percentage': 5}",חודש אחרון
50-59,"{'amount': 37553, 'percentage': 5}","{'amount': 34711, 'percentage': 4}",מתחילת קורונה
50-59,"{'amount': 202, 'percentage': 4}","{'amount': 153, 'percentage': 3}",חודש אחרון
50-59,"{'amount': 22194, 'percentage': 4}","{'amount': 19942, 'percentage': 4}",6 חודשים
50-59,"{'amount': 7827, 'percentage': 4}","{'amount': 6782, 'percentage': 3}",3 חודשים
50-59,"{'amount': 36728, 'percentage': 5}","{'amount': 33713, 'percentage': 4}",שנה
60-69,"{'amount': 22676, 'percentage': 3}","{'amount': 22867, 'percentage': 3}",שנה
60-69,"{'amount': 168, 'percentage': 3}","{'amount': 131, 'percentage': 2}",חודש אחרון
60-69,,"{'amount': 12795, 'percentage': 3}",6 חודשים
60-69,"{'amount': 4338, 'percentage': 2}","{'amount': 3589, 'percentage': 2}",3 חודשים
60-69,"{'amount': 23259, 'percentage': 3}","{'amount': 23697, 'percentage': 3}",מתחילת קורונה
70-79,"{'amount': 95, 'percentage': 2}","{'amount': 88, 'percentage': 2}",חודש אחרון
70-79,"{'amount': 2187, 'percentage': 1}","{'amount': 1696, 'percentage': 1}",3 חודשים
70-79,"{'amount': 6988, 'percentage': 1}","{'amount': 6400, 'percentage': 1}",6 חודשים
70-79,"{'amount': 11902, 'percentage': 1}","{'amount': 11905, 'percentage': 1}",מתחילת קורונה
70-79,"{'amount': 11550, 'percentage': 1}","{'amount': 11440, 'percentage': 1}",שנה
80-89,"{'amount': 63, 'percentage': 1}","{'amount': 54, 'percentage': 1}",חודש אחרון
80-89,"{'amount': 1387, 'percentage': 1}","{'amount': 869, 'percentage': 0}",3 חודשים
80-89,"{'amount': 4314, 'percentage': 1}","{'amount': 2904, 'percentage': 1}",6 חודשים
80-89,"{'amount': 7291, 'percentage': 1}","{'amount': 5277, 'percentage': 1}",מתחילת קורונה
80-89,"{'amount': 7062, 'percentage': 1}","{'amount': 5090, 'percentage': 1}",שנה
90+,"{'amount': 28, 'percentage': 1}","{'amount': 15, 'percentage': 0}",חודש אחרון
90+,"{'amount': 458, 'percentage': 0}","{'amount': 239, 'percentage': 0}",3 חודשים
90+,,"{'amount': 818, 'percentage': 0}",6 חודשים
90+,"{'amount': 2932, 'percentage': 0}","{'amount': 1405, 'percentage': 0}",מתחילת קורונה
90+,"{'amount': 2787, 'percentage': 0}","{'amount': 1338, 'percentage': 0}",שנה
