instituteDesc,occupancy,gOccupancy,occupancyDate
סורוקה,58.5,79.3,2022-04-07T00:00:00.000Z
הדסה הר הצופים,72.2,78.8,2022-04-07T00:00:00.000Z
מאיר,75,85.9,2022-04-07T00:00:00.000Z
פוריה,79.5,70.1,2022-04-07T00:00:00.000Z
שמואל הרופא,80.6,76,2022-04-07T00:00:00.000Z
איכילוב,83.7,117.9,2022-04-07T00:00:00.000Z
קפלן,88.7,82.5,2022-04-07T00:00:00.000Z
שמיר,90.3,80,2022-04-07T00:00:00.000Z
הלל יפה,91.8,77.7,2022-04-07T00:00:00.000Z
לניאדו,91,114.2,2022-04-07T00:00:00.000Z
שיבא,95.8,105.3,2022-04-07T00:00:00.000Z
זיו צפת,95.3,85.6,2022-04-07T00:00:00.000Z
וולפסון,96.7,82.7,2022-04-07T00:00:00.000Z
ברזילי,98.4,88.6,2022-04-07T00:00:00.000Z
"רמב""ם",99.5,90.5,2022-04-07T00:00:00.000Z
נהריה,104.7,86.6,2022-04-07T00:00:00.000Z
מ.גריאטרי פרדס חנה,,40.6,2022-04-07T00:00:00.000Z
יוספטל,100,50.8,2022-04-07T00:00:00.000Z
בני ציון,103.3,98.2,2022-04-07T00:00:00.000Z
הדסה עין כרם,124.3,92.6,2022-04-07T00:00:00.000Z
אסותא אשדוד,132.2,114.3,2022-04-07T00:00:00.000Z
המשפחה הקדושה,172.4,118.1,2022-04-07T00:00:00.000Z
