gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,מתחילת קורונה,416943,10.4,7,0.1,30,0.5,112,0.4
זכר,0-9,3 חודשים,170886,10.9,2,0.1,14,1.2,43,0.8
זכר,0-9,חודש אחרון,15056,6.9,0,0,0,0,10,1.3
זכר,0-9,6 חודשים,279482,10.3,4,0.2,17,1.2,54,0.8
זכר,0-9,שנה,348421,10.9,5,0.1,22,0.9,80,0.7
נקבה,0-9,3 חודשים,127487,8.1,1,0,8,0.7,30,0.6
נקבה,0-9,שנה,279082,8.7,2,0,8,0.3,55,0.5
נקבה,0-9,מתחילת קורונה,336753,8.4,5,0,15,0.3,72,0.3
נקבה,0-9,חודש אחרון,11700,5.4,0,0,0,0,4,0.5
נקבה,0-9,6 חודשים,216391,8,2,0.1,8,0.6,37,0.5
זכר,10-19,מתחילת קורונה,417365,10.4,7,0.1,23,0.4,78,0.3
זכר,10-19,חודש אחרון,11509,5.3,0,0,0,0,1,0.1
זכר,10-19,6 חודשים,270017,10,4,0.2,9,0.6,27,0.4
זכר,10-19,שנה,320877,10.1,5,0.1,14,0.6,43,0.4
זכר,10-19,3 חודשים,145543,9.3,4,0.2,8,0.7,19,0.4
נקבה,10-19,מתחילת קורונה,401738,10,7,0.1,23,0.4,77,0.3
נקבה,10-19,שנה,317293,9.9,4,0.1,15,0.6,34,0.3
נקבה,10-19,3 חודשים,135815,8.7,2,0.1,8,0.7,10,0.2
נקבה,10-19,חודש אחרון,11186,5.1,0,0,1,0.4,2,0.3
נקבה,10-19,6 חודשים,265337,9.8,2,0.1,10,0.7,16,0.2
זכר,20-29,3 חודשים,76432,4.9,2,0.1,10,0.9,25,0.5
זכר,20-29,שנה,172753,5.4,5,0.1,22,0.9,89,0.7
זכר,20-29,חודש אחרון,11262,5.2,1,0.5,2,0.9,1,0.1
זכר,20-29,מתחילת קורונה,243562,6.1,24,0.2,53,0.9,239,0.8
זכר,20-29,6 חודשים,143854,5.3,3,0.1,13,0.9,40,0.6
נקבה,20-29,3 חודשים,119868,7.6,5,0.2,10,0.9,18,0.3
נקבה,20-29,מתחילת קורונה,345042,8.6,22,0.2,58,1,271,0.9
נקבה,20-29,חודש אחרון,15420,7.1,0,0,1,0.4,1,0.1
נקבה,20-29,6 חודשים,224025,8.3,6,0.2,14,1,30,0.4
נקבה,20-29,שנה,261476,8.2,9,0.2,20,0.8,98,0.8
זכר,30-39,3 חודשים,92382,5.9,9,0.4,23,2,49,0.9
זכר,30-39,שנה,183938,5.8,25,0.6,48,2,215,1.8
זכר,30-39,מתחילת קורונה,236640,5.9,53,0.5,103,1.7,627,2.2
זכר,30-39,חודש אחרון,14540,6.7,2,1,7,3,9,1.2
זכר,30-39,6 חודשים,155762,5.8,14,0.5,32,2.2,68,1
נקבה,30-39,מתחילת קורונה,343781,8.5,36,0.3,103,1.7,589,2.1
נקבה,30-39,3 חודשים,142223,9.1,4,0.2,13,1.1,48,0.9
נקבה,30-39,חודש אחרון,19563,9,0,0,6,2.6,11,1.5
נקבה,30-39,6 חודשים,241680,8.9,4,0.2,18,1.2,74,1.1
נקבה,30-39,שנה,281556,8.8,15,0.3,40,1.7,228,1.9
זכר,40-49,3 חודשים,86169,5.5,13,0.6,35,3.1,100,1.9
זכר,40-49,שנה,167491,5.2,53,1.2,115,4.8,465,3.9
זכר,40-49,חודש אחרון,13328,6.1,1,0.5,6,2.6,10,1.3
זכר,40-49,מתחילת קורונה,211536,5.3,119,1.1,263,4.4,1398,4.9
זכר,40-49,6 חודשים,144743,5.3,23,0.9,60,4.1,151,2.2
נקבה,40-49,מתחילת קורונה,303576,7.5,75,0.7,136,2.3,961,3.4
נקבה,40-49,שנה,249535,7.8,20,0.5,52,2.2,334,2.8
נקבה,40-49,3 חודשים,131171,8.4,7,0.3,16,1.4,59,1.1
נקבה,40-49,חודש אחרון,18918,8.7,1,0.5,6,2.6,5,0.7
נקבה,40-49,6 חודשים,220245,8.1,14,0.5,27,1.9,97,1.4
זכר,50-59,מתחילת קורונה,142199,3.5,380,3.6,541,9,2219,7.7
זכר,50-59,שנה,109498,3.4,137,3.2,200,8.4,704,5.9
זכר,50-59,3 חודשים,58280,3.7,46,2.2,81,7.1,228,4.4
זכר,50-59,חודש אחרון,10442,4.8,5,2.6,16,6.9,26,3.5
זכר,50-59,6 חודשים,96748,3.6,73,2.8,117,8.1,307,4.5
נקבה,50-59,מתחילת קורונה,201107,5,198,1.9,252,4.2,1558,5.4
נקבה,50-59,שנה,162362,5.1,80,1.9,117,4.9,529,4.4
נקבה,50-59,3 חודשים,90914,5.8,29,1.4,44,3.9,147,2.8
נקבה,50-59,חודש אחרון,16331,7.5,2,1,6,2.6,13,1.7
נקבה,50-59,6 חודשים,146102,5.4,42,1.6,64,4.4,213,3.1
זכר,60-69,3 חודשים,41630,2.7,135,6.6,134,11.8,441,8.4
זכר,60-69,שנה,77201,2.4,351,8.1,296,12.4,1165,9.7
זכר,60-69,חודש אחרון,9751,4.5,8,4.1,34,14.6,61,8.2
זכר,60-69,מתחילת קורונה,99593,2.5,990,9.3,920,15.4,3254,11.4
זכר,60-69,6 חודשים,69013,2.5,188,7.3,175,12.1,605,8.9
נקבה,60-69,מתחילת קורונה,131948,3.3,549,5.1,500,8.4,2197,7.7
נקבה,60-69,שנה,108210,3.4,250,5.8,212,8.9,878,7.3
נקבה,60-69,3 חודשים,62523,4,83,4,78,6.9,338,6.4
נקבה,60-69,חודש אחרון,14569,6.7,9,4.7,20,8.6,44,5.9
נקבה,60-69,6 חודשים,98308,3.6,115,4.4,106,7.3,440,6.5
