cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו ג'ווייעד (שבט),קטן מ-15,אין מידע,18,38.72,5.54,צהוב,4649
אבו גוש,קטן מ-15,אין מידע,38,48.33,3.76,ירוק,7862
אבו סנאן,קטן מ-15,אין מידע,28,19.57,4.51,צהוב,14306
אבן יהודה,15,18.07,83,59.13,6.7,כתום,14036
אופקים,22,20.95,105,32.43,6.38,כתום,32378
אור יהודה,17,18.48,92,25.15,5.35,צהוב,36587
אור עקיבא,קטן מ-15,אין מידע,50,25.75,4.94,צהוב,19417
אורנית,קטן מ-15,אין מידע,37,41.07,6.28,כתום,9010
אזור,קטן מ-15,אין מידע,58,43.85,5.76,צהוב,13228
אילת,34,18.09,188,35.80,5.85,צהוב,52507
אלעד,קטן מ-15,אין מידע,22,4.47,1.98,ירוק,49179
אלפי מנשה,קטן מ-15,אין מידע,38,47.43,7.47,כתום,8011
אלקנה,קטן מ-15,אין מידע,36,90.93,8.85,אדום,3959
אפרת,קטן מ-15,אין מידע,38,33.27,7.58,אדום,11420
אריאל,קטן מ-15,אין מידע,87,42.46,6.63,כתום,20488
אשדוד,102,15.45,660,29.16,6,כתום,226329
אשקלון,116,17.08,679,46.37,6.52,כתום,146442
באקה אל-גרביה,קטן מ-15,אין מידע,16,5.25,2.59,ירוק,30448
באר יעקב,30,25.64,117,40.60,6.45,כתום,28818
באר שבע,175,16.36,1070,50.80,6.56,כתום,210624
בית אריה,קטן מ-15,אין מידע,22,41.18,8.2,אדום,5342
בית דגן,קטן מ-15,אין מידע,25,34.26,6.81,כתום,7298
בית שאן,15,20.00,75,39.52,5.49,צהוב,18980
בית שמש,15,15.15,99,7.49,3.41,ירוק,132210
בני ברק,20,14.08,142,6.83,3.17,ירוק,208031
"בני עי""ש",קטן מ-15,אין מידע,19,27.53,4.28,ירוק,6902
בנימינה-גבעת עדה,17,22.67,75,46.96,5.55,צהוב,15971
בת ים,57,12.84,444,34.75,5.65,צהוב,127772
ג'דיידה-מכר,קטן מ-15,אין מידע,20,9.38,7.21,כתום,21331
גבעת זאב,קטן מ-15,אין מידע,36,18.75,5.45,צהוב,19205
גבעת שמואל,17,15.45,110,40.39,6.28,כתום,27236
גבעתיים,43,17.34,248,40.74,6.16,כתום,60872
גדרה,31,25.41,122,42.35,5.9,צהוב,28805
גן יבנה,22,25.58,86,36.00,6.24,כתום,23887
גן נר,קטן מ-15,אין מידע,17,62.96,5.09,צהוב,2700
גני תקווה,23,25.27,91,42.31,5.32,צהוב,21508
דימונה,30,22.39,134,38.34,6.05,כתום,34954
הוד השרון,55,18.77,293,45.25,6.09,כתום,64755
הר אדר,קטן מ-15,אין מידע,21,51.26,5.65,צהוב,4097
הרצליה,104,18.91,550,55.44,6.27,כתום,99208
זכרון יעקב,קטן מ-15,אין מידע,77,32.76,6.3,כתום,23503
חדרה,58,20.07,289,29.21,5.65,צהוב,98928
חולון,94,13.35,704,35.83,5.94,צהוב,196510
חיפה,152,11.70,1299,45.58,6.34,כתום,284981
חצור הגלילית,קטן מ-15,אין מידע,21,22.02,4.5,צהוב,9538
חריש,18,32.14,56,28.56,6.48,כתום,19608
טבריה,21,13.13,160,35.02,5.82,צהוב,45686
טירה,קטן מ-15,אין מידע,19,7.04,4.17,ירוק,26972
טירת כרמל,20,22.99,87,35.82,5.9,צהוב,24285
טמרה,קטן מ-15,אין מידע,16,4.59,3.5,ירוק,34859
יבנה,35,22.58,155,31.15,6.32,כתום,49759
יהוד,24,20.00,120,40.00,5.82,צהוב,30003
יקנעם עילית,32,26.45,121,50.29,6.79,כתום,24061
ירוחם,קטן מ-15,אין מידע,35,32.77,5.01,צהוב,10680
ירושלים,250,14.31,1747,18.33,4.81,צהוב,952916
כוכב יאיר,קטן מ-15,אין מידע,48,54.93,5.98,צהוב,8738
כפר ורדים,קטן מ-15,אין מידע,17,30.94,5.75,צהוב,5495
כפר יונה,21,23.60,89,34.05,5.16,צהוב,26140
כפר סבא,85,18.81,452,44.46,5.79,צהוב,101664
כפר תבור,קטן מ-15,אין מידע,27,61.35,5.28,צהוב,4401
כרמיאל,22,13.92,158,34.21,6.68,כתום,46190
להבים,קטן מ-15,אין מידע,37,55.71,6.11,כתום,6641
לוד,38,19.49,195,24.14,5.88,צהוב,80786
מבשרת ציון,29,20.71,140,57.50,6.11,כתום,24347
מגאר,קטן מ-15,אין מידע,29,12.46,3.33,ירוק,23271
מגדל העמק,קטן מ-15,אין מידע,92,35.67,5.23,צהוב,25790
מודיעין-מכבים-רעות,84,20.84,403,42.54,6.07,כתום,94744
מזכרת בתיה,קטן מ-15,אין מידע,55,36.44,6.03,כתום,15095
מיתר,קטן מ-15,אין מידע,46,46.17,6.5,כתום,9963
מעיליא,קטן מ-15,אין מידע,22,67.80,8.93,אדום,3245
מעלה אדומים,20,18.87,106,28.04,5.69,צהוב,37802
מעלות-תרשיחא,קטן מ-15,אין מידע,69,31.14,6.37,כתום,22158
מצפה רמון,קטן מ-15,אין מידע,22,42.45,7.42,כתום,5183
מתן,קטן מ-15,אין מידע,17,46.83,5.08,צהוב,3630
נהריה,45,23.56,191,32.27,6.12,כתום,59189
נוף איילון,קטן מ-15,אין מידע,16,76.19,8.1,אדום,2100
נוף הגליל,23,21.90,105,25.03,5.4,צהוב,41950
נס ציונה,52,25.49,204,40.37,6.28,כתום,50532
נצרת,קטן מ-15,אין מידע,98,12.61,4.35,ירוק,77734
נשר,קטן מ-15,אין מידע,82,34.24,5.92,צהוב,23947
נתיבות,קטן מ-15,אין מידע,53,13.43,4.72,צהוב,39456
