section,male,female,period
0-9,"{'amount': 34814, 'percentage': 5}","{'amount': 29423, 'percentage': 4.2}",6 חודשים
0-9,"{'amount': 441882, 'percentage': 9.6}","{'amount': 363475, 'percentage': 7.9}",מתחילת קורונה
0-9,"{'amount': 311557, 'percentage': 9.3}","{'amount': 249756, 'percentage': 7.5}",שנה
0-9,"{'amount': 791, 'percentage': 2.7}","{'amount': 1062, 'percentage': 3.6}",חודש אחרון
0-9,"{'amount': 13240, 'percentage': 4.6}","{'amount': 11591, 'percentage': 4}",3 חודשים
10-19,"{'amount': 29480, 'percentage': 4.2}","{'amount': 30916, 'percentage': 4.4}",6 חודשים
10-19,"{'amount': 297481, 'percentage': 8.9}","{'amount': 298848, 'percentage': 8.9}",שנה
10-19,"{'amount': 439705, 'percentage': 9.5}","{'amount': 430348, 'percentage': 9.3}",מתחילת קורונה
10-19,"{'amount': 9537, 'percentage': 3.3}","{'amount': 10508, 'percentage': 3.6}",3 חודשים
10-19,"{'amount': 1030, 'percentage': 3.5}","{'amount': 1597, 'percentage': 5.5}",חודש אחרון
20-29,"{'amount': 30516, 'percentage': 4.3}","{'amount': 43318, 'percentage': 6.2}",6 חודשים
20-29,"{'amount': 12799, 'percentage': 4.4}","{'amount': 17673, 'percentage': 6.1}",3 חודשים
20-29,"{'amount': 171255, 'percentage': 5.1}","{'amount': 263670, 'percentage': 7.9}",שנה
20-29,"{'amount': 269129, 'percentage': 5.8}","{'amount': 381814, 'percentage': 8.3}",מתחילת קורונה
20-29,"{'amount': 841, 'percentage': 2.9}","{'amount': 1496, 'percentage': 5.1}",חודש אחרון
30-39,"{'amount': 39973, 'percentage': 5.7}","{'amount': 55434, 'percentage': 7.9}",6 חודשים
30-39,"{'amount': 269493, 'percentage': 5.8}","{'amount': 389192, 'percentage': 8.4}",מתחילת קורונה
30-39,"{'amount': 190557, 'percentage': 5.7}","{'amount': 290327, 'percentage': 8.7}",שנה
30-39,"{'amount': 1187, 'percentage': 4.1}","{'amount': 1965, 'percentage': 6.7}",חודש אחרון
30-39,"{'amount': 15997, 'percentage': 5.6}","{'amount': 21932, 'percentage': 7.6}",3 חודשים
40-49,"{'amount': 178672, 'percentage': 5.3}","{'amount': 269283, 'percentage': 8.1}",שנה
40-49,"{'amount': 38751, 'percentage': 5.5}","{'amount': 56833, 'percentage': 8.1}",6 חודשים
40-49,"{'amount': 244039, 'percentage': 5.3}","{'amount': 350439, 'percentage': 7.6}",מתחילת קורונה
40-49,"{'amount': 1228, 'percentage': 4.2}","{'amount': 2313, 'percentage': 7.9}",חודש אחרון
40-49,"{'amount': 15228, 'percentage': 5.3}","{'amount': 22199, 'percentage': 7.7}",3 חודשים
50-59,"{'amount': 171557, 'percentage': 3.7}","{'amount': 246682, 'percentage': 5.3}",מתחילת קורונה
50-59,"{'amount': 126794, 'percentage': 3.8}","{'amount': 192783, 'percentage': 5.8}",שנה
50-59,"{'amount': 34395, 'percentage': 4.9}","{'amount': 54497, 'percentage': 7.8}",6 חודשים
50-59,"{'amount': 13976, 'percentage': 4.9}","{'amount': 22220, 'percentage': 7.7}",3 חודשים
50-59,"{'amount': 1241, 'percentage': 4.2}","{'amount': 2398, 'percentage': 8.2}",חודש אחרון
60-69,"{'amount': 103066, 'percentage': 3.1}","{'amount': 147051, 'percentage': 4.4}",שנה
60-69,"{'amount': 133248, 'percentage': 2.9}","{'amount': 180068, 'percentage': 3.9}",מתחילת קורונה
60-69,"{'amount': 38700, 'percentage': 5.5}","{'amount': 56857, 'percentage': 8.1}",6 חודשים
60-69,"{'amount': 16653, 'percentage': 5.8}","{'amount': 24071, 'percentage': 8.4}",3 חודשים
60-69,"{'amount': 1685, 'percentage': 5.8}","{'amount': 2747, 'percentage': 9.4}",חודש אחרון
70-79,"{'amount': 89134, 'percentage': 1.9}","{'amount': 108821, 'percentage': 2.4}",מתחילת קורונה
70-79,"{'amount': 36895, 'percentage': 5.3}","{'amount': 46974, 'percentage': 6.7}",6 חודשים
70-79,"{'amount': 73750, 'percentage': 2.2}","{'amount': 91882, 'percentage': 2.8}",שנה
70-79,"{'amount': 16445, 'percentage': 5.7}","{'amount': 21348, 'percentage': 7.4}",3 חודשים
70-79,"{'amount': 2083, 'percentage': 7.1}","{'amount': 2948, 'percentage': 10.1}",חודש אחרון
80-89,"{'amount': 15155, 'percentage': 2.2}","{'amount': 20544, 'percentage': 2.9}",6 חודשים
80-89,"{'amount': 28187, 'percentage': 0.8}","{'amount': 38695, 'percentage': 1.2}",שנה
80-89,"{'amount': 35139, 'percentage': 0.8}","{'amount': 48398, 'percentage': 1}",מתחילת קורונה
80-89,"{'amount': 7319, 'percentage': 2.5}","{'amount': 10581, 'percentage': 3.7}",3 חודשים
80-89,"{'amount': 872, 'percentage': 3}","{'amount': 1238, 'percentage': 4.2}",חודש אחרון
90+,"{'amount': 3011, 'percentage': 0.4}","{'amount': 5758, 'percentage': 0.8}",6 חודשים
90+,"{'amount': 1539, 'percentage': 0.5}","{'amount': 3123, 'percentage': 1.1}",3 חודשים
90+,"{'amount': 5795, 'percentage': 0.2}","{'amount': 10939, 'percentage': 0.3}",שנה
90+,"{'amount': 7501, 'percentage': 0.2}","{'amount': 14488, 'percentage': 0.3}",מתחילת קורונה
90+,"{'amount': 179, 'percentage': 0.6}","{'amount': 319, 'percentage': 1.1}",חודש אחרון
