name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
שלומי,8.9,אדום,157.4,0.0860719874804,0.9272727272726999,161,אדום,2022-01-14T00:00:00.000Z,76.02,70.90,54.16,239.0
ירוחם,10,צהוב,287.5,0.1250510829587,2.4886363636363,434,אדום,2022-01-14T00:00:00.000Z,72.35,64.60,47.14,406.4
מגדל העמק,9.7,אדום,160.5,0.1117035457211,1.5555555555555,585,אדום,2022-01-14T00:00:00.000Z,73.08,67.41,51.17,226.8
שבלי - אום אל-גנם,9,צהוב,99.1,0.1506172839506,2.8125,84,אדום,2022-01-14T00:00:00.000Z,73.51,64.46,40.54,136.4
רכסים,10,כתום,298.6,0.301453710788,4.1842105263157,429,אדום,2022-01-14T00:00:00.000Z,47.32,34.30,19.66,325.1
מסעודין אל-עזאזמה,3.1,אפור,1.7,0.0129310344827,0, קטן מ-15 ,ירוק,2022-01-14T00:00:00.000Z,7.54,6.10,2.13,
בסמת טבעון,7,ירוק,35.0,0.0491228070175,0.75,29,כתום,2022-01-14T00:00:00.000Z,58.09,52.47,28.88,36.2
בנימינה-גבעת עדה,10,אדום,209.8,0.120913884007,1.1612903225806,452,אדום,2022-01-14T00:00:00.000Z,78.55,73.56,57.82,283.0
הוד השרון,9.8,אדום,208.9,0.1184255757992,0.9439655172413,1879,אדום,2022-01-14T00:00:00.000Z,82.88,78.02,64.17,290.2
קרית ים,10,אדום,160.5,0.1021453730387,1.7241379310344,751,אדום,2022-01-14T00:00:00.000Z,77.68,73.41,57.71,190.7
קרית ביאליק,10,אדום,223.6,0.1161616161616,0.96,1204,אדום,2022-01-14T00:00:00.000Z,81.06,76.28,61.75,289.1
יהוד,10,אדום,327.6,0.1412219201602,1.0020366598778,1281,אדום,2022-01-14T00:00:00.000Z,81.23,75.62,60.76,427.0
זכרון יעקב,10,כתום,157.4,0.1001611170784,1.5,490,אדום,2022-01-14T00:00:00.000Z,80.30,75.31,61.09,208.5
בית שאן,8.9,אדום,127.5,0.0877256317689,1.8809523809523,320,אדום,2022-01-14T00:00:00.000Z,73.79,67.14,47.46,168.6
נהריה,10,אדום,170.5,0.1002440214738,1.4975247524752,1328,אדום,2022-01-14T00:00:00.000Z,82.71,77.96,61.85,224.4
באר שבע,10,כתום,223.9,0.108845543207,2.5432006010518,5818,אדום,2022-01-14T00:00:00.000Z,77.52,71.70,55.12,276.2
טמרה,9.2,צהוב,106.4,0.1033069144575,4.4558823529411,451,אדום,2022-01-14T00:00:00.000Z,69.74,57.43,33.99,129.4
שפרעם,9.9,אדום,162.7,0.1703024293505,1.4041811846689,836,אדום,2022-01-14T00:00:00.000Z,70.45,62.08,38.87,197.2
רעננה,10,אדום,254.2,0.1314085623678,1.065469904963,2521,אדום,2022-01-14T00:00:00.000Z,89.10,84.37,69.38,327.6
רמת גן,9.9,אדום,213.6,0.1176967570026,0.9027777777777,4809,אדום,2022-01-14T00:00:00.000Z,75.88,71.71,59.55,288.4
רמלה,10,כתום,251.5,0.1434201883074,1.9392097264437,2527,אדום,2022-01-14T00:00:00.000Z,68.01,60.24,40.74,328.6
רחובות,9.8,אדום,251.1,0.1295092678565,2.5824390243902,4529,אדום,2022-01-14T00:00:00.000Z,73.59,68.09,52.52,309.8
ראשון לציון,9.9,אדום,239.9,0.1336161865978,0.9344468956823,7943,אדום,2022-01-14T00:00:00.000Z,77.91,73.55,59.11,310.4
קרית מוצקין,10,אדום,230.7,0.1124668435013,2.2276923076923,1266,אדום,2022-01-14T00:00:00.000Z,82.69,78.15,64.17,278.5
צפת,9.9,כתום,190.3,0.1469961653174,4.3720930232558,806,אדום,2022-01-14T00:00:00.000Z,45.14,39.60,26.53,221.3
פתח תקווה,10,אדום,272.1,0.1331170085371,1.3697391304347,8914,אדום,2022-01-14T00:00:00.000Z,78.58,72.01,55.84,356.0
פרדס חנה-כרכור,10,אדום,246.1,0.1136222268297,2.1588235294117,1221,אדום,2022-01-14T00:00:00.000Z,71.83,66.59,50.47,279.8
עפולה,10,כתום,152.2,0.1095362426955,2.100358422939,1322,אדום,2022-01-14T00:00:00.000Z,70.48,65.20,49.59,232.6
עכו,10,כתום,147.4,0.1021223814773,1.4662162162162,942,אדום,2022-01-14T00:00:00.000Z,76.24,69.51,50.34,190.2
סח'נין,9.2,צהוב,84.4,0.1255686988171,2.3170731707317,321,אדום,2022-01-14T00:00:00.000Z,72.82,61.05,36.85,99.6
נתניה,10,אדום,263.9,0.1401698453363,1.9603612644254,7423,אדום,2022-01-14T00:00:00.000Z,71.20,65.99,49.63,332.0
נצרת,10,אדום,177.9,0.1451058063171,1.5706319702602,1557,אדום,2022-01-14T00:00:00.000Z,68.07,58.57,35.13,200.3
נס ציונה,10,אדום,252.7,0.1246000376435,0.7163978494623,1758,אדום,2022-01-14T00:00:00.000Z,77.71,72.56,57.34,347.9
אשקלון,9.5,כתום,150.4,0.0990709347893,3.3603960396039,3013,אדום,2022-01-14T00:00:00.000Z,71.89,66.23,49.65,205.7
לוד,9.9,כתום,194.2,0.1266597757811,2.7357142857142,2105,אדום,2022-01-14T00:00:00.000Z,64.68,57.38,38.95,260.6
כפר סבא,10,אדום,231.4,0.122662094763,1.1246612466124,3098,אדום,2022-01-14T00:00:00.000Z,83.64,78.96,65.01,304.7
קרית אתא,10,אדום,250.3,0.1247387342195,1.8429118773946,1820,אדום,2022-01-14T00:00:00.000Z,76.30,70.78,55.69,307.0
טבריה,10,אדום,266.8,0.1411899313501,2.3306010928961,1473,אדום,2022-01-14T00:00:00.000Z,63.60,57.98,42.41,322.4
חולון,10,אדום,277.8,0.1530990592141,1.7024752475247,6848,אדום,2022-01-14T00:00:00.000Z,74.36,69.63,54.96,348.5
