name,value
פראמדיקים,11
פסיכולוגיה,14
שירות סוציאלי,22
קלינאות תקשורת,24
ריפוי בעיסוק,31
פיזיותרפיה,34
חובשי רפואת חירום,42
מערך לוגיסטי,44
כוח עזר,49
מעבדה,63
רוקחות,74
מינהל ומשק,308
סקטורים אחרים,1179
